age_group,month,n,mean,median,std,type
"[20,50)",1,180,48.1944445080227,43,20.6691624000812,male
"[20,50)",2,176,47.3778407790444,43.8500003814697,20.4260370721663,male
"[20,50)",3,201,48.7537313954747,41,25.0231672947659,male
"[20,50)",4,163,52.5319019387836,45,27.0357234022043,male
"[20,50)",5,197,47.4172589064855,42,21.1852641267447,male
"[20,50)",6,196,49.2321428182174,44,24.8143494108948,male
"[20,50)",7,210,47.2180951436361,42.5,19.6457443191373,male
"[20,50)",8,149,48.2892617475267,43,21.1870056946924,male
"[20,50)",9,155,45.4638707806987,41,20.9681881363759,male
"[20,50)",10,148,46.0749999252526,41,20.3015627036081,male
"[20,50)",11,185,44.4097295915758,41.5999984741211,18.2043863531349,male
"[20,50)",12,181,49.1607735038462,46,21.6083434208195,male
"[50,80]",1,92,47.4239130227462,42.9000015258789,24.5399532984872,male
"[50,80]",2,90,47.8633331722683,41.8000011444092,24.9327428732015,male
"[50,80]",3,97,48.9103093491387,44,19.9839806477453,male
"[50,80]",4,82,44.1341462600522,39.2999992370606,21.688844520976,male
"[50,80]",5,113,47.0230089373293,43.5,24.9005450658084,male
"[50,80]",6,85,48.2105882308062,45.2000007629395,20.3625240544951,male
"[50,80]",7,74,50.2932432277783,47.8999996185303,18.3460744440535,male
"[50,80]",8,79,48.9468354937397,43.2999992370605,25.5760698343929,male
"[50,80]",9,69,45.4159420123999,43.2999992370605,20.5722015790317,male
"[50,80]",10,88,45.3079544414173,41.1000003814697,19.0568852500505,male
"[50,80]",11,77,45.6558440939173,43.7999992370605,19.3738801338825,male
"[50,80]",12,106,46.5037735273253,44.25,19.8705762094746,male
"[20,50)",1,235,39.9612765616559,37.5,15.2241706851171,female
"[20,50)",2,190,38.8710527018497,34.2000007629395,18.3322872532942,female
"[20,50)",3,188,42.4590425998607,40,18.1464887617095,female
"[20,50)",4,192,42.1812500009934,38.9500007629395,19.619483847898,female
"[20,50)",5,212,41.8476414680481,37.9500007629395,17.7568848497852,female
"[20,50)",6,221,41.2235293668859,39,15.5788197331905,female
"[20,50)",7,209,40.3980861417414,37.2000007629395,16.8725253998692,female
"[20,50)",8,196,41.2352040835789,38.2000007629395,18.317113603881,female
"[20,50)",9,170,41.9023529838113,40,17.0042597211973,female
"[20,50)",10,196,44.6887755442639,42,18.0515978227913,female
"[20,50)",11,207,40.9053138972481,38,17.3004382284651,female
"[20,50)",12,225,40.329777891371,38.0999984741211,15.6986906018894,female
"[50,80]",1,189,50.8597883396048,48.7000007629395,21.215110802209,female
"[50,80]",2,169,49.75562136272,44,21.2872472057702,female
"[50,80]",3,201,52.4955222381288,48.5999984741211,21.6054582713495,female
"[50,80]",4,196,51.9056121865097,48.2000007629395,21.0883080808739,female
"[50,80]",5,157,53.6216559683441,46.9000015258789,23.6618493456065,female
"[50,80]",6,185,54.1632432473672,52,22.2206364482969,female
"[50,80]",7,176,56.6227272098715,53,24.715111571329,female
"[50,80]",8,164,49.6487803575469,44.7000007629395,22.0524623186002,female
"[50,80]",9,161,56.5006211085349,51,24.4620025286425,female
"[50,80]",10,174,51.8477011275018,49,19.2046740513737,female
"[50,80]",11,175,50.5845713370187,45,21.7479168364705,female
"[50,80]",12,193,53.7818651940539,49.2000007629395,21.5478085827714,female
"[20,50)",1,417,43.2700239908781,40,17.8313274833709,both
"[20,50)",2,365,42.765753377627,39,19.2984882898641,both
"[20,50)",3,387,45.6930233119994,40.9000015258789,21.5941805636111,both
"[20,50)",4,354,46.4276836578455,41.3500003814697,22.4458321270814,both
"[20,50)",5,410,44.6095121848874,40,19.6376025745657,both
"[20,50)",6,417,44.5997601424476,41.7000007629395,19.6544395485143,both
"[20,50)",7,419,43.79427202903,40,18.4684307350771,both
"[20,50)",8,345,44.2278260880622,40,19.6757755237263,both
"[20,50)",9,326,43.7561349108175,40,19.17080812959,both
"[20,50)",10,345,45.3863767983257,41,19.0497791837166,both
"[20,50)",11,393,42.7002543286816,39,17.99234591128,both
"[20,50)",12,406,44.1125616440045,40.5499992370606,18.5974274729087,both
"[50,80]",1,282,49.6645389854485,46.8999996185303,22.346785163391,both
"[50,80]",2,261,49.2038313986241,43,22.879713605402,both
"[50,80]",3,300,51.3989999262492,47.2000007629395,21.341243211728,both
"[50,80]",4,278,49.6482013729836,46.1000003814697,21.4693143360588,both
"[50,80]",5,270,50.9466666398225,45.5,24.1440049754232,both
"[50,80]",6,272,52.0334558837554,49,21.8985707239597,both
"[50,80]",7,253,54.6928853272449,50,23.4878056518609,both
"[50,80]",8,241,49.3024895418729,44.4000015258789,22.7867630784061,both
"[50,80]",9,231,52.7402597237459,48.2000007629395,23.3060764910019,both
"[50,80]",10,263,49.5764258061978,45.9000015258789,19.3189731897667,both
"[50,80]",11,252,48.8484126272656,45,20.4583231342177,both
"[50,80]",12,298,51.2124160280164,47,20.5154851679648,both
