age_group,month,n,mean,median,std,type
"[20,30)",1,43105,0.517390015205199,0.510759770870209,0.265904434553572,male
"[20,30)",2,40410,0.51050589322404,0.499903678894043,0.265056795196762,male
"[20,30)",3,43118,0.498013633785486,0.480180650949478,0.264579134472145,male
"[20,30)",4,39385,0.491187137679841,0.480180650949478,0.264870976441534,male
"[20,30)",5,43775,0.483047038150014,0.472781538963318,0.265618019918435,male
"[20,30)",6,45362,0.480279270540415,0.470926582813263,0.263362049792528,male
"[20,30)",7,46484,0.482327511292308,0.470926582813263,0.259403509018339,male
"[20,30)",8,45349,0.488246887698765,0.477674007415772,0.260604709721631,male
"[20,30)",9,39063,0.503160784176801,0.49749967455864,0.261380265973201,male
"[20,30)",10,40633,0.516197451866771,0.510759770870209,0.263434629163961,male
"[20,30)",11,42438,0.519714991271291,0.511634051799774,0.264028491564194,male
"[20,30)",12,43113,0.518535083507984,0.510759770870209,0.264892319000166,male
"[30,40)",1,51739,0.521881389565632,0.535214483737946,0.264267741698269,male
"[30,40)",2,49189,0.513673238127184,0.52965658903122,0.26553342260112,male
"[30,40)",3,51327,0.503801364652474,0.516490638256073,0.263444117359688,male
"[30,40)",4,46897,0.496144239268429,0.504089832305908,0.264289874719718,male
"[30,40)",5,51464,0.48596043052999,0.487723052501679,0.263290334020503,male
"[30,40)",6,52698,0.47968323195337,0.479292273521423,0.26227909076566,male
"[30,40)",7,52975,0.478889333607876,0.477296561002731,0.258172558884754,male
"[30,40)",8,50085,0.482330368830601,0.485486567020416,0.258911967850307,male
"[30,40)",9,44182,0.493404664274427,0.499074429273605,0.261089696840089,male
"[30,40)",10,47301,0.516098119602326,0.52965658903122,0.261648390989256,male
"[30,40)",11,50349,0.521971554227312,0.535214483737946,0.263189925848736,male
"[30,40)",12,51364,0.522627305463041,0.537159383296967,0.262267529376467,male
"[40,50)",1,49811,0.5290411882206,0.561284720897675,0.265901295918804,male
"[40,50)",2,47087,0.518314333746079,0.524735569953919,0.264227425522283,male
"[40,50)",3,49050,0.502908357933133,0.501882910728455,0.265322035899305,male
"[40,50)",4,43893,0.49479553291829,0.488937973976135,0.264292232889322,male
"[40,50)",5,47141,0.486750558909527,0.486777245998383,0.263623996735534,male
"[40,50)",6,48616,0.477019202955231,0.480875283479691,0.259509618802137,male
"[40,50)",7,48345,0.471372580903601,0.474387973546982,0.257719143103003,male
"[40,50)",8,45611,0.477069066979341,0.480202317237854,0.258649479813917,male
"[40,50)",9,40912,0.486936055367928,0.486777245998383,0.260676083069956,male
