age_group,month,n,mean,median,std,type
"[20,30)",1,43092,9.61524065187313,9.60000038146973,0.341282546364843,male
"[20,30)",2,40533,9.6093615099541,9.60000038146973,0.340773892499006,male
"[20,30)",3,43398,9.59319646330252,9.60000038146973,0.34291487184349,male
"[20,30)",4,40144,9.5796928582984,9.60000038146973,0.351447879938376,male
"[20,30)",5,44520,9.57163544941463,9.59000015258789,0.352638793246079,male
"[20,30)",6,45624,9.5584313098368,9.57999992370605,0.342742663496496,male
"[20,30)",7,46524,9.56717887376532,9.59000015258789,0.329908229192267,male
"[20,30)",8,45319,9.57567333510659,9.60000038146973,0.331076334539999,male
"[20,30)",9,39503,9.60353518018806,9.60000038146973,0.337861156766318,male
"[20,30)",10,40807,9.6160053452336,9.60000038146973,0.338369779948764,male
"[20,30)",11,42639,9.61970918910326,9.60000038146973,0.339943070729805,male
"[20,30)",12,43135,9.61757645050399,9.60000038146973,0.339584820785417,male
"[30,40)",1,52251,9.51887026260404,9.5,0.336579955965862,male
"[30,40)",2,49445,9.51280574594136,9.5,0.336865192683513,male
"[30,40)",3,51923,9.50042717310294,9.5,0.335944910463098,male
"[30,40)",4,47305,9.49622851878691,9.5,0.33669337225205,male
"[30,40)",5,51471,9.47636572275364,9.48999977111816,0.328565716628467,male
"[30,40)",6,52696,9.46802319274319,9.47999954223633,0.327560261054156,male
"[30,40)",7,53077,9.46662698030216,9.47999954223633,0.320664530218773,male
"[30,40)",8,50120,9.47174441601311,9.47999954223633,0.32168024322077,male
"[30,40)",9,44861,9.49354740432872,9.5,0.333598781515662,male
"[30,40)",10,48025,9.51453201421036,9.5,0.334850037455405,male
"[30,40)",11,50886,9.51868962023387,9.5,0.335474086337535,male
"[30,40)",12,51441,9.52632374968439,9.51000022888184,0.32803521122899,male
"[40,50)",1,50117,9.49181295789901,9.5,0.339175925785258,male
"[40,50)",2,47572,9.48096338427419,9.48999977111816,0.337781658392396,male
"[40,50)",3,49109,9.45379482705761,9.44999980926514,0.333343752863933,male
"[40,50)",4,43928,9.44270215113075,9.43000030517578,0.331758879273004,male
"[40,50)",5,47139,9.43050850118238,9.40999984741211,0.330531925810957,male
"[40,50)",6,48876,9.42248936545899,9.39999961853027,0.325829421812539,male
"[40,50)",7,49220,9.41013307792295,9.39999961853027,0.330778794412555,male
"[40,50)",8,45861,9.42285863999823,9.39999961853027,0.324293192868822,male
"[40,50)",9,41054,9.43384713167663,9.40999984741211,0.326659494477731,male
"[40,50)",10,43572,9.46289750506024,9.46000003814697,0.329074235792359,male
"[40,50)",11,47797,9.48744691504413,9.5,0.336891261275439,male
"[40,50)",12,49699,9.49091712139812,9.5,0.337087225749303,male
"[50,60)",1,50287,9.4636605883829,9.46000003814697,0.347136025202132,male
"[50,60)",2,48053,9.44966162184092,9.4399995803833,0.354180866055556,male
"[50,60)",3,48502,9.42376562057734,9.39999961853027,0.343096731631775,male
"[50,60)",4,43162,9.41305083312889,9.39999961853027,0.341277830425201,male
"[50,60)",5,46719,9.39631756027843,9.39999961853027,0.337503221747551,male
"[50,60)",6,47980,9.39036536067662,9.39999961853027,0.33640372226103,male
"[50,60)",7,48728,9.38835371981073,9.39999961853027,0.333810186209051,male
"[50,60)",8,45334,9.38443971432296,9.39999961853027,0.331110730889946,male
"[50,60)",9,39687,9.39695643520795,9.39999961853027,0.332893815126883,male
"[50,60)",10,42326,9.42082313533001,9.39999961853027,0.338425886542594,male
"[50,60)",11,46332,9.4504154838347,9.44999980926514,0.335655169425584,male
"[50,60)",12,49205,9.46812457904597,9.47000026702881,0.342797603721137,male
"[60,70)",1,36636,9.42328065318147,9.39999961853027,0.343904706520959,male
"[60,70)",2,34841,9.42755001079393,9.39999961853027,0.356725941218472,male
"[60,70)",3,35264,9.3965500216735,9.39999961853027,0.344866826770132,male
"[60,70)",4,32001,9.38008562348298,9.39999961853027,0.343809567910302,male
"[60,70)",5,35879,9.36854901400566,9.36999988555908,0.342311747727572,male
"[60,70)",6,36208,9.35166592572676,9.35000038146973,0.331326619084249,male
"[60,70)",7,35242,9.34542930965749,9.32999992370605,0.330003613586214,male
"[60,70)",8,32776,9.3456995950433,9.34000015258789,0.329946605815961,male
