age_group,month,n,mean,median,std,type
"[20,30)",1,144,246.476600064172,203.430267333984,143.816552762178,male
"[20,30)",2,130,228.886505303016,203.528549194336,116.629900526077,male
"[20,30)",3,136,207.616096272188,177.949996948242,109.112357467668,male
"[20,30)",4,132,209.70659718369,173.945899963379,119.741263723383,male
"[20,30)",5,126,216.596985377963,201.050003051758,109.537704965563,male
"[20,30)",6,146,227.137304567311,207.92163848877,114.14945165611,male
"[20,30)",7,152,195.897261945825,175.994171142578,101.948890940446,male
"[20,30)",8,147,198.276694369154,182,88.6911933342323,male
"[20,30)",9,108,202.404114193387,176.050003051758,121.282858490398,male
"[20,30)",10,120,200.368432998657,179.849998474121,98.4698914926141,male
"[20,30)",11,146,209.506440593772,176.5,121.785374295063,male
"[20,30)",12,143,212.939485616617,180.800003051758,112.764481975401,male
"[30,40)",1,228,240.576593700208,210.916450500488,147.27887315509,male
"[30,40)",2,193,200.356388843121,173.699996948242,107.51388453686,male
"[30,40)",3,201,227.275226801782,201.5,118.427681375449,male
"[30,40)",4,160,218.788294553757,176.699996948242,118.637842492212,male
"[30,40)",5,199,213.570230091037,179.399993896484,124.869644763224,male
"[30,40)",6,227,197.519611241009,169.699996948242,97.91178450135,male
"[30,40)",7,216,224.893879607872,199.800003051758,119.678973254762,male
"[30,40)",8,190,253.887626326712,208.550155639648,149.412620421156,male
"[30,40)",9,145,210.63003571609,175.600006103516,111.535739556385,male
"[30,40)",10,162,204.719272825453,194.481292724609,108.015974692825,male
"[30,40)",11,210,229.84844153268,194.299995422363,126.089929332757,male
"[30,40)",12,247,227.068054847872,181.199996948242,136.736866310887,male
"[40,50)",1,265,251.139452635567,199.032989501953,162.067709798019,male
"[40,50)",2,265,218.153333699928,186,120.014125704114,male
"[40,50)",3,249,219.5117495893,195.308883666992,120.091690459537,male
"[40,50)",4,206,207.428517128657,182,106.295334697483,male
"[40,50)",5,220,216.556845040755,176.699996948242,133.202707399409,male
"[40,50)",6,217,226.946816053259,189,126.044653500039,male
"[40,50)",7,243,196.817406564092,168.399993896484,112.739056168346,male
"[40,50)",8,233,232.606617579644,196.600006103516,128.163722635671,male
"[40,50)",9,188,211.297104896383,177,114.445393941727,male
"[40,50)",10,222,217.123454325908,182.433799743652,113.579433095715,male
"[40,50)",11,257,238.430556835368,199,133.513658562699,male
"[40,50)",12,285,244.388627437123,198.600006103516,146.598187928904,male
"[50,60)",1,338,219.649363861987,180.857940673828,138.635955086935,male
"[50,60)",2,334,207.087920388776,183.171035766602,101.290019700131,male
"[50,60)",3,297,239.994014418888,199,149.598178623474,male
"[50,60)",4,312,217.835935372573,182,127.088956258761,male
"[50,60)",5,305,207.233421713407,175,119.304515719719,male
"[50,60)",6,297,209.68376893066,183,106.736445941348,male
"[50,60)",7,306,194.040219400443,178,105.0448116642,male
"[50,60)",8,277,217.416756282214,182,126.055064492001,male
"[50,60)",9,260,203.805757537255,184.150001525879,102.205062707651,male
"[50,60)",10,289,215.206920267389,183,114.29763669508,male
"[50,60)",11,308,207.13699687611,168.699996948242,116.980663337855,male
"[50,60)",12,359,211.80421271364,189,113.009717728018,male
"[60,70)",1,439,221.6284744506,191,120.844818277969,male
"[60,70)",2,403,209.028622989323,180,119.685722432282,male
"[60,70)",3,440,231.322819137573,188.5,141.214478992488,male
"[60,70)",4,350,215.522016416277,185.849998474121,119.491560031527,male
"[60,70)",5,411,209.111643027795,181,115.88201552529,male
