age_group,month,n,mean,median,std,type
"[20,80]",1,1692,227.07556898825,188.150001525879,133.562913971548,male
"[20,80]",2,1584,211.667251394253,183.050003051758,115.108148719441,male
"[20,80]",3,1579,220.973583235931,189.199996948242,127.83345808364,male
"[20,80]",4,1388,210.809850478378,178.050003051758,118.795530099495,male
"[20,80]",5,1518,208.965310537768,178.300003051758,120.661016626196,male
"[20,80]",6,1549,207.56213920943,178.757278442383,111.820772380518,male
"[20,80]",7,1593,201.414021635085,172.300003051758,115.353503201075,male
"[20,80]",8,1478,220.137438052723,184.900001525879,125.958614822917,male
"[20,80]",9,1277,203.43023781713,172,116.309520348479,male
"[20,80]",10,1393,216.31994672448,182.800003051758,124.105847226017,male
"[20,80]",11,1576,218.283812246952,183.723449707031,125.926925045192,male
"[20,80]",12,1751,224.77022122656,185.5,132.071931684098,male
"[20,80]",1,3907,168.342347365985,138.759994506836,101.402757949799,female
"[20,80]",2,3503,166.857115321659,139,99.1831324261595,female
"[20,80]",3,3506,158.070118398715,132,92.9776056311363,female
"[20,80]",4,3281,159.373496559327,135,92.4877610274804,female
"[20,80]",5,3529,160.515046649089,132.412796020508,98.9559896989427,female
"[20,80]",6,3726,156.889420419755,130,92.2531366385556,female
"[20,80]",7,3639,152.165534315872,126,92.177260609864,female
"[20,80]",8,3451,151.640027491952,125.516296386719,90.7658453871869,female
"[20,80]",9,2808,158.855818442809,130,98.5166718624067,female
"[20,80]",10,3240,161.568642761089,133.099998474121,99.3029258805422,female
"[20,80]",11,3618,165.862418923871,137,101.311588173949,female
"[20,80]",12,3816,168.331055392259,137.914993286133,104.514779164311,female
"[20,80]",1,5603,185.308909264203,152.800003051758,112.260305135403,both
"[20,80]",2,5088,180.73748126045,152,105.881590576074,both
"[20,80]",3,5089,176.643400393527,148.600006103516,106.062959986426,both
"[20,80]",4,4668,174.349773561434,147,102.186304603295,both
"[20,80]",5,5047,174.698168685608,144.899993896484,106.574599149089,both
"[20,80]",6,5277,171.619273287838,143.899993896484,100.263598499588,both
"[20,80]",7,5231,166.531278805303,138.800003051758,100.192682625927,both
"[20,80]",8,4944,171.187908118597,141,104.362012677211,both
"[20,80]",9,4083,172.683611859301,142,105.555033738901,both
"[20,80]",10,4633,177.525982613649,148,108.060254557578,both
"[20,80]",11,5197,181.518351439079,150.300003051758,110.820207483627,both
"[20,80]",12,5568,185.751072313594,152,115.346691481467,both
