age_group,month,n,mean,median,std,type
"[20,80]",1,469,0.537977526548193,0.553571403026581,0.274170871199842,male
"[20,80]",2,445,0.512829208399138,0.523076951503754,0.25665111378552,male
"[20,80]",3,456,0.521109417963185,0.545454561710358,0.26417802606887,male
"[20,80]",4,384,0.49226603791855,0.477225676178932,0.256039893875394,male
"[20,80]",5,438,0.516676148408216,0.544336050748825,0.26635604984864,male
"[20,80]",6,415,0.521289436160082,0.531034469604492,0.250582517231346,male
"[20,80]",7,451,0.467770053152235,0.453125,0.266632412024369,male
"[20,80]",8,402,0.530868547361585,0.535220623016357,0.254844286617344,male
"[20,80]",9,338,0.474919272961437,0.472850114107132,0.263422358845461,male
"[20,80]",10,401,0.512421503254303,0.511450409889221,0.251172934265007,male
"[20,80]",11,443,0.513639404537245,0.512195110321045,0.2625273958532,male
"[20,80]",12,523,0.494123981507,0.485981315374374,0.269317793664392,male
"[20,80]",1,1106,0.533914022784256,0.548815488815308,0.2614292867022,female
"[20,80]",2,1045,0.543613010641348,0.561497330665588,0.25303542908349,female
"[20,80]",3,1034,0.527601180425206,0.540762066841126,0.259268413933613,female
"[20,80]",4,930,0.516802539239808,0.527781218290329,0.255852877238275,female
"[20,80]",5,1079,0.511815206407534,0.515503883361816,0.25821649337428,female
"[20,80]",6,1026,0.504117119084267,0.5,0.2634686691353,female
"[20,80]",7,1017,0.497594946213323,0.503424644470215,0.261284968435038,female
"[20,80]",8,981,0.486798746456277,0.461224496364594,0.261603807554926,female
"[20,80]",9,786,0.496303066687123,0.5,0.267951928912187,female
"[20,80]",10,937,0.514036297169986,0.543918907642365,0.260448156211553,female
"[20,80]",11,993,0.51437526110706,0.527196645736694,0.266499223059351,female
"[20,80]",12,1114,0.519421305477325,0.527546048164368,0.271067236648089,female
"[20,80]",1,1576,0.534783393768641,0.550724625587463,0.265322403694915,both
"[20,80]",2,1490,0.534987714284118,0.550280898809433,0.2543029814113,both
"[20,80]",3,1490,0.525596853728162,0.542746424674988,0.260680530762025,both
"[20,80]",4,1314,0.50964154847125,0.513906061649323,0.256029518665356,both
"[20,80]",5,1518,0.513535387399306,0.525103330612183,0.26061485528799,both
"[20,80]",6,1443,0.509046110822171,0.501639366149902,0.260205613819391,both
"[20,80]",7,1470,0.488414749381494,0.493914172053337,0.263508387593103,both
"[20,80]",8,1385,0.499614924265052,0.485380113124847,0.260708491191814,both
"[20,80]",9,1125,0.490284039984147,0.494163423776627,0.266899287537653,both
"[20,80]",10,1341,0.51320386970781,0.534798562526703,0.258117310615669,both
"[20,80]",11,1438,0.513470599365645,0.519569098949432,0.265525714844449,both
"[20,80]",12,1639,0.510770935301576,0.515625,0.271004163654163,both
