age_group,month,n,mean,median,std,type
"[20,50)",1,359,150.635097673677,120.699996948242,100.560577527259,male
"[20,50)",2,307,141.660911808573,117.800003051758,84.2682953012856,male
"[20,50)",3,297,133.879124150132,116.400001525879,76.1755441222274,male
"[20,50)",4,273,130.900366395384,107,80.1333063852981,male
"[20,50)",5,287,140.507665374969,116.5,88.7616360521251,male
"[20,50)",6,301,134.452491886988,112.800003051758,74.7616165891072,male
"[20,50)",7,359,139.554039267112,119.300003051758,80.6357917679571,male
"[20,50)",8,329,150.315197280837,117.900001525879,100.283756148083,male
"[20,50)",9,237,135.810127097343,110.900001525879,83.2141187161331,male
"[20,50)",10,276,134.873913046243,112.399997711182,81.9236186964166,male
"[20,50)",11,357,141.237535236262,111.800003051758,90.9264710625511,male
"[20,50)",12,371,153.021293341953,118,106.757389465303,male
"[50,80]",1,599,122.197829818089,99.0999984741211,77.2208004895351,male
"[50,80]",2,544,110.936029423686,93.3500022888184,64.9340484915004,male
"[50,80]",3,565,113.65769922037,94.4000015258789,69.0641885992108,male
"[50,80]",4,492,115.051219525376,97.9500007629395,72.7646172384472,male
"[50,80]",5,516,113.994960966036,96.1500015258789,69.5714186382729,male
"[50,80]",6,535,115.786168135884,96.3000030517578,66.0980458614542,male
"[50,80]",7,525,119.376190603347,97,74.3343914429807,male
"[50,80]",8,534,126.817415923215,102.5,88.029206251199,male
"[50,80]",9,484,119.862809630465,97.5,78.7239567510209,male
"[50,80]",10,508,131.508464595464,100.299999237061,90.4720347832428,male
"[50,80]",11,576,118.1786456373,96.0499992370606,75.3130105716592,male
"[50,80]",12,583,131.125728885265,105.300003051758,84.0862403340469,male
"[20,50)",1,925,123.757946026776,98.3000030517578,79.9647733212572,female
"[20,50)",2,757,123.952444033705,97.5,85.6522279080827,female
"[20,50)",3,722,106.100277002498,89.5999984741211,64.8117297013504,female
"[20,50)",4,711,118.365260310649,96.5,74.122490638757,female
"[20,50)",5,763,111.41625176126,92.3000030517578,65.6226673337744,female
"[20,50)",6,823,113.111786229353,94.5999984741211,67.2518864258895,female
"[20,50)",7,787,112.009910963996,92,70.9282576634848,female
"[20,50)",8,805,117.478136534128,97.8000030517578,73.5467042326332,female
"[20,50)",9,641,123.468174867437,101.699996948242,76.8043303832363,female
"[20,50)",10,757,116.873051649671,96,72.6602945376329,female
"[20,50)",11,816,123.202450775633,101.449996948242,75.7339606292439,female
"[20,50)",12,860,125.146279126544,99.6499977111817,80.8323426802354,female
"[50,80]",1,1201,100.326394733045,77.5,66.7088257817396,female
"[50,80]",2,1100,93.7886362890764,78.4000015258789,57.9233781626397,female
"[50,80]",3,1050,84.5649524343582,69.0999984741211,51.9926014571849,female
"[50,80]",4,1010,85.0176237729516,67.9000015258789,54.5002733054691,female
"[50,80]",5,1074,88.0189944219323,72.4500007629395,54.3096421176702,female
"[50,80]",6,1090,86.4983485860562,71.5,50.1206858573805,female
"[50,80]",7,1129,85.6379983140052,68.9000015258789,51.8266585731168,female
"[50,80]",8,1084,95.2878230647407,76.3000030517578,64.7795072349081,female
"[50,80]",9,900,95.4733333820767,75.3999977111817,63.2342683783384,female
"[50,80]",10,1057,100.678808046267,76.5999984741211,70.6424164473087,female
"[50,80]",11,1179,99.7791349525872,76.5999984741211,65.906710670628,female
"[50,80]",12,1283,100.551052099452,78.9000015258789,68.0259764691932,female
"[20,50)",1,1284,130.819548416732,105,85.3262006654829,both
"[20,50)",2,1064,128.662406060929,104,84.9421611429346,both
"[20,50)",3,1020,114.270490081638,95.7000007629395,69.1577721284919,both
"[20,50)",4,986,121.820385486069,100.950000762939,75.5363452929304,both
"[20,50)",5,1050,118.910190505981,97.1500015258789,72.0180053081398,both
"[20,50)",6,1124,118.576690538074,99,68.7663079252075,both
"[20,50)",7,1147,120.373670478229,100,74.4586172235725,both
"[20,50)",8,1135,126.698149639919,102.400001525879,81.6008884693435,both
"[20,50)",9,880,127.032727523284,103.049999237061,79.1122227929199,both
"[20,50)",10,1032,121.694282999334,100.199996948242,75.23938677824,both
"[20,50)",11,1172,128.177815603315,104.950000762939,79.5687179052978,both
"[20,50)",12,1233,132.404055138284,105.5,86.6355379349031,both
"[50,80]",1,1801,107.675735788171,83.5999984741211,70.9084158106562,both
"[50,80]",2,1646,99.3233900394648,81.9000015258789,60.660347227206,both
"[50,80]",3,1620,94.2724074999491,77.9000015258789,58.3638974035208,both
"[50,80]",4,1499,94.6245496875847,75,61.1486530831035,both
"[50,80]",5,1591,95.98227523094,79.8000030517578,59.2251030030027,both
"[50,80]",6,1625,95.8881230151837,79.8000030517578,56.5176176859865,both
"[50,80]",7,1657,95.7548582909261,77.0999984741211,59.8027093543718,both
"[50,80]",8,1621,105.27772999457,83.5,72.9677206669101,both
"[50,80]",9,1386,103.855988418557,82.8500022888184,69.2721155285818,both
"[50,80]",10,1568,110.588456728021,84.5499992370606,78.0243912189959,both
"[50,80]",11,1755,105.691054134967,83.3000030517578,69.2043713385311,both
"[50,80]",12,1869,109.887747360972,86,73.9116293585287,both
