age_group,month,n,mean,median,std,type
"[20,80]",1,67899,102.87668595922,103,2.46093761441785,male
"[20,80]",2,63476,102.875398575647,103,2.45908631660898,male
"[20,80]",3,66309,103.042413549977,103,2.35869978459278,male
"[20,80]",4,60934,103.170796269172,103,2.37420077993644,male
"[20,80]",5,66360,103.276500904021,103,2.37478356402517,male
"[20,80]",6,67639,103.360549088685,103,2.38189200485388,male
"[20,80]",7,68632,103.406459665059,103.5,2.37631883647931,male
"[20,80]",8,66780,103.415135969063,103.699996948242,2.37185346370219,male
"[20,80]",9,61085,103.308374068151,103,2.37132994323546,male
"[20,80]",10,63769,103.188080573367,103,2.33802070960291,male
"[20,80]",11,63775,103.112890626794,103,2.31389902496612,male
"[20,80]",12,64593,102.818551543778,103,2.319579490999,male
"[20,80]",1,73535,103.739125586227,104,2.3279347871117,female
"[20,80]",2,70596,103.71870785677,104,2.33060686523278,female
"[20,80]",3,71657,103.877150870661,104,2.21852118641349,female
"[20,80]",4,65738,103.978898050113,104,2.22802345903295,female
"[20,80]",5,75805,104.243150190096,104,2.3235634762582,female
"[20,80]",6,77385,104.30753957718,104,2.33666569615849,female
"[20,80]",7,77302,104.365494036452,104,2.34143219432418,female
"[20,80]",8,73970,104.358720021069,104,2.33105292953319,female
"[20,80]",9,67915,104.250849445205,104,2.31661012495466,female
"[20,80]",10,70400,103.940056818182,104,2.2820309912898,female
"[20,80]",11,69988,103.974445904964,104,2.16793085090029,female
"[20,80]",12,71197,103.81309240512,104,2.30235666011655,female
"[20,80]",1,140160,103.382121146814,103,2.36707101682569,both
"[20,80]",2,132898,103.374879981561,103,2.3667000782424,both
"[20,80]",3,139199,103.427885976379,104,2.36962397310208,both
"[20,80]",4,127874,103.537299997636,104,2.38445006932255,both
"[20,80]",5,141215,103.666106292937,104,2.3737699922686,both
"[20,80]",6,143838,103.737009204802,104,2.37890829513915,both
"[20,80]",7,141909,103.897267684075,104,2.26222953296825,both
"[20,80]",8,140626,104.023305576079,104,2.37147545360766,both
"[20,80]",9,127998,103.680140549407,104,2.3617229665532,both
"[20,80]",10,134035,103.588687059849,104,2.33249300501552,both
"[20,80]",11,134876,103.518263588392,104,2.32426822555428,both
"[20,80]",12,136231,103.445305692679,104,2.34041774209806,both
