age_group,month,n,mean,median,std,type
"[20,50)",1,1144,0.483345677926355,0.473955512046814,0.276363821341615,male
"[20,50)",2,1054,0.496627846022315,0.492719307541847,0.263618148009424,male
"[20,50)",3,1073,0.476727232793546,0.474114447832108,0.268177961276039,male
"[20,50)",4,875,0.481639841296843,0.481578946113586,0.269708709609719,male
"[20,50)",5,988,0.472232259278325,0.45999026298523,0.268707385676688,male
"[20,50)",6,1035,0.470811291269346,0.461988300085068,0.268494430619509,male
"[20,50)",7,1066,0.463258543074494,0.447347149252892,0.267317828217858,male
"[20,50)",8,1053,0.459374069109743,0.452316075563431,0.267407410428943,male
"[20,50)",9,904,0.469148858971647,0.457838505506516,0.266752688912433,male
"[20,50)",10,990,0.46911197318084,0.460508391261101,0.261773010343017,male
"[20,50)",11,1114,0.492023818154737,0.496402144432068,0.2622020878444,male
"[20,50)",12,1180,0.490275010679675,0.500270873308182,0.275954085508058,male
"[50,80]",1,867,0.488898706153001,0.485294103622437,0.284053091423973,male
"[50,80]",2,798,0.471369066207966,0.439209163188934,0.285983863057845,male
"[50,80]",3,864,0.437819868656031,0.423388823866844,0.27216287623245,male
"[50,80]",4,717,0.42497634274737,0.400000005960465,0.267849842129083,male
"[50,80]",5,845,0.414892290570062,0.383928567171097,0.270908132463954,male
"[50,80]",6,826,0.426558574675143,0.395348846912384,0.277339490079513,male
"[50,80]",7,829,0.408900145013267,0.400000005960465,0.270223894177198,male
"[50,80]",8,792,0.42056538757981,0.392857134342194,0.278643511380077,male
"[50,80]",9,672,0.413908620775189,0.39595028758049,0.276664300372478,male
"[50,80]",10,741,0.435928208874124,0.419642865657806,0.282421692122769,male
"[50,80]",11,801,0.426037439488144,0.41071429848671,0.272033066960107,male
"[50,80]",12,899,0.45532302574583,0.446428567171097,0.285270061344131,male
"[20,50)",1,27481,0.506913164000658,0.511250197887421,0.261822378619234,female
"[20,50)",2,25317,0.506210912340969,0.508083164691925,0.261500870882608,female
"[20,50)",3,26081,0.50076945840248,0.50005829334259,0.263146578194122,female
"[20,50)",4,23213,0.491462479348911,0.487297117710114,0.264380189147914,female
"[20,50)",5,25124,0.484800883418916,0.483222395181656,0.261223926815049,female
"[20,50)",6,26230,0.478300737014826,0.472094923257828,0.263155441673606,female
"[20,50)",7,26988,0.470693052021671,0.464311301708221,0.26344556010338,female
"[20,50)",8,26002,0.467486333991977,0.458841055631638,0.262856790898246,female
"[20,50)",9,23280,0.46352084853376,0.451403886079788,0.262328879947857,female
"[20,50)",10,25644,0.481721826624767,0.477664664387703,0.264168349403178,female
"[20,50)",11,27981,0.497680066190353,0.498765826225281,0.262473467299328,female
"[20,50)",12,29362,0.509472597943333,0.51074206829071,0.262549611095166,female
"[50,80]",1,2182,0.511501429839816,0.50943398475647,0.258912721801924,female
"[50,80]",2,1941,0.508757154987468,0.502016127109528,0.263353836012922,female
"[50,80]",3,1925,0.489354079445074,0.47826087474823,0.263656065343842,female
"[50,80]",4,1784,0.483822760871724,0.470228418707848,0.264601796473431,female
"[50,80]",5,1879,0.490532154884505,0.487179487943649,0.261037586589525,female
"[50,80]",6,2142,0.480773167105533,0.470671802759171,0.258060584238684,female
"[50,80]",7,2242,0.474327627918371,0.454356074333191,0.262141744529581,female
"[50,80]",8,2150,0.471716355814837,0.461538463830948,0.262147870070917,female
"[50,80]",9,1926,0.464419566528139,0.452173918485642,0.262162171526076,female
"[50,80]",10,2104,0.480848694992156,0.473784178495407,0.258488511450653,female
"[50,80]",11,2448,0.49744143890783,0.500333786010742,0.261328750642634,female
"[50,80]",12,2439,0.509508098094934,0.510779440402985,0.258099933874685,female
"[20,50)",1,28626,0.50596593244448,0.510528206825256,0.26244504103452,both
"[20,50)",2,26370,0.505812857240992,0.507932722568512,0.261574348644064,both
"[20,50)",3,27153,0.499842591915469,0.499228626489639,0.263363067926792,both
"[20,50)",4,24088,0.491112019572864,0.487057656049728,0.2645582678468,both
"[20,50)",5,26114,0.48432839785818,0.482779026031494,0.2615312342187,both
"[20,50)",6,27267,0.4780177015202,0.471437066793442,0.263377547002697,both
"[20,50)",7,28057,0.470428924929377,0.463888436555862,0.263619593165166,both
"[20,50)",8,27055,0.467143126805434,0.458353102207184,0.263018200991603,both
"[20,50)",9,24189,0.463684776337177,0.451679915189743,0.262530965331928,both
"[20,50)",10,26633,0.481306278463026,0.47740113735199,0.264074111671331,both
"[20,50)",11,29094,0.497450525517794,0.498610094189644,0.262447132179596,both
"[20,50)",12,30545,0.508765175636632,0.510528206825256,0.263089252618948,both
"[50,80]",1,3048,0.503296454845295,0.504122138023377,0.266067756430598,both
"[50,80]",2,2740,0.497155184436073,0.490290343761444,0.270487554217561,both
"[50,80]",3,2787,0.473167239204129,0.465838521718979,0.266931966734361,both
"[50,80]",4,2499,0.466650662165569,0.44785276055336,0.266333487717854,both
"[50,80]",5,2726,0.466576370539763,0.453488379716873,0.266263520501028,both
"[50,80]",6,2970,0.465885621038977,0.456790119409561,0.264499034662192,both
"[50,80]",7,3074,0.456743901448837,0.436781615018845,0.265672854490047,both
"[50,80]",8,2943,0.457605365338453,0.440026521682739,0.267421649266628,both
"[50,80]",9,2596,0.451122980988161,0.436304956674576,0.266345995938004,both
"[50,80]",10,2845,0.469613417672723,0.463636368513107,0.265379815650941,both
"[50,80]",11,3245,0.480484388478227,0.4765625,0.265249134378701,both
"[50,80]",12,3334,0.494522118366625,0.493411391973496,0.266094180736724,both
