age_group,month,n,mean,median,std,type
"[20,50)",1,1145,6.28856091624264,6.05000019073486,2.71175744970185,male
"[20,50)",2,1057,6.36234286616406,6.16077995300293,2.55547569028745,male
"[20,50)",3,1074,6.21671455421483,6.04000020027161,2.64586179704319,male
"[20,50)",4,875,6.34345720658984,6.15999984741211,2.72816294561762,male
"[20,50)",5,988,6.24487954583245,5.90000009536743,2.63968722219769,male
"[20,50)",6,1036,6.19078947045628,6,2.65396728720982,male
"[20,50)",7,1065,6.18943287374828,5.80000019073486,2.62146735563963,male
"[20,50)",8,1054,6.09659047755616,5.9300000667572,2.61694474868394,male
"[20,50)",9,903,6.25325738908445,6.07999992370606,2.65363081045903,male
"[20,50)",10,993,6.20929378241091,6.07936000823975,2.6111005378225,male
"[20,50)",11,1116,6.36041642826945,6.1100001335144,2.5719453268994,male
"[20,50)",12,1182,6.3560601664477,6.05000019073486,2.72540148701861,male
"[50,80]",1,864,2.85325028154033,2.46000003814697,1.71375375226738,male
"[50,80]",2,802,2.80192306778972,2.40500009059906,1.70189375118294,male
"[50,80]",3,862,2.65985953240826,2.29999995231628,1.59794073553926,male
"[50,80]",4,717,2.53569323547714,2.23000001907349,1.45012145290283,male
"[50,80]",5,845,2.47238677119362,2.15000009536743,1.4035767775583,male
"[50,80]",6,826,2.48761802673629,2.19645607471466,1.43035434492356,male
"[50,80]",7,829,2.37380790775159,2.09999990463257,1.32036681292004,male
"[50,80]",8,798,2.45429989904688,2.09999990463257,1.44366845366167,male
"[50,80]",9,670,2.47326568471852,2.18060004711151,1.4083847901153,male
"[50,80]",10,739,2.57505665935263,2.19000005722046,1.49746119572355,male
"[50,80]",11,799,2.50248093382736,2.13000011444092,1.39770459828533,male
"[50,80]",12,899,2.70911108022007,2.29999995231628,1.63617335660946,male
"[20,50)",1,27503,4.33745584787249,4.04385995864868,1.87263811524954,female
"[20,50)",2,25334,4.34457225620563,4.04385995864868,1.89225771294876,female
"[20,50)",3,26148,4.3093786475371,4.01999998092651,1.90439848519844,female
"[20,50)",4,23229,4.26708470237533,3.96000003814697,1.89862989910981,female
"[20,50)",5,25130,4.18382735971052,3.90815997123718,1.83092232996964,female
"[20,50)",6,26252,4.12537859336425,3.84999990463257,1.81906332175285,female
"[20,50)",7,27011,4.07562244166617,3.79999995231628,1.81804636573895,female
"[20,50)",8,26015,4.06256425532382,3.79999995231628,1.79356506849335,female
"[20,50)",9,23323,4.03871971864324,3.75,1.80529981446781,female
"[20,50)",10,25650,4.16231371026755,3.90000009536743,1.8430496753272,female
"[20,50)",11,28032,4.24220899083401,3.9624400138855,1.85524286798671,female
"[20,50)",12,29371,4.36184434412871,4.09813976287842,1.89046983297711,female
"[50,80]",1,2189,1.98431691504222,1.74000000953674,1.05179851872793,female
"[50,80]",2,1940,2.01957808794435,1.73848003149033,1.11117727682011,female
"[50,80]",3,1928,1.93880529525493,1.70000004768372,1.04890017790446,female
"[50,80]",4,1785,1.91382968990075,1.69000005722046,1.05737237635043,female
"[50,80]",5,1878,1.96387472666237,1.72610402107239,1.04144876270075,female
"[50,80]",6,2144,1.91005978149487,1.70000004768372,0.995445071349366,female
"[50,80]",7,2244,1.90982975878499,1.63999998569489,1.04501595337336,female
"[50,80]",8,2150,1.86632603839386,1.62000000476837,1.00289396750798,female
"[50,80]",9,1932,1.83207188540487,1.58613103628159,0.999141530639176,female
"[50,80]",10,2111,1.8871824553599,1.641970038414,1.00886700834012,female
"[50,80]",11,2448,1.9378046299897,1.70000004768372,1.04552700199338,female
"[50,80]",12,2440,1.98585580279593,1.78654897212982,1.04131645014437,female
"[20,50)",1,28644,4.4096445230578,4.09999990463257,1.92404813721272,both
"[20,50)",2,26388,4.41958547376206,4.09999990463257,1.94257658540679,both
"[20,50)",3,27167,4.38649396976751,4.09999990463257,1.94807331686579,both
"[20,50)",4,24113,4.33605765188486,4,1.95029561984872,both
"[20,50)",5,26128,4.25625488684448,3.98957991600037,1.88319811325909,both
"[20,50)",6,27268,4.19144947391216,3.90000009536743,1.86554890705218,both
"[20,50)",7,28065,4.14456757006109,3.84999990463257,1.86721151650547,both
"[20,50)",8,27064,4.1349043349146,3.84999990463257,1.84733967702841,both
"[20,50)",9,24232,4.10961601684671,3.79999995231628,1.8593840956255,both
"[20,50)",10,26643,4.22937827077986,3.94000005722046,1.88951731229254,both
"[20,50)",11,29177,4.31305307519441,4.01671981811523,1.90759515817086,both
"[20,50)",12,30556,4.43055047524164,4.13000011444092,1.94219272448452,both
"[50,80]",1,3039,2.21114270488617,1.89999997615814,1.24912576114119,both
"[50,80]",2,2737,2.228855272018,1.89999997615814,1.27734231295008,both
"[50,80]",3,2791,2.13316961983035,1.84552001953125,1.20575631354654,both
"[50,80]",4,2504,2.07854750857186,1.79999995231628,1.17913195693354,both
"[50,80]",5,2728,2.10187863265751,1.85000002384186,1.1362489420861,both
"[50,80]",6,2972,2.05720455266666,1.80999994277954,1.11718153235421,both
"[50,80]",7,3081,2.02585063486353,1.75,1.12398643017544,both
"[50,80]",8,2945,2.01315445147063,1.75867199897766,1.1217540026357,both
"[50,80]",9,2597,1.98786739319345,1.70000004768372,1.12221724765769,both
"[50,80]",10,2846,2.05316762352861,1.7763130068779,1.14917252407141,both
"[50,80]",11,3245,2.0680173010782,1.79999995231628,1.1354142795503,both
"[50,80]",12,3337,2.15880704940634,1.89999997615814,1.20050618216499,both
