age_group,month,n,mean,median,std,type
"[20,50)",1,765,6.67072537397248,6.34999990463257,2.60217921409654,male
"[20,50)",2,721,6.78321364220237,6.65000009536743,2.44011379870032,male
"[20,50)",3,724,6.55354749794164,6.23999977111816,2.54127168497234,male
"[20,50)",4,577,6.77725780072204,6.51000022888184,2.64710021371397,male
"[20,50)",5,697,6.46950607149297,6.21999979019165,2.54215412375135,male
"[20,50)",6,714,6.49176317737216,6.32181000709534,2.61481101086756,male
"[20,50)",7,741,6.43543121753595,6.07999992370606,2.5651847065379,male
"[20,50)",8,706,6.49123805170356,6.26967000961304,2.47953579854181,male
"[20,50)",9,614,6.62964349577404,6.38000011444092,2.53993493149492,male
"[20,50)",10,666,6.61259780273781,6.50500011444092,2.46850098586139,male
"[20,50)",11,777,6.62444196858155,6.34999990463257,2.56411100814321,male
"[20,50)",12,799,6.79233803856507,6.61999988555908,2.66825091205248,male
"[50,80]",1,232,3.44560038863585,3.14912009239197,1.70268089191892,male
"[50,80]",2,237,3.18501532605932,2.93111991882324,1.52534978300008,male
"[50,80]",3,245,2.99801723713778,2.84969997406006,1.32205404165304,male
"[50,80]",4,210,3.24533635548183,2.9019900560379,1.72680730190447,male
"[50,80]",5,219,2.9886591382767,2.76828002929688,1.42460892338087,male
"[50,80]",6,227,3.30036431104601,3.11999988555908,1.59035572896829,male
"[50,80]",7,216,2.91558904863066,2.84984993934631,1.40333082375275,male
"[50,80]",8,214,3.34206672165995,2.97000002861023,1.86787234365959,male
"[50,80]",9,201,2.9563223793732,2.9300000667572,1.39787212348182,male
"[50,80]",10,207,3.00293256004076,2.8199999332428,1.68029447021269,male
"[50,80]",11,205,3.29455498922162,2.79999995231628,1.85508008622217,male
"[50,80]",12,253,3.25419376207435,2.79541993141174,1.72707695944765,male
"[20,50)",1,16663,4.47610129998425,4.19999980926514,1.90735818379044,female
"[20,50)",2,15606,4.4732085057257,4.19999980926514,1.91127210158239,female
"[20,50)",3,16017,4.47316180018589,4.19999980926514,1.92580425885936,female
"[20,50)",4,14055,4.41260833766527,4.09999990463257,1.91204621630238,female
"[20,50)",5,15346,4.34349338701181,4.04385995864868,1.87638579650379,female
"[20,50)",6,15876,4.28303473933304,4.01671981811523,1.84504877255577,female
"[20,50)",7,16404,4.21395240418506,3.90815997123718,1.85571681767087,female
"[20,50)",8,15949,4.20421003239216,3.91000008583069,1.81895499504254,female
"[20,50)",9,14135,4.18394256521123,3.90000009536743,1.82523399271406,female
"[20,50)",10,15588,4.31792905400556,4.01999998092651,1.88073991636814,female
"[20,50)",11,16886,4.41173181259334,4.13000011444092,1.88154098389917,female
"[20,50)",12,17919,4.5153970105872,4.23000001907349,1.91364617271772,female
"[50,80]",1,830,2.14845454814922,1.89999997615814,1.07788354126245,female
"[50,80]",2,801,2.15687277053626,1.89999997615814,1.09486328113439,female
"[50,80]",3,775,2.10254826015042,1.87999999523163,1.09541772360241,female
"[50,80]",4,684,2.20999153925661,1.91999995708466,1.14969651066841,female
"[50,80]",5,761,2.16728417467664,2,1.00745531305702,female
"[50,80]",6,882,2.17958833577952,2.01460802555084,1.03446672198822,female
"[50,80]",7,873,2.07876333870839,1.87000000476837,1.07542720272089,female
"[50,80]",8,884,2.11936612858762,1.91439896821976,1.09896632867283,female
"[50,80]",9,788,1.96908674128164,1.70982003211975,1.01593235936982,female
"[50,80]",10,805,2.17933575988556,1.95407998561859,1.0941724947348,female
"[50,80]",11,907,2.16611997577821,1.91999995708466,1.11429731924387,female
"[50,80]",12,939,2.22578713002677,2,1.12009525538963,female
"[20,50)",1,17418,4.56309921773105,4.26000022888184,1.96247856263251,both
"[20,50)",2,16328,4.56863354585996,4.26098012924194,1.96900754273577,both
"[20,50)",3,16738,4.55304057779157,4.28811979293823,1.9726251373869,both
"[20,50)",4,14610,4.49978598268125,4.17999982833862,1.96363941304299,both
"[20,50)",5,16041,4.42883966434449,4.12527990341187,1.93087112002557,both
"[20,50)",6,16579,4.36645793381269,4.09999990463257,1.90141600221498,both
"[20,50)",7,17094,4.3086626323689,4,1.90812958550457,both
"[20,50)",8,16657,4.29311817955654,4,1.87959685749676,both
"[20,50)",9,14772,4.2713616388602,3.9624400138855,1.89128550309896,both
"[20,50)",10,16247,4.40561986216077,4.09999990463257,1.93468275148398,both
"[20,50)",11,17661,4.50077421129523,4.19999980926514,1.93977923041505,both
"[20,50)",12,18715,4.60192470318042,4.30000019073486,1.97195447580563,both
"[50,80]",1,1063,2.41619235080924,2.09999990463257,1.29204046121464,both
"[50,80]",2,1039,2.37531726267386,2.09999990463257,1.22930952314925,both
"[50,80]",3,1019,2.31277424389528,2.11999988555908,1.19279516800443,both
"[50,80]",4,891,2.42815627467084,2.20000004768372,1.26806393437822,both
"[50,80]",5,982,2.33376965424437,2.16984307765961,1.10752178259282,both
"[50,80]",6,1110,2.38714996533351,2.24723899364471,1.16949245932335,both
"[50,80]",7,1097,2.23152024988272,2,1.15775264810927,both
"[50,80]",8,1098,2.32131262457436,2.09999990463257,1.24222993113822,both
"[50,80]",9,987,2.16720401443609,1.95000004768372,1.1397395375394,both
"[50,80]",10,1008,2.33561172294948,2.07999992370605,1.21374964199462,both
"[50,80]",11,1112,2.34485768119423,2.02999997138977,1.25588633685475,both
"[50,80]",12,1189,2.42555734587879,2.17000007629395,1.25328247561834,both
