age_group,month,n,mean,median,std,type
"[20,30)",1,2056,0.490074937320622,0.484155431389809,0.260952149769812,male
"[20,30)",2,1863,0.518805185747815,0.522634923458099,0.261745513427901,male
"[20,30)",3,1957,0.497654208585079,0.51142680644989,0.256007462120721,male
"[20,30)",4,1578,0.523890637071433,0.535331845283508,0.257316675646146,male
"[20,30)",5,1854,0.51143105617426,0.520558595657349,0.265973988389825,male
"[20,30)",6,1802,0.506496364792414,0.510330885648727,0.264605086736503,male
"[20,30)",7,2008,0.47983478888335,0.46942126750946,0.255054322956541,male
"[20,30)",8,1877,0.499498832633458,0.503491103649139,0.267718395772601,male
"[20,30)",9,1634,0.473797633664881,0.455905869603157,0.265478185306186,male
"[20,30)",10,1827,0.494923470194182,0.498764663934708,0.26123502849382,male
"[20,30)",11,2045,0.498872486869907,0.497469633817673,0.26002387903133,male
"[20,30)",12,2087,0.501946878303994,0.503491103649139,0.261246769685435,male
"[30,40)",1,2795,0.504976188957904,0.504575192928314,0.261340778977994,male
"[30,40)",2,2530,0.509413661180513,0.519431561231613,0.259230600258657,male
"[30,40)",3,2558,0.507296955893057,0.513566613197327,0.261961471969786,male
"[30,40)",4,2174,0.499481790727339,0.507720082998276,0.260996445980492,male
"[30,40)",5,2374,0.503716671538069,0.504007607698441,0.265369917133222,male
"[30,40)",6,2518,0.509583202729962,0.514507949352264,0.265537759115662,male
"[30,40)",7,2482,0.493663466540762,0.498443990945816,0.258687458992064,male
"[30,40)",8,2417,0.490269016143109,0.478758156299591,0.259902478958884,male
"[30,40)",9,2135,0.491356925463928,0.48483669757843,0.265247651942351,male
"[30,40)",10,2319,0.489140591256035,0.479411751031876,0.261757812557132,male
"[30,40)",11,2778,0.506884925933709,0.506020903587341,0.257923299629195,male
"[30,40)",12,2791,0.50565816070424,0.504575192928314,0.258686841716926,male
"[40,50)",1,1153,0.495583094759858,0.498933911323547,0.260841135280829,male
"[40,50)",2,1112,0.512081353513109,0.514413833618164,0.264117729595128,male
"[40,50)",3,1112,0.501113758047225,0.508389234542847,0.262114757170095,male
"[40,50)",4,939,0.512320057394755,0.518886685371399,0.260439038931913,male
"[40,50)",5,1019,0.482031429012811,0.469189196825028,0.258388178028002,male
"[40,50)",6,1039,0.499109284287181,0.488272935152054,0.261733681990639,male
