age_group,month,n,mean,median,std,type
"[20,50)",1,6003,0.498283385498815,0.49762237071991,0.261052808583727,male
"[20,50)",2,5508,0.513207802434703,0.520590722560883,0.261182193986553,male
"[20,50)",3,5623,0.503046764208263,0.51142680644989,0.259714795556684,male
"[20,50)",4,4689,0.510660044558141,0.521398603916168,0.259668513832962,male
"[20,50)",5,5248,0.502298368787728,0.501183032989502,0.264391675384746,male
"[20,50)",6,5361,0.506515493437528,0.508946299552918,0.264561359828466,male
"[20,50)",7,5524,0.489593153612406,0.48587067425251,0.257386099336636,male
"[20,50)",8,5294,0.494810778118493,0.491567105054855,0.262544592871015,male
"[20,50)",9,4596,0.482986386676519,0.474366903305054,0.265016704961223,male
"[20,50)",10,5115,0.493482931819858,0.490600645542145,0.260990217188346,male
"[20,50)",11,5918,0.504096215021781,0.5053671002388,0.260403010412959,male
"[20,50)",12,6050,0.502690044225863,0.504179000854492,0.259844730695557,male
"[50,80]",1,1339,0.512859018621069,0.516853928565979,0.269184791725679,male
"[50,80]",2,1239,0.529362555106168,0.537599980831146,0.254395698071596,male
"[50,80]",3,1294,0.501955630646377,0.49914675951004,0.263615226044993,male
"[50,80]",4,1057,0.493650819848987,0.498293519020081,0.260950277055317,male
"[50,80]",5,1181,0.497463515556712,0.497175127267838,0.263212278290147,male
"[50,80]",6,1160,0.515700060501695,0.51141893863678,0.267263436240658,male
"[50,80]",7,1189,0.503215041782322,0.493031352758408,0.265849147512883,male
"[50,80]",8,1052,0.497845691596884,0.504594713449478,0.262272573774846,male
"[50,80]",9,940,0.483031960913634,0.482248872518539,0.258964347805898,male
"[50,80]",10,1026,0.497261283788503,0.49798396229744,0.267219676774045,male
"[50,80]",11,1101,0.48374046991959,0.48330682516098,0.260208458606401,male
"[50,80]",12,1217,0.492950256702688,0.483146071434021,0.256695082801455,male
"[20,50)",1,44327,0.492195268749652,0.489451736211777,0.259972722838069,female
"[20,50)",2,41605,0.496167144006443,0.493221431970596,0.261043234964755,female
"[20,50)",3,43139,0.495269131360652,0.495234280824661,0.261107578530196,female
"[20,50)",4,38543,0.495640243522666,0.49284490942955,0.261791495040407,female
"[20,50)",5,42620,0.49087276434511,0.489859268069267,0.261693021103089,female
"[20,50)",6,43977,0.496197362424189,0.496650487184525,0.262450668538648,female
"[20,50)",7,44573,0.497674778154476,0.496650487184525,0.262715527146627,female
"[20,50)",8,42967,0.498548279623106,0.499033540487289,0.260930138221031,female
"[20,50)",9,38043,0.497018923775626,0.496701151132584,0.261633971710163,female
"[20,50)",10,40983,0.493801771720736,0.491252034902573,0.263205737464959,female
"[20,50)",11,44803,0.495285335157251,0.491923928260803,0.261644024365339,female
"[20,50)",12,45671,0.496557304928106,0.492288440465927,0.25918204951155,female
"[50,80]",1,5980,0.475146818154158,0.471747353672981,0.2541743615282,female
"[50,80]",2,5745,0.478959847858307,0.473100483417511,0.25520509687716,female
"[50,80]",3,5869,0.476502763612355,0.466679632663727,0.257277544558653,female
"[50,80]",4,5335,0.476646989384961,0.469178080558777,0.258390736288569,female
"[50,80]",5,6130,0.481481998997815,0.481116309762001,0.257889804003263,female
"[50,80]",6,6712,0.486262992970175,0.484011918306351,0.260523830701885,female
"[50,80]",7,6797,0.494157636967019,0.501360595226288,0.26067351059292,female
"[50,80]",8,6390,0.494124087616685,0.49393829703331,0.257424379431857,female
"[50,80]",9,5419,0.485503500168323,0.479261159896851,0.257161867944243,female
"[50,80]",10,5727,0.490303692224634,0.489737123250961,0.256438025535773,female
"[50,80]",11,6040,0.491335591181669,0.492557644844055,0.257874878571151,female
"[50,80]",12,5919,0.484788082962978,0.477777779102325,0.25744165762504,female
"[20,50)",1,50329,0.49293039680857,0.490090101957321,0.260101373753412,both
"[20,50)",2,47109,0.498178614581627,0.497508019208908,0.261091460240296,both
"[20,50)",3,48769,0.496101551469119,0.496701151132584,0.260992945594754,both
"[20,50)",4,43231,0.49730028221377,0.497209370136261,0.261594358023459,both
"[20,50)",5,47871,0.492114406320916,0.490968465805054,0.262024170597202,both
"[20,50)",6,49337,0.49730521634846,0.497430890798569,0.262685385102867,both
"[20,50)",7,50097,0.496801124950261,0.494706273078919,0.262142017583149,both
"[20,50)",8,48259,0.498195162584682,0.498228549957275,0.261095161949226,both
"[20,50)",9,42641,0.495506842224016,0.49284490942955,0.262044298018091,both
"[20,50)",10,46100,0.493785489539004,0.491078972816467,0.26296788775126,both
"[20,50)",11,50721,0.496312278823727,0.49284490942955,0.261510377069244,both
"[20,50)",12,51724,0.497266418446415,0.494402825832367,0.259279120010894,both
"[50,80]",1,7323,0.482398503525232,0.478386163711548,0.257495798866072,both
"[50,80]",2,6982,0.488163744740506,0.484526380896568,0.255667236358432,both
"[50,80]",3,7159,0.480835593462028,0.471910119056702,0.258416233265102,both
"[50,80]",4,6395,0.47983842411889,0.473170727491379,0.258981093023227,both
"[50,80]",5,7312,0.483871084741873,0.483595609664917,0.258809722120819,both
"[50,80]",6,7872,0.490600702267167,0.487813845276833,0.261711337880782,both
"[50,80]",7,7983,0.495335739343933,0.497674405574799,0.261336708382444,both
"[50,80]",8,7445,0.494711091139719,0.494268983602524,0.25820195124588,both
"[50,80]",9,6360,0.484923553149913,0.479963377118111,0.257430803367399,both
"[50,80]",10,6753,0.491229665778301,0.490971356630325,0.258066847899826,both
"[50,80]",11,7143,0.490166684967533,0.49156790971756,0.258305539931464,both
"[50,80]",12,7136,0.486180753866837,0.47894199192524,0.257310821505445,both
