age_group,month,n,mean,median,std,type
"[20,80]",1,7420,6.55437196918896,5,4.70301961888332,male
"[20,80]",2,6779,6.8395353266053,5.30000019073486,4.84847522983568,male
"[20,80]",3,6915,6.64767462093591,5.09999990463257,4.75051349250811,male
"[20,80]",4,5758,6.69865751632927,5.19999980926514,4.74191686048681,male
"[20,80]",5,6457,6.70426359041124,5.05999994277954,4.98722879497907,male
"[20,80]",6,6537,6.89657488342672,5.19999980926514,5.23192601618566,male
"[20,80]",7,6736,6.4170486950216,4.90499997138977,4.5950092060129,male
"[20,80]",8,6381,6.49861620896439,5,4.72324102232681,male
"[20,80]",9,5576,6.36646520490711,4.80000019073486,4.70230925603888,male
"[20,80]",10,6144,6.47278645754947,5,4.61004734542279,male
"[20,80]",11,7027,6.63169204971606,5,4.88758240363922,male
"[20,80]",12,7275,6.59620068931907,5,4.72125864050914,male
"[20,80]",1,50315,13.5364394328282,7.40000009536743,14.9349051268277,female
"[20,80]",2,47530,13.7534973743913,7.40000009536743,15.1930977807934,female
"[20,80]",3,49018,13.7227973463953,7.40000009536743,15.3048366587698,female
"[20,80]",4,43902,13.8607676227915,7.40000009536743,15.4527238418686,female
"[20,80]",5,48834,13.8542243132463,7.30000019073486,15.5404547862566,female
"[20,80]",6,50697,14.3786064294028,7.5,16.1714454255794,female
"[20,80]",7,51566,14.5374093456495,7.5,16.4651383886398,female
"[20,80]",8,49418,14.4427182439598,7.5,16.2652907119155,female
"[20,80]",9,43467,14.1496585890036,7.46000003814697,15.8674568181428,female
"[20,80]",10,46850,14.0329178254963,7.40000009536743,15.8476749363439,female
"[20,80]",11,50894,13.8713919165402,7.40000009536743,15.5408209475658,female
"[20,80]",12,51639,13.3803696837012,7.30000019073486,14.803996664966,female
"[20,80]",1,57684,12.4125511427749,7.09999990463257,13.5368436840758,both
"[20,80]",2,54249,12.6803159530478,7.19999980926514,13.8395003499327,both
"[20,80]",3,55997,12.6010054153555,7.13000011444092,13.9064559445842,both
"[20,80]",4,49826,12.7745594681661,7.15999984741211,14.1364614238541,both
"[20,80]",5,55198,12.8345315071322,7.09999990463257,14.2795384880359,both
"[20,80]",6,57395,13.2900561052308,7.26999998092651,14.8881660650816,both
"[20,80]",7,58163,13.3910176624301,7.19999980926514,15.1263151434635,both
"[20,80]",8,55859,13.2953948361821,7.19999980926514,14.9402168745979,both
"[20,80]",9,49015,13.0687293659871,7.19999980926514,14.630073971094,both
"[20,80]",10,52880,12.9542210692131,7.1949999332428,14.5359408816333,both
"[20,80]",11,58038,12.7468475864052,7.09999990463257,14.1776428874851,both
"[20,80]",12,58976,12.3106577275922,7.09999990463257,13.4525785175592,both
