age_group,month,n,mean,median,std,type
"[20,50)",1,214618,0.530953156589714,0.542933166027069,0.256339695304831,male
"[20,50)",2,203667,0.525882896972029,0.536338090896606,0.25748057226777,male
"[20,50)",3,214304,0.519964221715548,0.528428077697754,0.260285833850331,male
"[20,50)",4,195122,0.513269599697155,0.51869535446167,0.263334334431458,male
"[20,50)",5,213350,0.502648288320033,0.503104150295258,0.266483885978106,male
"[20,50)",6,219436,0.494427985987321,0.494622945785523,0.267457018737582,male
"[20,50)",7,222298,0.488662799172319,0.484470635652542,0.267958679428332,male
"[20,50)",8,211655,0.48804125800915,0.482300847768784,0.268437693853564,male
"[20,50)",9,186811,0.491710338374478,0.487315356731415,0.269143655493366,male
"[20,50)",10,197219,0.492780447613529,0.487315356731415,0.266704589908086,male
"[20,50)",11,210134,0.499932524422578,0.500202894210815,0.260671535827917,male
"[20,50)",12,215384,0.520748165598499,0.529407799243927,0.257110354633336,male
"[50,80]",1,111846,0.534654521610418,0.546976804733276,0.26422286554939,male
"[50,80]",2,104606,0.528644010021586,0.540625691413879,0.266147476922344,male
"[50,80]",3,107783,0.522426660943627,0.527467906475067,0.266973339921065,male
"[50,80]",4,97291,0.511947464747798,0.516118228435516,0.267919338737753,male
"[50,80]",5,106538,0.497836163735698,0.497598767280579,0.268792161388526,male
"[50,80]",6,108636,0.490545345857563,0.486363381147385,0.269121435623958,male
"[50,80]",7,107977,0.48548913104999,0.479799926280975,0.269049781539517,male
"[50,80]",8,100701,0.48329594297448,0.478856384754181,0.270168950133789,male
"[50,80]",9,88432,0.487342089827811,0.480740010738373,0.270810205625804,male
"[50,80]",10,96284,0.489789897135172,0.484889537096024,0.267568057206748,male
"[50,80]",11,106065,0.49807207345638,0.497505515813828,0.263452412372368,male
"[50,80]",12,110384,0.521070803865618,0.526989579200745,0.262944823636294,male
"[20,50)",1,269056,0.52514971461061,0.535417199134827,0.261022745887724,female
"[20,50)",2,260006,0.519007006543892,0.524454474449158,0.262660140935697,female
"[20,50)",3,274552,0.513962370347672,0.520948648452759,0.263519682762202,female
"[20,50)",4,255486,0.508366796968012,0.513875067234039,0.265381946640091,female
"[20,50)",5,287902,0.498477029099129,0.501894474029541,0.266383306441633,female
"[20,50)",6,295949,0.49286250614061,0.491962254047394,0.266722240658027,female
"[20,50)",7,299619,0.487129355529659,0.479853183031082,0.267613204067821,female
"[20,50)",8,284556,0.486905225396082,0.479853183031082,0.267319893724386,female
"[20,50)",9,251803,0.490654967582007,0.487400531768799,0.267916879360272,female
"[20,50)",10,266988,0.490426093826002,0.487092226743698,0.266076399839922,female
"[20,50)",11,278658,0.497489408120732,0.499060690402985,0.261831511674553,female
"[20,50)",12,274674,0.517185170738071,0.52360600233078,0.260652665718061,female
"[50,80]",1,161404,0.526329464201242,0.534233570098877,0.267279022369543,female
"[50,80]",2,156398,0.52123945038311,0.527426362037659,0.268552752986043,female
"[50,80]",3,160553,0.515629118044226,0.524507284164429,0.268321884256393,female
"[50,80]",4,149177,0.505348022580278,0.508536398410797,0.268972885578145,female
"[50,80]",5,171323,0.493275199609771,0.489982903003693,0.26815152620345,female
"[50,80]",6,176797,0.489991981163889,0.488466560840607,0.267511670135307,female
"[50,80]",7,174408,0.485017869214913,0.482473611831665,0.26820815881511,female
"[50,80]",8,159882,0.486195603026418,0.482473611831665,0.268726058597444,female
"[50,80]",9,138006,0.492736329398088,0.488681852817535,0.269479997396524,female
"[50,80]",10,149472,0.492101093150338,0.489982903003693,0.267981718667961,female
"[50,80]",11,162136,0.501220447027146,0.499472796916962,0.264153670357376,female
"[50,80]",12,160472,0.518724290960124,0.526739239692688,0.264238531294722,female
"[20,50)",1,483632,0.527742948369051,0.54055267572403,0.258935111320419,both
"[20,50)",2,463664,0.522013861466988,0.531305551528931,0.260404574057309,both
"[20,50)",3,488801,0.516642966396371,0.523793816566467,0.262086565197541,both
"[20,50)",4,450524,0.510466101013402,0.514127790927887,0.264455840832546,both
"[20,50)",5,501160,0.500251218203316,0.502007126808167,0.266383817320276,both
"[20,50)",6,515331,0.493601185118398,0.494622945785523,0.267009403539613,both
"[20,50)",7,521783,0.487801189846398,0.482300847768784,0.267695547512065,both
"[20,50)",8,496233,0.487328731732131,0.480808049440384,0.267805740182151,both
"[20,50)",9,438509,0.49121219432933,0.487315356731415,0.26838061951962,both
"[20,50)",10,464062,0.491549049965514,0.487315356731415,0.266267678812236,both
"[20,50)",11,488797,0.498592749825582,0.500202894210815,0.261337829352394,both
"[20,50)",12,489986,0.518774356188284,0.524467587471008,0.259061479931823,both
"[50,80]",1,273199,0.529767193049207,0.537947356700897,0.266004335569199,both
"[50,80]",2,260879,0.524365281871417,0.533202350139618,0.267480064673148,both
"[50,80]",3,268334,0.518317047987521,0.525937974452972,0.267798162055186,both
"[50,80]",4,246461,0.507960152026871,0.512658953666687,0.268566605426282,both
"[50,80]",5,277881,0.495057057350946,0.492009669542313,0.268424686098187,both
"[50,80]",6,285472,0.490092020947669,0.488466560840607,0.268156572464448,both
"[50,80]",7,282344,0.48532139801705,0.480294704437256,0.268496940190781,both
"[50,80]",8,260464,0.485233572179215,0.479799926280975,0.26917476219862,both
"[50,80]",9,226420,0.490609200052764,0.486363381147385,0.269989928439434,both
"[50,80]",10,245747,0.49122765053586,0.488466560840607,0.267811674998828,both
"[50,80]",11,268218,0.500004135661988,0.49880439043045,0.263896947655531,both
"[50,80]",12,270861,0.519766676781204,0.526989579200745,0.263713037727945,both
