age_group,month,n,mean,median,std,type
"[20,50)",1,217039,90.7992001436053,90,8.98266665875976,male
"[20,50)",2,205420,90.6659775098567,90,8.97735087090019,male
"[20,50)",3,215678,90.6224960353184,90,9.13030145341101,male
"[20,50)",4,196924,90.3119680693646,89,9.28475810913486,male
"[20,50)",5,214487,90.0491661503211,89,9.33957262696594,male
"[20,50)",6,221062,89.6159471105508,89,9.3042537476367,male
"[20,50)",7,223971,89.4189595978022,88,9.31439748418726,male
"[20,50)",8,213705,89.4646774760741,88,9.4442102038162,male
"[20,50)",9,188506,89.5359028359112,88.8500022888184,9.47732054363637,male
"[20,50)",10,197661,89.6838658109181,89,9.20057287943486,male
"[20,50)",11,212192,89.7626479789873,89,8.94300340220499,male
"[20,50)",12,217589,90.5309036761057,90,8.94887732624057,male
"[50,80]",1,112777,97.340188159082,96,11.2042790180364,male
"[50,80]",2,105102,97.1839508287043,96,11.1175128427425,male
"[50,80]",3,108182,97.0198526558932,95,11.1297783436072,male
"[50,80]",4,97916,96.5025562736897,95,11.0672959010202,male
"[50,80]",5,107595,95.7693238529276,94,10.9159882661895,male
"[50,80]",6,109569,95.5440151871672,94,10.8805379872612,male
"[50,80]",7,108913,95.3425963840318,94,10.8460141850518,male
"[50,80]",8,101263,95.2587944261234,94,10.8612976841734,male
"[50,80]",9,89166,95.4296402222423,94,11.040940697944,male
"[50,80]",10,96519,95.5786052487233,94,10.7166763428446,male
"[50,80]",11,107023,95.7239584015792,94,10.550968000126,male
"[50,80]",12,110962,96.71990771555,95,10.7305813097578,male
"[20,50)",1,269681,87.646612108295,87,7.98164529097953,female
"[20,50)",2,262736,87.3928753573961,87,8.13348694063391,female
"[20,50)",3,276947,87.2694851359468,87,8.13102523968488,female
"[20,50)",4,256946,87.1651996920075,86,8.17247563767426,female
"[20,50)",5,291422,86.8084959270522,86,8.25054769785115,female
"[20,50)",6,299692,86.689965030994,86,8.25895029884662,female
"[20,50)",7,302082,86.4319188166744,86,8.17005446177245,female
"[20,50)",8,286547,86.401547739125,86,8.1469438674802,female
"[20,50)",9,254445,86.5535353417878,86,8.28820457006766,female
"[20,50)",10,270835,86.5347565855612,86,8.24053475141729,female
"[20,50)",11,280917,86.7510097286948,86,7.9183719880296,female
"[20,50)",12,275433,87.4369650695672,87,7.9423797491846,female
"[50,80]",1,162467,94.7311577120746,93,10.3242814653391,female
"[50,80]",2,157056,94.5686175633274,93,10.3015556767684,female
"[50,80]",3,162161,94.1630521518079,93,10.2537747685583,female
"[50,80]",4,150125,93.8328452955463,93,10.0978031847847,female
"[50,80]",5,172129,93.4637835580263,92,9.91886623799924,female
"[50,80]",6,177307,93.2695719852275,92,9.76441303420012,female
"[50,80]",7,174750,93.0857224604398,92,9.77185457818082,female
"[50,80]",8,159906,93.1108075994361,92,9.78945217873126,female
"[50,80]",9,138529,93.3676847445453,92,9.97538586794902,female
"[50,80]",10,150328,93.3665923846421,92,9.92419632047469,female
"[50,80]",11,164223,93.5784963130425,92,9.84152509453896,female
"[50,80]",12,161549,94.3028270061516,93,9.9702678185297,female
"[20,50)",1,489873,89.0386126607142,88,8.6410033653535,both
"[20,50)",2,468417,88.9214180953368,88,8.65160766523809,both
"[20,50)",3,492145,88.7903784450265,88,8.66577819601066,both
"[20,50)",4,456156,88.4792533697356,88,8.81223476003314,both
"[20,50)",5,503478,88.1340271076619,87,8.6793002817725,both
"[20,50)",6,517351,88.0036723621053,87,8.68589788676482,both
"[20,50)",7,523697,87.8296908327898,87,8.69616865889102,both
"[20,50)",8,497384,87.7943960803412,87,8.69133236151637,both
"[20,50)",9,440941,87.9395222944905,87,8.83267964725274,both
"[20,50)",10,466996,87.8588255571767,87,8.66825036212312,both
"[20,50)",11,489360,88.1085593426093,87,8.33671229705069,both
"[20,50)",12,494239,88.6908653505044,88,8.47546827248208,both
"[50,80]",1,276157,95.7235970843833,94,10.7597474113806,both
"[50,80]",2,262708,95.4996067878108,94,10.6600433750303,both
"[50,80]",3,269754,95.3474313634186,94,10.626330671304,both
"[50,80]",4,249104,94.8378062981449,94,10.5964872733795,both
"[50,80]",5,279443,94.3074133186921,93,10.2984043148053,both
"[50,80]",6,287227,94.1548050845227,93,10.254235512234,both
"[50,80]",7,283914,93.9599748512816,93,10.2363102972807,both
"[50,80]",8,261455,93.9570086629303,93,10.2577968491174,both
"[50,80]",9,227854,94.178527478276,93,10.429373823811,both
"[50,80]",10,247416,94.1246079477479,93,10.2539098204826,both
"[50,80]",11,269503,94.5320063228742,93,10.0762455126092,both
"[50,80]",12,273983,95.2712051475363,94,10.4284477929066,both
