age_group,month,n,mean,median,std,type
"[20,50)",1,278,0.975857900214388,0.300000011920929,1.55467300122668,male
"[20,50)",2,270,1.43041685160111,0.300000011920929,2.43037081187395,male
"[20,50)",3,292,1.00075342729433,0.237999998033047,1.52471067844106,male
"[20,50)",4,291,0.971481876210966,0.28999999165535,1.63663311467566,male
"[20,50)",5,306,1.15246145314007,0.200000002980232,1.95858904668174,male
"[20,50)",6,310,0.749582679365431,0.239999994635582,1.07122341333871,male
"[20,50)",7,303,0.759203393836029,0.200000002980232,1.22749750237726,male
"[20,50)",8,318,0.824461201217564,0.280000001192093,1.26514097265298,male
"[20,50)",9,226,0.911477699562644,0.203500002622604,1.63937247390889,male
"[20,50)",10,217,0.77386175077151,0.237000003457069,1.13993636899436,male
"[20,50)",11,264,0.812496214089068,0.234999999403954,1.23341188586921,male
"[20,50)",12,335,0.876418902958507,0.303999990224838,1.40060009509367,male
"[50,80]",1,464,1.06622773195328,0.475500002503395,1.52905302579017,male
"[50,80]",2,476,1.19325068781638,0.470499992370606,1.6865456956008,male
"[50,80]",3,455,1.16701153565894,0.477999985218048,1.75031388387079,male
"[50,80]",4,402,0.796271832168695,0.298500001430511,1.18237779505031,male
"[50,80]",5,442,0.971417773506558,0.378999993205071,1.43182684288608,male
"[50,80]",6,484,0.902334696436224,0.400000005960465,1.25070713019295,male
"[50,80]",7,479,1.04178801405249,0.389999985694885,1.68539283185827,male
"[50,80]",8,460,0.862655784149209,0.370000004768372,1.14078116701754,male
"[50,80]",9,407,0.824921374238973,0.308999985456467,1.24109522055682,male
"[50,80]",10,417,0.956512380757635,0.439999997615814,1.2264465383295,male
"[50,80]",11,501,0.843013286821083,0.331999987363815,1.11860844651012,male
"[50,80]",12,503,0.900095377517327,0.389999985694885,1.24322034962923,male
"[20,50)",1,597,1.74433164135046,0.610000014305115,2.28396678757661,female
"[20,50)",2,571,2.15817162698549,1,2.56653314803995,female
"[20,50)",3,661,1.78885627923457,0.800000011920929,2.27091361940253,female
"[20,50)",4,587,2.008213392324,0.800000011920929,2.66924049749923,female
"[20,50)",5,558,1.64628853114809,0.719499975442886,1.98742726978298,female
"[20,50)",6,616,1.74391820112413,0.800000011920929,2.2177137792349,female
"[20,50)",7,620,1.55016236495106,0.650999993085861,2.02002819652723,female
"[20,50)",8,606,1.70760175376737,0.699999988079071,2.14670395203529,female
"[20,50)",9,560,1.64953272026032,0.699999988079071,2.03520457237482,female
"[20,50)",10,558,1.70337689236661,0.750499993562698,2.07317267559865,female
"[20,50)",11,668,1.84446706352923,0.899999976158142,2.18761853191015,female
"[20,50)",12,616,1.59253027660216,0.800000011920929,1.9121590764996,female
"[50,80]",1,613,1.51376555416411,0.919000029563904,1.51166220788411,female
"[50,80]",2,509,1.49667395427384,0.980000019073486,1.44065526657689,female
"[50,80]",3,599,1.58550224099961,1,1.65285206451576,female
"[50,80]",4,539,1.56544324779168,1,1.50665301663541,female
"[50,80]",5,610,1.49742959283414,0.935000002384186,1.47361653108207,female
"[50,80]",6,608,1.22359400599166,0.800000011920929,1.20034644745241,female
"[50,80]",7,635,1.42563025030329,0.866657972335815,1.54235956967635,female
"[50,80]",8,551,1.39949301416612,0.815999984741211,1.47195419331681,female
"[50,80]",9,455,1.3986145811749,0.810000002384186,1.48610330339108,female
"[50,80]",10,556,1.28204426880953,0.800000011920929,1.34632395047083,female
"[50,80]",11,614,1.2632290699947,0.790000021457672,1.27799790081555,female
"[50,80]",12,600,1.44800465555241,0.944999992847443,1.42081028298282,female
"[20,50)",1,884,1.49359104694268,0.5,2.11088490996434,both
"[20,50)",2,839,1.92911507621745,0.723999977111816,2.5462833449767,both
"[20,50)",3,949,1.56069863195854,0.600000023841858,2.10748221103292,both
"[20,50)",4,885,1.64702540803595,0.532999992370606,2.37288374491384,both
"[20,50)",5,863,1.47202920627501,0.469999998807907,1.98672247963775,both
"[20,50)",6,920,1.39265533463786,0.600000023841858,1.87212247056237,both
"[20,50)",7,935,1.25757429030012,0.412999987602234,1.78000579983178,both
"[20,50)",8,927,1.39277165498034,0.550000011920929,1.90968509068689,both
"[20,50)",9,788,1.45422244152328,0.505499988794327,1.98230460581133,both
"[20,50)",10,774,1.44207662257344,0.574999988079071,1.89551214820555,both
"[20,50)",11,925,1.55578594630634,0.683000028133392,1.99437127711975,both
"[20,50)",12,954,1.34982702514817,0.5,1.79180483025533,both
"[50,80]",1,1077,1.31574028359593,0.699999988079071,1.51233819712285,both
"[50,80]",2,978,1.33334393809209,0.699999988079071,1.50562935366221,both
"[50,80]",3,1047,1.41136111790152,0.754000008106232,1.69796516986849,both
"[50,80]",4,936,1.24303652355686,0.613000005483627,1.42767750682261,both
"[50,80]",5,1051,1.27684431484804,0.683000028133392,1.47445380593569,both
"[50,80]",6,1092,1.07782614368932,0.600000023841858,1.21619799217046,both
"[50,80]",7,1108,1.25461973695064,0.623500019311905,1.5801858651527,both
"[50,80]",8,1010,1.15207060385163,0.600000023841858,1.3408935923158,both
"[50,80]",9,861,1.13630735386124,0.5,1.41369970472407,both
"[50,80]",10,982,1.14500129968687,0.625499993562698,1.32182093754989,both
"[50,80]",11,1112,1.08275117402856,0.579499989748001,1.23392689990764,both
"[50,80]",12,1106,1.18756519169774,0.649999976158142,1.35240874842882,both
