age_group,month,n,mean,median,std,type
"[20,50)",1,62908,0.730395908990308,0.856664896011353,0.290926179934324,male
"[20,50)",2,58097,0.734525979421628,0.86439973115921,0.289488712066774,male
"[20,50)",3,60139,0.730204612931601,0.858997464179993,0.29234891880243,male
"[20,50)",4,54989,0.728525139302946,0.856664896011353,0.292087780708682,male
"[20,50)",5,59405,0.73715203758776,0.865129888057709,0.288149578748189,male
"[20,50)",6,60392,0.73963196547797,0.86549037694931,0.285722248124891,male
"[20,50)",7,59662,0.733055482457634,0.856664896011353,0.287573002230538,male
"[20,50)",8,57109,0.723084437081766,0.844984471797943,0.293795181535762,male
"[20,50)",9,50812,0.71969099043096,0.843269765377045,0.296242004553957,male
"[20,50)",10,55505,0.719999882797246,0.843269765377045,0.296374697223461,male
"[20,50)",11,61804,0.718072496900438,0.842833817005158,0.295872092851503,male
"[20,50)",12,63521,0.724275373788044,0.844984471797943,0.293246460551055,male
"[50,80]",1,254117,0.830832516686643,0.95392918586731,0.231706222581905,male
"[50,80]",2,236911,0.83452442590572,0.95718652009964,0.230270076359004,male
"[50,80]",3,246319,0.835155117363608,0.957647085189819,0.22984745300897,male
"[50,80]",4,230315,0.834096577536528,0.95718652009964,0.230733173731562,male
"[50,80]",5,255582,0.839141212593725,0.958904087543488,0.225353649733854,male
"[50,80]",6,259428,0.83995706084047,0.95718652009964,0.223367715366158,male
"[50,80]",7,255036,0.83661930612329,0.954482555389404,0.225145358246559,male
"[50,80]",8,237225,0.831189512148498,0.952573537826538,0.229712341031176,male
"[50,80]",9,211876,0.82748950720742,0.952206432819366,0.232882187378454,male
"[50,80]",10,235950,0.82565844479728,0.951421439647675,0.234354216729477,male
"[50,80]",11,258479,0.821981498040061,0.951197683811188,0.237777492407141,male
"[50,80]",12,260377,0.824471782288674,0.952206432819366,0.236544156399272,male
"[20,50)",1,73037,0.67078111876684,0.738563299179077,0.30671252212447,female
"[20,50)",2,69291,0.678968376464922,0.756443500518799,0.303720596973813,female
"[20,50)",3,72877,0.673071251515733,0.746021330356598,0.306581057650674,female
"[20,50)",4,67736,0.670538043054429,0.738563299179077,0.3065023072936,female
"[20,50)",5,74498,0.677278278009943,0.755625247955322,0.302766744217954,female
"[20,50)",6,75887,0.681240737915847,0.756443500518799,0.300018929635835,female
"[20,50)",7,75852,0.673853998687188,0.746021330356598,0.301436789930682,female
"[20,50)",8,73348,0.656240129317685,0.707171499729157,0.308169639709248,female
"[20,50)",9,66831,0.652775423746561,0.705400824546814,0.310605471707168,female
"[20,50)",10,72292,0.654630862773716,0.707171499729157,0.310337178527834,female
"[20,50)",11,76785,0.656785033065131,0.713116049766541,0.308985155270387,female
"[20,50)",12,76395,0.662465973490507,0.730641007423401,0.308569102356021,female
"[50,80]",1,274734,0.817806781446977,0.952799558639526,0.242617921539767,female
"[50,80]",2,262441,0.82261216148669,0.953716456890106,0.238226638562631,female
"[50,80]",3,272600,0.820415686419724,0.953716456890106,0.24071214312164,female
"[50,80]",4,257420,0.819473966118578,0.953372061252594,0.241103376342672,female
"[50,80]",5,292887,0.823479391778726,0.953716456890106,0.236937863683313,female
"[50,80]",6,294436,0.823216665863809,0.953372061252594,0.236214722216169,female
"[50,80]",7,282870,0.821543909877082,0.952035188674927,0.236992177617297,female
"[50,80]",8,263163,0.816204172052477,0.947968184947968,0.241669608893642,female
"[50,80]",9,239354,0.817039628311192,0.950966536998749,0.241763490587137,female
"[50,80]",10,267371,0.815544136387388,0.947536647319794,0.242617248527699,female
"[50,80]",11,290594,0.81189585455782,0.945794403553009,0.245167226182739,female
"[50,80]",12,280484,0.812352496228171,0.946972548961639,0.245938394229893,female
"[20,50)",1,135727,0.698744674803758,0.800863444805145,0.300442671621855,both
"[20,50)",2,127404,0.704346790020696,0.810556054115295,0.298546218856776,both
"[20,50)",3,132883,0.69883012001267,0.801174104213715,0.301367767833505,both
"[20,50)",4,122550,0.696749661139314,0.796859920024872,0.301080571852554,both
"[20,50)",5,133813,0.703651755235789,0.81015956401825,0.297776950957368,both
"[20,50)",6,136245,0.706561573118309,0.810556054115295,0.295423323823693,both
"[20,50)",7,135467,0.700125388894267,0.799938201904297,0.296630479863129,both
"[20,50)",8,130363,0.686021290896168,0.774814188480377,0.303283042503881,both
"[20,50)",9,117634,0.681791147633627,0.772727251052856,0.306113390154918,both
"[20,50)",10,127746,0.683230983116798,0.773601293563843,0.305781546698095,both
"[20,50)",11,138465,0.684630973457814,0.773592591285706,0.304242744247256,both
"[20,50)",12,139939,0.690893108494745,0.787414371967316,0.303037305732248,both
"[50,80]",1,528607,0.824071544893167,0.953402638435364,0.23745678670202,both
"[50,80]",2,499214,0.828418847765318,0.95566064119339,0.234359232808423,both
"[50,80]",3,518447,0.827145571952469,0.95566064119339,0.235888610690966,both
"[50,80]",4,487352,0.826553153222064,0.954182982444763,0.236088302803379,both
"[50,80]",5,548036,0.83058025798836,0.955797791481018,0.231847517772674,both
"[50,80]",6,553090,0.831149694163587,0.954182982444763,0.230153747157229,both
"[50,80]",7,537813,0.828797774016018,0.953393518924713,0.231429939349195,both
"[50,80]",8,500134,0.823492086641909,0.952035188674927,0.235924670352142,both
"[50,80]",9,450810,0.822084414496294,0.951801359653473,0.237430368956426,both
"[50,80]",10,503380,0.820564458574103,0.950966536998749,0.238562314863189,both
"[50,80]",11,548968,0.816855800468774,0.950413227081299,0.241533349950325,both
"[50,80]",12,540427,0.818144620606284,0.951211631298065,0.241472901212432,both
