age_group,month,n,mean,median,std,type
"[20,30)",1,7744,5.78924587048775,5.40000009536743,1.1326905621189,male
"[20,30)",2,7118,5.79812728390663,5.40000009536743,1.1542151587334,male
"[20,30)",3,7406,5.78105994923,5.40000009536743,1.11084920864786,male
"[20,30)",4,6828,5.77116578799909,5.40000009536743,1.09626992243484,male
"[20,30)",5,7301,5.81512532974168,5.40000009536743,1.10785802710473,male
"[20,30)",6,7583,5.79453646720092,5.40000009536743,1.07909506888733,male
"[20,30)",7,7684,5.78434279416763,5.40000009536743,1.05781395118202,male
"[20,30)",8,7417,5.72731832405523,5.40000009536743,1.04127162824691,male
"[20,30)",9,6475,5.70557683841602,5.40000009536743,1.00686712381624,male
"[20,30)",10,7115,5.72711595513832,5.40000009536743,1.03922613227136,male
"[20,30)",11,7616,5.7424067752201,5.40000009536743,1.04456949928551,male
"[20,30)",12,7901,5.7717795257945,5.40000009536743,1.10964981887103,male
"[30,40)",1,17944,6.196590508407,5.69999980926514,1.30549369902842,male
"[30,40)",2,16509,6.24178327567588,5.69999980926514,1.36449149176786,male
"[30,40)",3,17296,6.19610546362499,5.69999980926514,1.30599953396087,male
"[30,40)",4,15857,6.17378382208579,5.69999980926514,1.29771614083851,male
"[30,40)",5,16978,6.17301802764948,5.69999980926514,1.26708413597858,male
"[30,40)",6,17273,6.19286632722802,5.69999980926514,1.27413170631082,male
"[30,40)",7,17168,6.14572752113667,5.69999980926514,1.22985904668864,male
"[30,40)",8,16511,6.13923990282441,5.69999980926514,1.24089555634533,male
"[30,40)",9,14478,6.11943639027906,5.69999980926514,1.23502528767729,male
"[30,40)",10,15928,6.13802298306221,5.69999980926514,1.24617317040177,male
"[30,40)",11,17847,6.14181263322435,5.69999980926514,1.24882215691088,male
"[30,40)",12,18103,6.16841463396538,5.69999980926514,1.28527524389183,male
"[40,50)",1,37959,6.70745172520458,6.19999980926514,1.46065010614954,male
"[40,50)",2,35476,6.73384936504534,6.19999980926514,1.48754777514882,male
"[40,50)",3,36190,6.70861729727031,6.19999980926514,1.46297921948749,male
"[40,50)",4,32947,6.70509211860101,6.19999980926514,1.45453822208917,male
"[40,50)",5,35839,6.71114261138585,6.19999980926514,1.44802710287266,male
"[40,50)",6,36230,6.71440574175871,6.19999980926514,1.44586731224803,male
"[40,50)",7,35689,6.67871669214649,6.19999980926514,1.4252312137883,male
"[40,50)",8,33973,6.64907073417389,6.09999990463257,1.40841762786328,male
