age_group,month,n,mean,median,std,type
"[20,30)",1,4139,0.504847325163206,0.552193403244019,0.265320461896893,male
"[20,30)",2,3986,0.507620581696291,0.533043622970581,0.267761778911524,male
"[20,30)",3,4118,0.499287650852151,0.420200809836388,0.269263607655567,male
"[20,30)",4,3733,0.499437847135535,0.533043622970581,0.264874916471327,male
"[20,30)",5,4116,0.519766224503872,0.552193403244019,0.270146645138486,male
"[20,30)",6,4241,0.519460038592711,0.552193403244019,0.264820114984627,male
"[20,30)",7,4287,0.517571902940546,0.552193403244019,0.270568840222574,male
"[20,30)",8,4186,0.501012343806524,0.533043622970581,0.268188727670618,male
"[20,30)",9,3620,0.48917599027431,0.419268041849136,0.26683445302847,male
"[20,30)",10,3857,0.492790520416236,0.419268041849136,0.27316621346056,male
"[20,30)",11,4307,0.48799082232042,0.418011039495468,0.263749356784175,male
"[20,30)",12,4328,0.49786323639986,0.533043622970581,0.265411074529271,male
"[30,40)",1,7271,0.515508995465335,0.570942103862763,0.263925709785589,male
"[30,40)",2,6617,0.51247822577594,0.560342669487,0.26619715575241,male
"[30,40)",3,7197,0.507817494207925,0.560342669487,0.263327256404174,male
"[30,40)",4,6443,0.502589693517025,0.531860947608948,0.261489132800982,male
"[30,40)",5,6902,0.512020946714851,0.570942103862763,0.266560540419016,male
"[30,40)",6,7018,0.523429722109282,0.571767628192902,0.26456766297979,male
"[30,40)",7,7097,0.519064519531281,0.570942103862763,0.26352269025334,male
"[30,40)",8,6829,0.500486345915594,0.531860947608948,0.266396075252862,male
"[30,40)",9,5923,0.489044354282283,0.524325430393219,0.26646279811215,male
"[30,40)",10,6578,0.494007124366478,0.524325430393219,0.265869310450478,male
"[30,40)",11,7355,0.498155239245707,0.531860947608948,0.25958404916893,male
"[30,40)",12,7509,0.502776156796892,0.531860947608948,0.261227972634067,male
"[40,50)",1,8418,0.517886666420393,0.505141019821167,0.263775927847512,male
"[40,50)",2,8127,0.51971662297095,0.505141019821167,0.266473069600203,male
"[40,50)",3,8180,0.510810050460758,0.503715753555298,0.267182973022708,male
"[40,50)",4,7449,0.505069754800711,0.487017691135407,0.264054273521325,male
"[40,50)",5,7898,0.517310737164078,0.503715753555298,0.268481163017277,male
"[40,50)",6,8030,0.51619783475958,0.503715753555298,0.265492548452974,male
"[40,50)",7,7894,0.519771955736512,0.505141019821167,0.262926525976114,male
"[40,50)",8,7720,0.505777212687397,0.488776236772537,0.263226108956929,male
"[40,50)",9,6888,0.495785531369941,0.487017691135407,0.266167556556737,male
"[40,50)",10,7492,0.493456556223078,0.474312394857407,0.265050145585604,male
"[40,50)",11,8508,0.496711548973886,0.474312394857407,0.264169367110671,male
"[40,50)",12,8910,0.50537219069873,0.503715753555298,0.265019684516931,male
"[50,60)",1,7555,0.522773315652978,0.474098831415176,0.271741653345855,male
"[50,60)",2,6994,0.522325503713115,0.466065019369125,0.272194887777362,male
"[50,60)",3,7098,0.515947303796388,0.466065019369125,0.274081300393593,male
"[50,60)",4,6338,0.504092371454489,0.451256811618805,0.268449546966402,male
"[50,60)",5,6914,0.517044130618457,0.466065019369125,0.269343257864902,male
"[50,60)",6,7098,0.53183212103288,0.475925475358963,0.267265899490983,male
"[50,60)",7,7248,0.519640656881483,0.466065019369125,0.268065354686571,male
"[50,60)",8,6832,0.512302504649573,0.464281111955643,0.26778112948942,male
"[50,60)",9,5846,0.502396306356277,0.451256811618805,0.27114558580854,male
"[50,60)",10,6289,0.500559901659587,0.435303419828415,0.266529496813594,male
"[50,60)",11,7225,0.498103381811954,0.435303419828415,0.268354257681938,male
"[50,60)",12,7815,0.50550694291123,0.451256811618805,0.266110461803969,male
"[60,70)",1,4844,0.520427600905133,0.585110306739807,0.270039712748608,male
"[60,70)",2,4485,0.521299616886155,0.584188580513001,0.273321072979309,male
"[60,70)",3,4711,0.519112663060851,0.584188580513001,0.274148681033612,male
"[60,70)",4,4267,0.512562889702669,0.576224744319916,0.26962024211664,male
"[60,70)",5,4602,0.516371776484623,0.576224744319916,0.270417914717173,male
"[60,70)",6,4865,0.522301223011877,0.584188580513001,0.268550288221926,male
"[60,70)",7,4969,0.522605300046358,0.585110306739807,0.270223093879788,male
"[60,70)",8,4591,0.511931279648612,0.584188580513001,0.267383148506771,male
"[60,70)",9,3939,0.512223780326362,0.576224744319916,0.269414250566739,male
"[60,70)",10,4377,0.501183757959761,0.417127847671509,0.27100158834744,male
"[60,70)",11,5031,0.500981113420812,0.417127847671509,0.267896238035758,male
"[60,70)",12,5104,0.506630482379826,0.417127847671509,0.265887962512976,male
"[70,80]",1,1610,0.527996842752888,0.564159274101257,0.275618657036844,male
"[70,80]",2,1542,0.518468975856533,0.561826944351196,0.282687922838871,male
"[70,80]",3,1647,0.527930625665166,0.561826944351196,0.276726345581028,male
"[70,80]",4,1451,0.527785359149469,0.556359887123108,0.271851166166395,male
"[70,80]",5,1697,0.521287565358295,0.556359887123108,0.272915886211915,male
"[70,80]",6,1661,0.518323239239582,0.554117619991303,0.278481107478309,male
"[70,80]",7,1649,0.54032197251934,0.570920825004578,0.27136508941461,male
"[70,80]",8,1505,0.511220007862562,0.556359887123108,0.262920535002218,male
"[70,80]",9,1340,0.506380702933269,0.552278816699982,0.278782675267918,male
