age_group,month,n,mean,median,std,type
"[20,30)",1,4241,5.25837774204775,5.30000019073486,0.302280736617968,male
"[20,30)",2,4044,5.2563204786544,5.30000019073486,0.304068248737434,male
"[20,30)",3,4173,5.25465851449407,5.30000019073486,0.306543313813881,male
"[20,30)",4,3771,5.24290638733719,5.30000019073486,0.293764527717239,male
"[20,30)",5,4214,5.27125059500316,5.30000019073486,0.311865107127728,male
"[20,30)",6,4323,5.2722692581175,5.30000019073486,0.300179049216218,male
"[20,30)",7,4374,5.26815272304202,5.30000019073486,0.310602971244197,male
"[20,30)",8,4188,5.24752626138977,5.30000019073486,0.293070587966117,male
"[20,30)",9,3616,5.23101216884313,5.19999980926514,0.293117126158114,male
"[20,30)",10,3926,5.24246561642636,5.19999980926514,0.31419014844882,male
"[20,30)",11,4341,5.23283574768432,5.19999980926514,0.291696136437132,male
"[20,30)",12,4342,5.24261630619248,5.30000019073486,0.290665532890125,male
"[30,40)",1,7451,5.43090189372017,5.40000009536743,0.340897059809951,male
"[30,40)",2,6723,5.42671872774051,5.40000009536743,0.338334692915391,male
"[30,40)",3,7362,5.42035452142678,5.40000009536743,0.336924797894174,male
"[30,40)",4,6516,5.40528391672103,5.40000009536743,0.326310280298381,male
"[30,40)",5,7045,5.43046557437959,5.40000009536743,0.342731005847143,male
"[30,40)",6,7180,5.44241225347546,5.40000009536743,0.340793135994023,male
"[30,40)",7,7267,5.43643181593362,5.40000009536743,0.338107731508733,male
"[30,40)",8,6996,5.41739994134134,5.40000009536743,0.340437297094756,male
"[30,40)",9,5982,5.39347208419081,5.40000009536743,0.331359463113337,male
"[30,40)",10,6663,5.40189104224761,5.40000009536743,0.331381888945061,male
"[30,40)",11,7451,5.40494296157493,5.40000009536743,0.323983108742358,male
"[30,40)",12,7611,5.40430167294288,5.40000009536743,0.32605537959934,male
"[40,50)",1,8556,5.57624708123718,5.59999990463257,0.358852210879399,male
"[40,50)",2,8198,5.59745913861757,5.59999990463257,0.359256954015586,male
"[40,50)",3,8282,5.5665467312819,5.59999990463257,0.36111381972007,male
"[40,50)",4,7565,5.56135625158488,5.5,0.359836959803318,male
"[40,50)",5,8004,5.57355322812808,5.59999990463257,0.364252160203308,male
"[40,50)",6,8133,5.57410181285446,5.59999990463257,0.358939133857246,male
"[40,50)",7,7945,5.59214600520437,5.59999990463257,0.347135075388386,male
"[40,50)",8,7885,5.56149397930467,5.59999990463257,0.35734547338881,male
"[40,50)",9,6988,5.55363909837923,5.5,0.359927263844757,male
"[40,50)",10,7648,5.54917756857732,5.5,0.36022567349367,male
"[40,50)",11,8672,5.55383072386589,5.5,0.357402842189679,male
"[40,50)",12,9082,5.55930742601077,5.59999990463257,0.359070657892305,male
"[50,60)",1,7587,5.70816923598771,5.69999980926514,0.388047304336215,male
"[50,60)",2,7030,5.71285490820113,5.69999980926514,0.39826277020911,male
"[50,60)",3,7132,5.70024957947028,5.69999980926514,0.395548348533719,male
"[50,60)",4,6407,5.68404869566623,5.69999980926514,0.386591809291447,male
"[50,60)",5,6921,5.69714347593806,5.69999980926514,0.379548375336841,male
"[50,60)",6,7152,5.7163269012433,5.69999980926514,0.386190219906008,male
"[50,60)",7,7269,5.69739303957532,5.69999980926514,0.375631608202583,male
"[50,60)",8,6885,5.68925345212373,5.69999980926514,0.376396641230316,male
"[50,60)",9,5865,5.67677749315085,5.69999980926514,0.384008596671731,male
"[50,60)",10,6320,5.67776898628549,5.69999980926514,0.374897601219346,male
"[50,60)",11,7319,5.67668124081773,5.69999980926514,0.382789507656305,male
"[50,60)",12,7936,5.68344253932516,5.69999980926514,0.378266893263369,male
"[60,70)",1,4920,5.7619207338589,5.80000019073486,0.387204086923127,male
"[60,70)",2,4526,5.78448077603036,5.80000019073486,0.393367706178678,male
"[60,70)",3,4731,5.781042059187,5.80000019073486,0.385307422660647,male
"[60,70)",4,4294,5.77283884305203,5.80000019073486,0.383764170283945,male
"[60,70)",5,4671,5.76327338736258,5.80000019073486,0.389283821380548,male
"[60,70)",6,4906,5.77997961357279,5.80000019073486,0.377521991189366,male
"[60,70)",7,4992,5.7831270003166,5.80000019073486,0.378203285256784,male
"[60,70)",8,4683,5.74906470728257,5.80000019073486,0.379161238054269,male
"[60,70)",9,3942,5.76158041533088,5.80000019073486,0.369264224082632,male
"[60,70)",10,4456,5.74829443245859,5.69999980926514,0.390537351859181,male
"[60,70)",11,5126,5.73848419983872,5.69999980926514,0.379768741159028,male
"[60,70)",12,5144,5.76279548640199,5.74499988555908,0.372420439674718,male
"[70,80]",1,1622,5.83254007317135,5.80000019073486,0.410503625713168,male
"[70,80]",2,1558,5.81093068086137,5.80000019073486,0.438093720024082,male
"[70,80]",3,1659,5.8359553938964,5.80000019073486,0.420234703703998,male
"[70,80]",4,1451,5.83782908310157,5.80000019073486,0.390679759297001,male
"[70,80]",5,1702,5.82739717951953,5.80000019073486,0.401802947634122,male
"[70,80]",6,1673,5.81373580885874,5.80000019073486,0.419457780766681,male
"[70,80]",7,1652,5.84297820904064,5.80000019073486,0.392026486275484,male
"[70,80]",8,1521,5.80328072912202,5.80000019073486,0.368492599696149,male
"[70,80]",9,1355,5.79304059581123,5.80000019073486,0.419302609402649,male
"[70,80]",10,1537,5.81035133143408,5.80000019073486,0.373978298322787,male
"[70,80]",11,1703,5.78192013512621,5.80000019073486,0.389018484642699,male
"[70,80]",12,1734,5.75944059942833,5.75999999046326,0.405285159915384,male
"[20,30)",1,4923,5.21844200377975,5.19999980926514,0.293371147999306,female
"[20,30)",2,4852,5.22175185560492,5.19999980926514,0.290878189913419,female
"[20,30)",3,4923,5.2186126314768,5.19999980926514,0.293502384748863,female
"[20,30)",4,4691,5.22367938274871,5.19999980926514,0.295190625798049,female
"[20,30)",5,5305,5.27219415731187,5.30000019073486,0.294888601090468,female
"[20,30)",6,5271,5.27186113009076,5.30000019073486,0.293516094672331,female
"[20,30)",7,5504,5.27260174489645,5.30000019073486,0.291219231949326,female
"[20,30)",8,5459,5.22638028540177,5.19999980926514,0.306251735398973,female
"[20,30)",9,4957,5.21390961744575,5.19999980926514,0.298472579863045,female
"[20,30)",10,5303,5.22255704062583,5.19999980926514,0.291289144064757,female
"[20,30)",11,5707,5.21289293624399,5.19999980926514,0.296465018848427,female
"[20,30)",12,5523,5.20800652107682,5.19999980926514,0.288526071068786,female
"[30,40)",1,7006,5.36830288758797,5.40000009536743,0.326922430936058,female
"[30,40)",2,6934,5.36492212244369,5.40000009536743,0.329250644957101,female
"[30,40)",3,7319,5.36713485773803,5.40000009536743,0.324752649622604,female
"[30,40)",4,6830,5.36510541610103,5.40000009536743,0.327707477799778,female
"[30,40)",5,7490,5.38424833256985,5.40000009536743,0.331310257634879,female
"[30,40)",6,7387,5.40198456981241,5.40000009536743,0.315779366265661,female
"[30,40)",7,7360,5.3989103321148,5.40000009536743,0.314299901486348,female
"[30,40)",8,7335,5.35245535206291,5.40000009536743,0.314814756722613,female
"[30,40)",9,6583,5.34722771073083,5.30000019073486,0.322659330918797,female
"[30,40)",10,7191,5.347118622702,5.30000019073486,0.319529145508321,female
"[30,40)",11,7720,5.35319041859918,5.40000009536743,0.316833452132849,female
"[30,40)",12,7614,5.356096665315,5.30000019073486,0.32461505775241,female
"[40,50)",1,9168,5.52976440025874,5.5,0.36385879247186,female
"[40,50)",2,8970,5.53123411680411,5.5,0.364797602705953,female
"[40,50)",3,9420,5.52994692487575,5.5,0.366000634802265,female
"[40,50)",4,8800,5.5139125007391,5.5,0.353968993676545,female
"[40,50)",5,9475,5.53930026696037,5.5,0.364330444729409,female
"[40,50)",6,9918,5.53768300197614,5.5,0.35094155930611,female
"[40,50)",7,9791,5.5324920860889,5.5,0.356344270675427,female
"[40,50)",8,9416,5.51039932340308,5.5,0.347033776981706,female
"[40,50)",9,8413,5.5160382775366,5.5,0.351046161453346,female
"[40,50)",10,9088,5.50950374328335,5.5,0.355023627033833,female
"[40,50)",11,9809,5.50606484164739,5.5,0.351519227335231,female
"[40,50)",12,9770,5.50943500734523,5.5,0.351772580583307,female
"[50,60)",1,8825,5.72515013848756,5.69999980926514,0.365379103071412,female
"[50,60)",2,8607,5.72563262310983,5.69999980926514,0.369432734930934,female
"[50,60)",3,8574,5.72275483955835,5.69999980926514,0.364594814255998,female
"[50,60)",4,8194,5.7207761762897,5.69999980926514,0.369789970578575,female
"[50,60)",5,8932,5.73181594010698,5.69999980926514,0.368938014817811,female
"[50,60)",6,9474,5.73953557115128,5.69999980926514,0.363684825864269,female
"[50,60)",7,9614,5.73586644515293,5.69999980926514,0.367400607627432,female
"[50,60)",8,9080,5.72817731350004,5.69999980926514,0.365891952445833,female
"[50,60)",9,7630,5.71232765255249,5.69999980926514,0.356955216979931,female
"[50,60)",10,8250,5.7113212112658,5.69999980926514,0.351057221954865,female
"[50,60)",11,9270,5.7106213606677,5.69999980926514,0.349168898905323,female
"[50,60)",12,9282,5.71768045625767,5.69999980926514,0.359890708714506,female
"[60,70)",1,5830,5.82195368475611,5.80000019073486,0.363237442833253,female
"[60,70)",2,5600,5.80767142857824,5.80000019073486,0.345397635396532,female
"[60,70)",3,5791,5.80334139109028,5.80000019073486,0.344951064598344,female
"[60,70)",4,5400,5.79738148265415,5.80000019073486,0.345873349354035,female
"[60,70)",5,6127,5.81520483025684,5.80000019073486,0.346928911889012,female
"[60,70)",6,6483,5.81959278230845,5.80000019073486,0.341619041977566,female
"[60,70)",7,6476,5.82393452817824,5.80000019073486,0.349477442706055,female
"[60,70)",8,5982,5.81404713833464,5.80000019073486,0.342415990753848,female
"[60,70)",9,5142,5.8097180095177,5.80000019073486,0.347733008028984,female
"[60,70)",10,5737,5.80394108569308,5.80000019073486,0.347349296744037,female
"[60,70)",11,6431,5.79658062293804,5.80000019073486,0.344832215099695,female
"[60,70)",12,6234,5.80626403600848,5.80000019073486,0.346608493118393,female
"[70,80]",1,2135,5.89479625264152,5.90000009536743,0.39880379120058,female
"[70,80]",2,2121,5.8997218317718,5.90000009536743,0.410043798428271,female
"[70,80]",3,2185,5.8820823828743,5.90000009536743,0.398405493628567,female
"[70,80]",4,2188,5.86420018298099,5.90000009536743,0.377998789653368,female
"[70,80]",5,2520,5.86335317464102,5.80000019073486,0.385114332951784,female
"[70,80]",6,2523,5.87376535860168,5.90000009536743,0.379414398430828,female
