age_group,month,n,mean,median,std,type
"[20,50)",1,316,0.540414678298314,0.547623366117477,0.271807195254055,male
"[20,50)",2,288,0.531594553677779,0.552512258291245,0.259965827399436,male
"[20,50)",3,343,0.541045097780819,0.553956806659699,0.256802214105386,male
"[20,50)",4,246,0.495305916188451,0.483920559287071,0.250802013468463,male
"[20,50)",5,296,0.511822341853199,0.509262442588806,0.245602478670752,male
"[20,50)",6,313,0.462837791028685,0.4454545378685,0.261146760880394,male
"[20,50)",7,304,0.476573148962895,0.476425439119339,0.263519627630351,male
"[20,50)",8,295,0.477426536052914,0.46875,0.249823145274778,male
"[20,50)",9,283,0.541177784806848,0.539007067680359,0.266237611151691,male
"[20,50)",10,267,0.518081702794252,0.5,0.271063014470523,male
"[20,50)",11,294,0.485077064104226,0.481751829385757,0.257095775109076,male
"[20,50)",12,321,0.567717631170497,0.608247399330139,0.262427309055476,male
"[50,80]",1,195,0.517335691589576,0.510638296604157,0.246899364673313,male
"[50,80]",2,185,0.536183040045403,0.527777791023254,0.268282669276716,male
"[50,80]",3,225,0.541979793922769,0.555555582046509,0.28033364016792,male
"[50,80]",4,197,0.51668239825495,0.517730474472046,0.25913904620904,male
"[50,80]",5,202,0.543283537472829,0.549090415239334,0.24742026174557,male
"[50,80]",6,201,0.514818178814146,0.504587173461914,0.249882663429441,male
"[50,80]",7,210,0.475831819236988,0.491300359368324,0.25663248816326,male
"[50,80]",8,220,0.51414699612016,0.491176471114159,0.266949461878201,male
"[50,80]",9,177,0.531593129480794,0.541176497936249,0.257582458963707,male
"[50,80]",10,177,0.572437103690401,0.601941764354706,0.287164964364966,male
"[50,80]",11,176,0.517367120916871,0.497572809457779,0.257907631132544,male
"[50,80]",12,221,0.449946767418768,0.426966279745102,0.241131199576036,male
"[20,50)",1,1170,0.524590853025389,0.528677582740784,0.263094059154547,female
"[20,50)",2,1145,0.545514750018651,0.546811401844025,0.260433006494511,female
"[20,50)",3,1187,0.53630110286898,0.54040402173996,0.262333703219367,female
"[20,50)",4,1101,0.512986380698246,0.513353109359741,0.262256903824093,female
"[20,50)",5,1196,0.513729375251335,0.516878932714462,0.260157313553399,female
"[20,50)",6,1146,0.509095595983779,0.50169512629509,0.258293930104351,female
"[20,50)",7,1317,0.510490268601802,0.511730194091797,0.253310123621473,female
"[20,50)",8,1176,0.506485792371083,0.513085246086121,0.261606147319558,female
"[20,50)",9,990,0.4942428660024,0.483412325382233,0.260374257111383,female
"[20,50)",10,1037,0.508641574887438,0.513636350631714,0.268662632518086,female
"[20,50)",11,1220,0.529752160480521,0.537124812602997,0.25924818935997,female
"[20,50)",12,1209,0.518400020333511,0.506912469863892,0.273656253872185,female
"[50,80]",1,276,0.568842953853849,0.58691617846489,0.258286302546953,female
"[50,80]",2,343,0.5445364014661,0.543209850788117,0.25395274463747,female
"[50,80]",3,283,0.510090276914856,0.523809552192688,0.253176625426307,female
"[50,80]",4,260,0.530430305605898,0.540835708379746,0.263509257335507,female
"[50,80]",5,297,0.511120139674506,0.515337407588959,0.259179141265728,female
"[50,80]",6,345,0.505507995620154,0.511278212070465,0.250983613076034,female
"[50,80]",7,299,0.500138808116566,0.476190477609634,0.259850885599285,female
"[50,80]",8,258,0.520011810051609,0.495049506425858,0.262852409958676,female
"[50,80]",9,258,0.528572293980293,0.533774107694626,0.272547438547204,female
"[50,80]",10,254,0.508852554734532,0.483827874064446,0.264775358953005,female
"[50,80]",11,281,0.519839439567616,0.534161508083344,0.267669186528539,female
"[50,80]",12,296,0.513990836885028,0.495358139276505,0.283592432111448,female
"[20,50)",1,1488,0.527928651823732,0.533725380897522,0.265303383664458,both
"[20,50)",2,1435,0.542675424089415,0.548961400985718,0.260599145574106,both
"[20,50)",3,1530,0.537363701260168,0.543498784303665,0.261026377623802,both
"[20,50)",4,1349,0.509782146325568,0.509485065937042,0.260512249569513,both
"[20,50)",5,1494,0.513235898144852,0.514925360679627,0.257431242547333,both
"[20,50)",6,1459,0.499221559713523,0.489583343267441,0.259418188923298,both
"[20,50)",7,1621,0.50412753447063,0.505474448204041,0.255513119824452,both
"[20,50)",8,1471,0.500036398213506,0.501501500606537,0.259420639087429,both
"[20,50)",9,1273,0.504757967732923,0.49635037779808,0.262167699767507,both
"[20,50)",10,1304,0.509864056420061,0.509881108999252,0.269083338322385,both
"[20,50)",11,1512,0.520419841780076,0.525133281946182,0.258902087064899,both
"[20,50)",12,1530,0.528716160576133,0.530542582273483,0.271933509277457,both
"[50,80]",1,470,0.546569647402205,0.546729415655136,0.254074381889808,both
"[50,80]",2,530,0.541472468855527,0.541543573141098,0.259796683570583,both
"[50,80]",3,510,0.52579496751229,0.535678148269653,0.266412184441344,both
"[50,80]",4,454,0.521538290847503,0.53166475892067,0.259560038467924,both
"[50,80]",5,501,0.522436945648964,0.52173912525177,0.25549135395218,both
"[50,80]",6,547,0.509652744747113,0.50561797618866,0.25062757473917,both
"[50,80]",7,509,0.490099456388145,0.482352942228317,0.258532659485894,both
"[50,80]",8,477,0.514428958296776,0.491124272346497,0.263658153083789,both
"[50,80]",9,435,0.529601428614951,0.537414968013763,0.265935336222467,both
"[50,80]",10,430,0.536002002725768,0.526610672473908,0.274933738952129,both
"[50,80]",11,457,0.518903240863095,0.517241358757019,0.263642755732405,both
"[50,80]",12,520,0.485236512009914,0.465755984187126,0.268337504074256,both
