age_group,month,n,mean,median,std,type
"[20,50)",1,580,26.5179805903599,25.7479000091553,9.08677883136756,male
"[20,50)",2,578,26.0490998281327,25.0137796401978,9.48182395669664,male
"[20,50)",3,576,26.1574606133832,24.3600006103516,10.6907786711773,male
"[20,50)",4,529,26.1019674636466,24.7937908172607,9.89459517420934,male
"[20,50)",5,614,25.9398265583896,24.2999992370606,10.2347293957808,male
"[20,50)",6,663,25.4395363348821,24.2000007629395,9.44845578019778,male
"[20,50)",7,626,24.8654934202139,24.25,9.49957384317692,male
"[20,50)",8,599,25.0638636539695,24.2999992370606,9.5569168554395,male
"[20,50)",9,534,24.5455865306354,24.0759353637695,8.39618947563071,male
"[20,50)",10,537,24.8832942973302,24.2999992370606,9.3976343476258,male
"[20,50)",11,602,23.5780561603977,22.3748502731323,9.31801369514085,male
"[20,50)",12,678,25.32402620625,23.9181003570557,9.5479508084419,male
"[50,80]",1,722,20.3798938940106,19.8897352218628,7.99541074789466,male
"[50,80]",2,726,20.7676360705667,19.9754800796509,7.90850633956056,male
"[50,80]",3,778,19.7083716631549,18.5697002410889,7.909879651224,male
"[50,80]",4,684,19.6416726502759,18.695050239563,7.93727430269269,male
"[50,80]",5,776,20.4246842842741,20,8.02943427080434,male
"[50,80]",6,776,19.8123045084403,19.1279449462891,7.99230520387618,male
"[50,80]",7,827,18.6389150002559,18.0200004577637,7.52906954226106,male
"[50,80]",8,741,19.037596222521,17.8299999237061,8.01164773362805,male
"[50,80]",9,648,19.4092260187055,18.6500005722046,7.63777805721513,male
"[50,80]",10,757,19.1949753055799,18.1000003814697,7.65956823888395,male
"[50,80]",11,757,19.4456078259759,17.9712505340576,8.20724309309177,male
"[50,80]",12,828,19.7007906575134,18.7000007629395,8.00715808640837,male
"[20,50)",1,865,24.6487051098333,23.395299911499,9.34100787062392,female
"[20,50)",2,794,25.8261730352637,24.3500995635986,10.0758408249217,female
"[20,50)",3,824,25.1775912011711,24.3250999450684,8.93508063647641,female
"[20,50)",4,788,25.7220557413731,24.2999992370606,9.62118491233923,female
"[20,50)",5,792,25.5057402897363,24.3099994659424,9.12290787039826,female
"[20,50)",6,839,24.2794292686381,23.0293407440186,8.84625821513187,female
"[20,50)",7,903,23.8331345476845,22.8999996185303,9.10203483858924,female
"[20,50)",8,820,23.6990033475364,22.5163402557373,8.87750858566154,female
"[20,50)",9,761,24.2334921494733,23.5,8.22033285672186,female
"[20,50)",10,826,23.9938875006706,22.9099998474121,8.47550266002352,female
"[20,50)",11,926,23.8199262989777,22.6355495452881,9.38333144251156,female
"[20,50)",12,909,23.9545662767685,22.6399993896484,8.95347254250363,female
"[50,80]",1,747,17.5466225010005,16.3999996185303,6.90210414414335,female
"[50,80]",2,686,18.2867521301303,17,7.0568472283066,female
"[50,80]",3,710,18.5974240276176,17.2523994445801,7.75511055844706,female
"[50,80]",4,690,17.5163076186526,16.7950000762939,6.85163826780912,female
"[50,80]",5,770,17.0199852460391,15.9699997901917,6.67012353018037,female
"[50,80]",6,782,17.2930741407682,16.2068004608154,6.8710391625123,female
"[50,80]",7,793,17.5818294540781,16.5988998413086,7.07800383000855,female
"[50,80]",8,720,16.6132096694575,15.8834896087647,6.44995351139235,female
"[50,80]",9,631,17.3343027971815,16.1000003814697,7.20960210060716,female
"[50,80]",10,750,17.6779986025492,16,7.8179279993596,female
"[50,80]",11,840,16.9499296222414,15.8273501396179,6.37789267478984,female
"[50,80]",12,787,17.6611319012381,16.5599994659424,7.25617682202668,female
"[20,50)",1,1447,25.4097400037849,24.25,9.30743490873369,both
"[20,50)",2,1374,25.9290855163397,24.6000003814697,9.85755249049145,both
"[20,50)",3,1399,25.5199502913589,24.3600006103516,9.45048199459667,both
"[20,50)",4,1317,25.9045024095563,24.4539699554443,9.73807120119678,both
"[20,50)",5,1408,25.6928303302689,24.2999992370606,9.59397927652724,both
"[20,50)",6,1501,24.8021712249156,23.6299991607666,9.1202453544032,both
"[20,50)",7,1529,24.2901059363386,23.395299911499,9.2889160929444,both
"[20,50)",8,1421,24.2699119398747,23.1469707489014,9.17156311406804,both
"[20,50)",9,1297,24.3648347832556,23.7199993133545,8.30383030107682,both
"[20,50)",10,1363,24.3161089422068,23.395299911499,8.76940688766699,both
"[20,50)",11,1530,23.7151864693835,22.6000003814697,9.3242886126828,both
"[20,50)",12,1587,24.5158433619729,23.2000007629395,9.16527931546379,both
"[50,80]",1,1465,18.9160700342354,18,7.51204251019051,both
"[50,80]",2,1414,19.562706647533,18.5,7.6035332656326,both
"[50,80]",3,1491,19.1740840419997,17.9099998474121,7.87417001993206,both
"[50,80]",4,1374,18.5647008575206,17.4376907348633,7.45397659291491,both
"[50,80]",5,1549,18.7247822978868,17.749059677124,7.54588803309979,both
"[50,80]",6,1561,18.5558954601789,17.5137996673584,7.55800259315646,both
"[50,80]",7,1625,18.0778106208214,16.9779300689697,7.33070099737026,both
"[50,80]",8,1462,17.8245642338504,16.6300001144409,7.35094100126314,both
"[50,80]",9,1279,18.3839243876925,17.2999992370605,7.49021632022935,both
"[50,80]",10,1510,18.4215977365607,17.2720050811768,7.74963280552162,both
"[50,80]",11,1599,18.1197714671409,16.8999996185303,7.37178625926642,both
"[50,80]",12,1618,18.6795163735176,17.6000003814697,7.70553619251756,both
