age_group,month,n,mean,median,std,type
"[20,30)",1,99,29.0244355057225,28,7.3609429541275,male
"[20,30)",2,112,30.4000349470547,28.5971593856812,9.88161010166771,male
"[20,30)",3,117,31.713324946216,29.3199996948242,13.681626369506,male
"[20,30)",4,95,29.3648760042693,29.1460990905762,8.36765241947826,male
"[20,30)",5,129,29.2606753637624,27.9500007629395,10.5575002601731,male
"[20,30)",6,121,32.3636052155298,32.0999984741211,8.84890196056994,male
"[20,30)",7,120,29.6570654948552,29.2230491638184,8.75999167701136,male
"[20,30)",8,107,28.1737808691007,27.3700008392334,9.73215631991329,male
"[20,30)",9,109,29.5479728803722,29.7473201751709,8.01674162871516,male
"[20,30)",10,94,28.3016001417282,27.0974493026733,8.60248379668744,male
"[20,30)",11,110,28.7751022859053,27.5735006332397,8.65572058119757,male
"[20,30)",12,127,29.0313541907964,28.8847007751465,8.95160196512489,male
"[30,40)",1,91,27.3441836493356,26.2999992370606,8.25875916558628,male
"[30,40)",2,86,25.6643718120664,25.0799999237061,7.84212053207306,male
"[30,40)",3,76,26.007074569401,24.816499710083,7.46471366697986,male
"[30,40)",4,77,25.5878053764244,24.7937908172607,7.32668855797171,male
"[30,40)",5,108,25.7184751651905,24.0043992996216,8.21132748744447,male
"[30,40)",6,109,24.5947741587228,23.8500003814697,6.19509959345799,male
"[30,40)",7,111,25.1582913183951,24.5715999603272,6.7875323118092,male
"[30,40)",8,87,24.50186048705,24.179500579834,6.79377458853068,male
"[30,40)",9,71,22.7581734858768,22.3999996185303,5.87976813158522,male
"[30,40)",10,77,25.6789950829048,24.2999992370606,7.79260795372592,male
"[30,40)",11,84,24.4246023723057,23.2972745895386,7.17250931835094,male
"[30,40)",12,116,25.2863664627075,23.7547245025635,7.61377301325731,male
"[40,50)",1,63,24.3338293045286,24.7415103912354,6.46186493337171,male
"[40,50)",2,73,22.117672894099,21.8500003814697,6.12564821293119,male
"[40,50)",3,70,25.1279681614467,23.2888345718384,9.68787946451684,male
"[40,50)",4,58,22.9082216887639,23.1000003814697,6.7188481655321,male
"[40,50)",5,74,23.8194973404343,23.1669502258301,6.81238879959712,male
"[40,50)",6,92,21.2439369429713,20.5576705932617,6.86953379768531,male
"[40,50)",7,75,21.28678246816,20.6800003051758,6.34685364022608,male
"[40,50)",8,84,23.5951530138652,22.9300003051758,8.67746144189908,male
"[40,50)",9,63,22.9498867912898,21.6308498382568,8.08053772375276,male
"[40,50)",10,64,22.6725910753012,21.9000005722046,6.29687273581493,male
"[40,50)",11,78,21.9760486407158,21.3739347457886,6.69993259983676,male
"[40,50)",12,83,22.1593556576465,21.9445304870606,6.53657185925182,male
"[50,60)",1,55,23.2646833073009,22.0599994659424,8.39919104465103,male
"[50,60)",2,53,25.5999140289595,23.5,15.9637304635104,male
"[50,60)",3,70,21.6987955365862,20.4000005722046,7.38553318550037,male
"[50,60)",4,59,19.7476927304672,18.2000007629395,7.70488342984334,male
"[50,60)",5,81,23.8695996720114,22.9901294708252,8.5542543635106,male
"[50,60)",6,55,22.6664276643233,23,5.81881315431117,male
"[50,60)",7,67,20.9229839808905,21,10.6321719951529,male
"[50,60)",8,60,20.9948601086934,20.3046445846558,7.74982057096416,male
"[50,60)",9,67,22.6759732374504,21,7.25338037224531,male
"[50,60)",10,43,19.9896020445713,19,6.89995375334926,male
"[50,60)",11,65,21.6541372592633,20.3700008392334,6.664305145657,male
"[50,60)",12,67,21.460193676735,19.8663997650146,8.35338655921024,male
"[60,70)",1,58,22.0479373603032,22.3999996185303,7.16933327585214,male
"[60,70)",2,64,21.3301932662725,20.3042449951172,7.45140559363867,male
"[60,70)",3,54,19.5236936940087,18.0200004577637,6.61223338177755,male
"[60,70)",4,52,21.050005032466,21.3912601470947,6.65408756436627,male
"[60,70)",5,56,22.5503839935575,21.0799999237061,9.50426088811023,male
"[60,70)",6,50,23.4876868629456,21.2550001144409,8.25939209972449,male
"[60,70)",7,57,19.3258230142426,18.7999992370605,6.50832746404915,male
"[60,70)",8,52,19.5823198831998,17.7650003433228,8.03752681077017,male
"[60,70)",9,56,21.3492518493107,21.1213502883911,6.32252300815233,male
"[60,70)",10,45,21.6078850428263,20.702880859375,8.09008674589285,male
"[60,70)",11,45,19.8634194586012,18.6247501373291,7.65143123816686,male
"[60,70)",12,55,20.6825396971269,21,7.15786796674667,male
"[70,80]",1,14,14.2852850982121,12.8600001335144,6.03591354955366,male
"[70,80]",2,13,16.9292791806735,15.814700126648,4.84046930600264,male
"[70,80]",3,19,16.3421568117644,16.5988998413086,5.24961718685711,male
"[70,80]",4,13,14.7953122212337,12.3000001907349,5.9054956768292,male
"[70,80]",5,15,19.7204873402913,20.5599994659424,7.05834644743538,male
"[70,80]",6,16,15.8277288079262,15.6800003051758,4.46121759313731,male
"[70,80]",7,21,16.787715775626,15.814700126648,4.90010644906245,male
"[70,80]",8,14,12.8782298905509,12.1500000953674,6.18262951318242,male
"[70,80]",9,16,17.0286968052387,16.6444401741028,6.86372501559448,male
"[70,80]",10,16,12.6500795781612,11.5550003051758,6.12887633323452,male
"[70,80]",11,18,15.7632307476468,14.9499998092651,5.89714947160302,male
"[70,80]",12,15,19.4282614390055,21.4300003051758,7.59767955012677,male
"[20,30)",1,150,30.4824293263753,28.1302499771118,9.68230087979547,female
"[20,30)",2,164,29.4935632507976,28.6750001907349,9.01349111863333,female
"[20,30)",3,179,31.7904254657596,31.7000007629395,9.40215891390418,female
"[20,30)",4,163,31.5289812497566,31.1000003814697,8.78479162266708,female
"[20,30)",5,153,31.8177375294804,30.4200000762939,8.86204135160513,female
"[20,30)",6,162,28.707333629514,27.2117395401001,8.62161753212028,female
"[20,30)",7,181,30.2847735420775,28.7000007629395,8.87291601617573,female
"[20,30)",8,179,28.3334274238714,27.2117404937744,8.48539025672673,female
"[20,30)",9,144,30.3568940957387,29.2057256698608,7.83523338834426,female
"[20,30)",10,152,29.0455027504971,27.8799991607666,8.95463426348358,female
"[20,30)",11,187,28.3450428049832,27.7084007263184,7.92315811314041,female
"[20,30)",12,169,29.1058469467615,28.8999996185303,8.55311954423648,female
"[30,40)",1,114,24.1097024783754,23.1949996948242,6.76089034981431,female
"[30,40)",2,99,25.5368026386608,24.7199993133545,8.69541786697986,female
"[30,40)",3,109,24.2882772148202,23.8999996185303,6.757951767435,female
"[30,40)",4,105,24.6777812321981,23.2999992370605,8.65334661934627,female
"[30,40)",5,104,25.1489903376653,23.728349685669,8.5303570125976,female
"[30,40)",6,111,25.5052025511458,24.5715999603272,7.25002183421919,female
"[30,40)",7,115,22.8609312389208,22.2999992370605,6.7987130283956,female
"[30,40)",8,96,21.2754115760326,20.7753000259399,5.874655820313,female
"[30,40)",9,112,23.9009165593556,23.1999998092651,6.85000696043171,female
"[30,40)",10,108,23.8890809482998,22.6950006484985,7.10391042170111,female
"[30,40)",11,135,23.1181009080675,22.4300003051758,7.13329838171177,female
"[30,40)",12,116,21.9900275345506,21.75501537323,6.41022673245001,female
"[40,50)",1,89,19.6013835521227,18.5200004577637,6.34070667725778,female
"[40,50)",2,84,20.2519282840547,19.7357006072998,6.11929443658699,female
"[40,50)",3,90,21.4033448855082,20.8060007095337,6.10772288776004,female
"[40,50)",4,72,21.4720268514421,19.6507453918457,7.44520372897858,female
"[40,50)",5,89,20.3945145446263,20.7000007629395,7.00997921696326,female
"[40,50)",6,88,21.0097243569114,20.75,5.82152401567,female
"[40,50)",7,89,20.2623491180077,19.8199996948242,6.11599360658849,female
"[40,50)",8,85,18.8878872029922,18.7999992370605,5.84546774975433,female
"[40,50)",9,67,20.6258831878207,18.6000003814697,6.42419324642852,female
"[40,50)",10,82,20.0929557637471,18.8000001907349,6.58053312006205,female
"[40,50)",11,90,18.7946947839525,18,5.28857127508114,female
"[40,50)",12,95,19.0184723201551,19,4.73125248374641,female
"[50,60)",1,57,17.9734379283169,16.6000003814697,6.47013510563592,female
"[50,60)",2,55,18.5684714230624,18,5.48827046791132,female
"[50,60)",3,54,19.0892643222102,17.0550003051758,6.9855184954713,female
"[50,60)",4,46,18.0127171848131,18.0149993896484,5.08776199286664,female
"[50,60)",5,37,18.5515912803444,18.9599990844727,5.81073415449407,female
"[50,60)",6,63,18.4740438007173,17.5,5.70145817735453,female
"[50,60)",7,64,18.8029275685549,16.8499994277954,7.98227432165709,female
"[50,60)",8,55,17.961418689381,17.8999996185303,4.49743519462432,female
"[50,60)",9,44,16.8731294328516,15.7065601348877,6.51282816505242,female
"[50,60)",10,60,19.7803452968597,18.9499998092651,7.91670817412603,female
"[50,60)",11,61,20.6208558629771,19.6000003814697,7.07275113705874,female
"[50,60)",12,69,19.1544299609419,17.6000003814697,6.85753537408005,female
"[60,70)",1,56,21.3032274586814,18.0349998474121,10.3784039932624,female
"[60,70)",2,40,19.0213163614273,17.9549999237061,7.1087101121117,female
"[60,70)",3,28,16.7115613392421,15.9454002380371,5.35579466056767,female
"[60,70)",4,34,19.4501145166509,17.289999961853,11.6830325330148,female
"[60,70)",5,43,16.9170697899752,14.8000001907349,8.0944790448949,female
"[60,70)",6,43,16.87313108666,16.6000003814697,5.37157065436629,female
"[60,70)",7,48,15.1230853895346,14.1090650558472,5.57122818207113,female
"[60,70)",8,45,15.9630518171522,14.4554195404053,5.20840790394484,female
"[60,70)",9,29,20.2500922433261,18.6000003814697,8.29725157384272,female
"[60,70)",10,34,16.8410791649538,17.1549997329712,5.63855977493322,female
"[60,70)",11,54,19.3694287406074,18.5900001525879,6.63662495791697,female
"[60,70)",12,41,15.3981272650928,13.7757797241211,6.64319152486271,female
"[70,80]",1,16,17.385725080967,14.3550000190735,6.28745573816338,female
"[70,80]",2,18,16.0990340444777,15.25,5.1076228340556,female
"[70,80]",3,16,14.7639649510384,13.164999961853,4.52985783874322,female
