age_group,month,n,mean,median,std,type
"[20,50)",1,8451,4.81026150658065,4.40000009536743,2.29931898660375,male
"[20,50)",2,7765,4.87119253111592,4.40000009536743,2.30344199137363,male
"[20,50)",3,7764,4.90079598135705,4.5,2.26634622768159,male
"[20,50)",4,6717,4.93046598308797,4.5,2.35889804272252,male
"[20,50)",5,7477,4.96965093027227,4.5,2.38089988312942,male
"[20,50)",6,7507,4.98590116054951,4.5,2.35574150483894,male
"[20,50)",7,7802,4.91631248485611,4.5,2.24114669100819,male
"[20,50)",8,7429,5.02782743366109,4.5,2.42462131205004,male
"[20,50)",9,6508,4.89371696264742,4.40000009536743,2.31262376929679,male
"[20,50)",10,7098,4.83861369746072,4.35000014305115,2.28961952223217,male
"[20,50)",11,8170,4.87306242394768,4.40000009536743,2.25964040220652,male
"[20,50)",12,8622,4.83143122236017,4.40000009536743,2.23062755784338,male
"[50,80]",1,5153,5.27424800911853,4.59999990463257,2.96405971431046,male
"[50,80]",2,4621,5.20659164359781,4.59999990463257,2.81901982305499,male
"[50,80]",3,4826,5.1742644014815,4.59999990463257,2.79125505634571,male
"[50,80]",4,4135,5.11709068764222,4.5,2.80262686805219,male
"[50,80]",5,4638,5.26300560872891,4.5,3.09282555255727,male
"[50,80]",6,4701,5.30953627187023,4.59999990463257,2.93031433971859,male
"[50,80]",7,4844,5.53350743210877,4.80000019073486,3.17905250368522,male
"[50,80]",8,4463,5.38365449452384,4.69999980926514,2.98668902657796,male
"[50,80]",9,3883,5.45329384572906,4.69999980926514,3.16239091737642,male
"[50,80]",10,4173,5.27442607749945,4.5,3.05422157997112,male
"[50,80]",11,4658,5.14208458794602,4.40499997138977,2.9512238097116,male
"[50,80]",12,4921,5.23744970963414,4.59999990463257,2.8757836928624,male
"[20,50)",1,114915,7.88132602522725,5.90000009536743,6.44290178576952,female
"[20,50)",2,105381,7.9406541014938,5.90000009536743,6.48069839353757,female
"[20,50)",3,108729,7.97756661137771,5.90000009536743,6.54549345882016,female
"[20,50)",4,97811,8.04208422544572,6,6.57286336186068,female
"[20,50)",5,106935,8.1166057898274,6,6.70865551729797,female
"[20,50)",6,110526,8.15656804847654,6,6.79169350065816,female
"[20,50)",7,113206,8.17444684890113,6,6.79791496580549,female
"[20,50)",8,108421,8.18250219167791,6,6.76160236718634,female
"[20,50)",9,94719,8.15462842834518,6,6.79078285955949,female
"[20,50)",10,102027,7.99090818890434,5.80000019073486,6.69261427112815,female
"[20,50)",11,115075,7.92359756722182,5.80000019073486,6.63479552455134,female
"[20,50)",12,119322,7.83318885032867,5.80000019073486,6.37972220341336,female
"[50,80]",1,10343,23.7763888598249,22.8999996185303,13.5671002517174,female
"[50,80]",2,9647,23.5898538336453,22.6000003814697,13.508874532764,female
"[50,80]",3,10140,23.4377327346473,22.6000003814697,13.555632371765,female
"[50,80]",4,9371,23.6033006072897,22.6000003814697,13.6537636782239,female
"[50,80]",5,10698,24.0156029053193,23.1000003814697,13.7653075492506,female
"[50,80]",6,11647,24.0967416548981,23,13.7905942661932,female
"[50,80]",7,11802,24.4440476257626,23.2999992370605,13.9718525121801,female
"[50,80]",8,11111,24.6721150380487,23.7000007629395,14.0345040519714,female
"[50,80]",9,9567,24.1047392041753,23.2000007629395,14.0471017703525,female
"[50,80]",10,10347,23.8677181640869,22.7000007629395,13.6954034164586,female
"[50,80]",11,11029,23.9811605814848,23.1000003814697,13.7241464094271,female
"[50,80]",12,10735,23.6803903225915,22.6000003814697,13.8288959958723,female
"[20,50)",1,123477,7.61072726280666,5.69999980926514,6.14070321254425,both
"[20,50)",2,113288,7.66682931930658,5.69999980926514,6.17540509885944,both
"[20,50)",3,116646,7.70776451883674,5.80000019073486,6.23685796129989,both
"[20,50)",4,104614,7.7800366123683,5.80000019073486,6.27165549702201,both
"[20,50)",5,114524,7.85103227395116,5.80000019073486,6.40995149148049,both
"[20,50)",6,118176,7.89531977817662,5.80000019073486,6.49490406062548,both
"[20,50)",7,121146,7.88912271083758,5.80000019073486,6.46667487081824,both
"[20,50)",8,115211,7.96327468885174,5.90000009536743,6.45582880024072,both
"[20,50)",9,101366,7.88268867331504,5.80000019073486,6.48993096422598,both
"[20,50)",10,109293,7.72667544907468,5.69999980926514,6.39354550691429,both
"[20,50)",11,123405,7.6559366320932,5.59999990463257,6.32130910409153,both
"[20,50)",12,128117,7.57553111654368,5.69999980926514,6.09364544240033,both
"[50,80]",1,15515,17.1041314833402,12.6999998092651,13.4025898092679,both
"[50,80]",2,14253,17.1565073978221,12.8999996185303,13.3559574286078,both
"[50,80]",3,14959,17.0379604209799,12.5,13.3391309170699,both
"[50,80]",4,13507,17.4552335806123,13.3999996185303,13.5433216792494,both
"[50,80]",5,15321,17.9170510960298,14,13.7694424222129,both
"[50,80]",6,16351,18.2677157395302,14.5,13.8213745708933,both
"[50,80]",7,16690,18.4675158825229,15,13.995156831676,both
"[50,80]",8,15603,18.6714189702606,14.8999996185303,14.1408501992131,both
"[50,80]",9,13433,18.3021960807629,14.5,13.9587906103967,both
"[50,80]",10,14558,18.0483397353988,14.5,13.7120953473249,both
"[50,80]",11,15700,17.9281783464608,14.1999998092651,13.7722576956737,both
"[50,80]",12,15670,17.3630210679279,13,13.601476804876,both
