age_group,month,n,mean,median,std,type
"[20,80]",1,98983,2.03000792543129,2.02999997138977,0.214157470217592,male
"[20,80]",2,90445,2.02890893346576,2.02999997138977,0.215949204063822,male
"[20,80]",3,96916,2.02991572551965,2.02999997138977,0.21745124543103,male
"[20,80]",4,91238,2.03066705193392,2.02999997138977,0.214366360480398,male
"[20,80]",5,96399,2.0295579461327,2.02999997138977,0.21322628080144,male
"[20,80]",6,98047,2.02955305563923,2.02999997138977,0.212388785736831,male
"[20,80]",7,99700,2.02847313386626,2.02999997138977,0.212700302552698,male
"[20,80]",8,97130,2.02574512943799,2.01999998092651,0.213141980379984,male
"[20,80]",9,89343,2.02376920933696,2.01999998092651,0.213896768389242,male
"[20,80]",10,95540,2.02464305481353,2.02999997138977,0.214110587903565,male
"[20,80]",11,99419,2.02290523366729,2.01999998092651,0.214659537821467,male
"[20,80]",12,101658,2.0211674871013,2.01999998092651,0.214766776581418,male
"[20,80]",1,109209,2.01168990911954,2,0.211682615713557,female
"[20,80]",2,99859,2.01427992814475,2.00999999046326,0.21073998780021,female
"[20,80]",3,106370,2.01414037100901,2.00999999046326,0.21329610402775,female
"[20,80]",4,101293,2.01228727878159,2.00999999046326,0.211191284553539,female
"[20,80]",5,109872,2.01623249154967,2.00999999046326,0.209555901285596,female
"[20,80]",6,111278,2.01872294858832,2.01999998092651,0.207304562794706,female
"[20,80]",7,114571,2.01777295525503,2.00999999046326,0.206919337588405,female
"[20,80]",8,113016,2.01482235473998,2.00999999046326,0.207944532745408,female
"[20,80]",9,103223,2.01100045833447,2.00999999046326,0.210063426356636,female
"[20,80]",10,109807,2.01274219603485,2.00999999046326,0.210603071132659,female
"[20,80]",11,113039,2.01312169515082,2.00999999046326,0.208751625200445,female
"[20,80]",12,112880,2.01083682904021,2,0.208951048367969,female
"[20,80]",1,208469,2.02001780002798,2.00999999046326,0.213583351390516,both
"[20,80]",2,190455,2.02158980244948,2.01999998092651,0.213723122119876,both
"[20,80]",3,203069,2.02245769527079,2.01999998092651,0.214893092743623,both
"[20,80]",4,192879,2.02089886820809,2.01999998092651,0.213689052993448,both
"[20,80]",5,206292,2.02242219648725,2.01999998092651,0.211402499514104,both
"[20,80]",6,209346,2.02375897660355,2.01999998092651,0.209789014994754,both
"[20,80]",7,214505,2.02222510754558,2.01999998092651,0.210187061334462,both
"[20,80]",8,210413,2.01925008273273,2.01999998092651,0.211019476937683,both
"[20,80]",9,192578,2.01690536186949,2.00999999046326,0.211948302664409,both
"[20,80]",10,205312,2.01702475146985,2.00999999046326,0.212218585326016,both
"[20,80]",11,212210,2.01826979751766,2.01999998092651,0.211057981828183,both
"[20,80]",12,214342,2.01643581600266,2.00999999046326,0.211367320760589,both
