age_group,month,n,mean,median,std,type
"[20,80]",1,19939,0.753682946109477,0.892156839370728,0.284839957529838,male
"[20,80]",2,17712,0.757700745556032,0.895671486854553,0.281534913142171,male
"[20,80]",3,18393,0.754092964133745,0.892583131790161,0.283585181437817,male
"[20,80]",4,16894,0.748969857605326,0.890780448913574,0.288171794386946,male
"[20,80]",5,18280,0.741146151831117,0.876470565795898,0.289329986247659,male
"[20,80]",6,18737,0.737956078496716,0.877697825431824,0.295302980877585,male
"[20,80]",7,19452,0.737188113035196,0.877237856388092,0.295275450980343,male
"[20,80]",8,17843,0.730854447944831,0.871134042739868,0.298460684626768,male
"[20,80]",9,16277,0.741078579233379,0.887559831142426,0.296279160221457,male
"[20,80]",10,17523,0.73172148139391,0.872062683105469,0.297447708044178,male
"[20,80]",11,18634,0.726902673507562,0.861635208129883,0.297959627034801,male
"[20,80]",12,19707,0.744977725615583,0.883152186870575,0.288473405885255,male
"[20,80]",1,30360,0.635269710026578,0.693163752555847,0.299305392966295,female
"[20,80]",2,27970,0.634661333614539,0.689882397651672,0.299536429606222,female
"[20,80]",3,28946,0.630120932091673,0.680156648159027,0.299139473766502,female
"[20,80]",4,26846,0.625154833436947,0.674757301807404,0.302086155300322,female
"[20,80]",5,29774,0.615423466737125,0.659421622753143,0.304614742201211,female
"[20,80]",6,30861,0.61288822214546,0.656215012073517,0.304138334854936,female
"[20,80]",7,30711,0.610255373605276,0.653846144676209,0.305972695699949,female
"[20,80]",8,28792,0.610721614842944,0.650963604450226,0.305454534047107,female
"[20,80]",9,25607,0.615730001404169,0.660786986351013,0.305721392353538,female
"[20,80]",10,27682,0.609946948448885,0.650398075580597,0.305021388580421,female
"[20,80]",11,30670,0.61203048185272,0.655352473258972,0.301572911828361,female
"[20,80]",12,31259,0.62417969384233,0.669717788696289,0.299008019308009,female
"[20,80]",1,51974,0.692630005848375,0.789795577526093,0.299595014370501,both
"[20,80]",2,47217,0.692732930908713,0.791390717029572,0.299094030136004,both
"[20,80]",3,48946,0.688936303223988,0.783783793449402,0.299803945507375,both
"[20,80]",4,45222,0.683881159859707,0.779126226902008,0.303306532831947,both
"[20,80]",5,49695,0.674473727423188,0.762029767036438,0.305816386132097,both
"[20,80]",6,51307,0.671476276710751,0.758051216602325,0.307765454588493,both
"[20,80]",7,51869,0.670671847332385,0.755852818489075,0.308994686492567,both
"[20,80]",8,48231,0.66809215041222,0.754342436790466,0.309336047618781,both
"[20,80]",9,43294,0.675486572500522,0.766343414783478,0.308832471694574,both
"[20,80]",10,46736,0.668356162179944,0.752525269985199,0.308826134914687,both
"[20,80]",11,50920,0.666426021286096,0.748066991567612,0.306403360761696,both
"[20,80]",12,52702,0.681721272484381,0.771134316921234,0.301507545251096,both
