age_group,month,n,mean,median,std,type
"[20,30)",1,839,90.0256411787722,42.435001373291,132.509968519375,male
"[20,30)",2,760,100.261874996988,43.3500003814697,143.251712429467,male
"[20,30)",3,792,104.349027798633,46,151.333805752045,male
"[20,30)",4,662,100.2463895864,45.181999206543,142.992211368136,male
"[20,30)",5,699,95.3717696390438,42.4000015258789,141.182018488432,male
"[20,30)",6,758,96.502085703344,40.9500007629395,147.730070387111,male
"[20,30)",7,766,86.7345052126494,41.8999996185303,122.779980059235,male
"[20,30)",8,773,81.9956157247585,37.7200012207031,121.602029833676,male
"[20,30)",9,740,99.9021282956407,42.0499992370605,149.086837489707,male
"[20,30)",10,682,90.6271173094025,41.0499992370606,129.476341534873,male
"[20,30)",11,773,85.2759134729344,39.7999992370606,123.47326141402,male
"[20,30)",12,797,79.1879672441758,41.0999984741211,112.273689580805,male
"[30,40)",1,1210,109.625828857264,51.2999992370606,139.377269471985,male
"[30,40)",2,1076,115.07545446995,54.2999992370606,145.434653132041,male
"[30,40)",3,1114,123.532709012126,55.2000007629395,163.72121190592,male
"[30,40)",4,1025,122.347548248477,52.5,160.401437528915,male
"[30,40)",5,1085,108.043665388433,50.0999984741211,139.546906303052,male
"[30,40)",6,1124,112.449854105817,51.75,140.001337163502,male
"[30,40)",7,1137,113.972413464817,54.0999984741211,139.672218353199,male
"[30,40)",8,1118,106.654184238215,50.2000007629395,135.404276407607,male
"[30,40)",9,965,115.38123510588,50.5,145.400705476467,male
"[30,40)",10,1072,107.063311650682,50.1499996185303,130.870728805784,male
"[30,40)",11,1158,111.703816020221,53.5,140.498403764775,male
"[30,40)",12,1184,101.91767649715,50.1499996185303,122.773805536739,male
"[40,50)",1,1803,148.796808123258,71.3000030517578,170.167322046812,male
"[40,50)",2,1649,139.7587398728,69,157.327057640315,male
"[40,50)",3,1635,147.118195114369,70.0999984741211,170.358408236681,male
"[40,50)",4,1491,146.688472813044,73.5999984741211,161.002120839512,male
"[40,50)",5,1604,134.282226979881,66.0499992370606,156.924257441489,male
"[40,50)",6,1571,143.294660276247,68.3000030517578,162.387641935217,male
"[40,50)",7,1726,140.967863185657,66.1999969482422,165.137175320049,male
"[40,50)",8,1554,133.066156413104,63.7999992370606,163.409836699482,male
"[40,50)",9,1333,152.988429171826,70.3000030517578,178.522331602794,male
"[40,50)",10,1490,136.738988729131,63,156.849318319028,male
"[40,50)",11,1595,132.943744280346,67,150.113114782647,male
"[40,50)",12,1789,137.989121818223,67.4000015258789,157.603789585472,male
"[50,60)",1,3365,155.301337529788,85,155.023524676151,male
"[50,60)",2,2953,162.223224550112,90,164.516753899695,male
"[50,60)",3,3202,162.108937172946,87.5999984741211,163.652331805055,male
"[50,60)",4,2846,157.33399787053,86,158.504564062567,male
"[50,60)",5,3138,165.409691559577,86.3000030517578,174.669464371059,male
"[50,60)",6,3113,154.926642260136,85.0999984741211,156.354511962983,male
"[50,60)",7,3206,149.792567055001,83.0999984741211,152.911246028238,male
"[50,60)",8,3001,152.872391834532,80,159.113802331947,male
"[50,60)",9,2667,163.042086652392,87.4000015258789,168.074162365545,male
"[50,60)",10,2885,154.248162531068,81.1999969482422,159.746769608666,male
"[50,60)",11,3098,152.66809466764,79.5,162.189594733278,male
"[50,60)",12,3213,157.764258647982,89,158.416629973233,male
"[60,70)",1,5848,149.809641531163,92.1999969482422,140.586403727627,male
"[60,70)",2,5077,149.484104952569,91,144.655515200553,male
"[60,70)",3,5263,143.821669595404,85.5,139.75346081397,male
"[60,70)",4,4826,145.319736893326,87,140.838721739679,male
"[60,70)",5,5292,144.518861267482,85.0499992370606,141.737351496393,male
"[60,70)",6,5479,139.269198200263,83.3000030517578,134.159454226694,male
"[60,70)",7,5666,143.054580321213,84.5999984741211,138.070665930474,male
"[60,70)",8,5049,143.511596590912,83.8000030517578,141.997826382147,male
"[60,70)",9,4701,148.017770932751,88.3000030517578,143.351076188039,male
"[60,70)",10,5128,143.133492389447,85.3500022888184,137.566034393829,male
"[60,70)",11,5432,133.833069197735,79.6499977111817,130.583110947164,male
"[60,70)",12,5718,145.446901150624,88.9000015258789,137.110728117875,male
"[70,80]",1,5818,145.266616588198,94.4000015258789,128.265875417716,male
"[70,80]",2,5263,143.866518354407,95.4000015258789,125.956212898828,male
"[70,80]",3,5419,145.524434918384,97,126.793058111248,male
"[70,80]",4,5150,137.733392771749,93.75,118.04965586192,male
"[70,80]",5,5501,136.668954515691,89,122.063478563147,male
"[70,80]",6,5712,137.499653220845,90.9000015258789,121.450592532037,male
"[70,80]",7,5930,136.430447737322,90.4000015258789,118.565318942475,male
"[70,80]",8,5413,138.00015091874,91.4000015258789,122.390599855479,male
"[70,80]",9,5020,140.422446059421,91.9500007629395,124.961725177118,male
"[70,80]",10,5350,131.998845576705,86,117.098058506109,male
"[70,80]",11,5599,129.41234843538,84.4000015258789,114.742299395028,male
"[70,80]",12,5968,136.400575230652,90.1999969482422,120.436437773322,male
"[20,30)",1,1237,71.0042214358923,43.9000015258789,78.3680557935529,female
"[20,30)",2,1064,68.2412970012292,44.0499992370606,70.6327402540933,female
"[20,30)",3,1046,67.5210879692384,45.5499992370606,69.7369782690676,female
"[20,30)",4,1010,65.8845920572187,43.4000015258789,67.51078781659,female
"[20,30)",5,1079,67.5640101720052,43.5,73.9515329933064,female
"[20,30)",6,1114,56.4779255017772,40.2999992370606,49.5135667417815,female
"[20,30)",7,1148,65.9499668061526,42.2000007629395,70.8638243432004,female
"[20,30)",8,1106,62.5893734419756,41.5,60.9690632411631,female
"[20,30)",9,975,59.3149230047373,40.548999786377,57.0362345913334,female
"[20,30)",10,1009,61.2132537055417,40.7000007629395,64.5842709298873,female
"[20,30)",11,1153,57.4990607515585,40.4000015258789,53.2258805754797,female
"[20,30)",12,1167,58.5890188723828,41.7000007629395,52.3371031355806,female
"[30,40)",1,1801,74.0929211585274,48.5999984741211,74.5439108808609,female
"[30,40)",2,1601,71.5655027796968,46.7999992370606,70.2807471082472,female
"[30,40)",3,1653,74.8497072994096,49.7000007629395,76.3935685391126,female
"[30,40)",4,1587,74.5951795812365,50.2999992370606,75.6750450256466,female
"[30,40)",5,1674,67.645873935704,47.6499996185303,62.5308832791726,female
"[30,40)",6,1801,69.0701026699399,45.5999984741211,69.3392273113907,female
"[30,40)",7,1878,66.1133482611091,44.6499996185303,64.7918203224477,female
"[30,40)",8,1658,65.0155976897126,44.8500003814697,60.4414101631228,female
"[30,40)",9,1521,67.9442544243667,45.0999984741211,72.3733514549869,female
"[30,40)",10,1604,69.8132362805697,45.2999992370606,73.9922236663378,female
"[30,40)",11,1800,64.3582644250658,44.8000011444092,59.8499467314357,female
"[30,40)",12,1820,66.4039115313645,46.7999992370606,60.6139597827641,female
"[40,50)",1,2713,85.426607444811,56,84.445106516984,female
"[40,50)",2,2539,93.804620364934,58,95.9204578639695,female
"[40,50)",3,2720,88.3236175740466,56.5400009155274,87.9822011212368,female
"[40,50)",4,2446,85.0201876617706,56.0999984741211,83.7218209927135,female
"[40,50)",5,2732,85.7723601621904,55,89.4045312550845,female
"[40,50)",6,2877,83.8239739311624,53.7000007629395,86.5414135084403,female
"[40,50)",7,2798,79.6330500146676,54.0999984741211,76.5062238940339,female
"[40,50)",8,2731,77.1698538404121,51,75.8666738268535,female
"[40,50)",9,2399,78.7522659750967,52.8079986572266,75.4542920132613,female
"[40,50)",10,2486,82.4614111270429,54.5999984741211,85.1123338716336,female
"[40,50)",11,2840,78.0135763819789,56,69.7585959925818,female
"[40,50)",12,2845,83.5721971676094,54.9000015258789,82.6889980492575,female
"[50,60)",1,6376,80.457122020171,60,64.3653421228016,female
"[50,60)",2,5983,82.3714521354842,60.9000015258789,68.4449139799169,female
"[50,60)",3,6068,78.357440189696,58.7999992370606,61.1947141316652,female
"[50,60)",4,5475,77.4228067709866,58.0999984741211,60.4760384178061,female
"[50,60)",5,6191,76.7213896238598,56.7999992370606,62.0252456048956,female
"[50,60)",6,6428,75.6532870436872,57.2999992370606,58.2572560073574,female
"[50,60)",7,6409,72.8926394190724,55.2999992370606,56.7771102684523,female
"[50,60)",8,6218,75.5208752209752,55,60.7359583218212,female
"[50,60)",9,5257,75.853040712243,56,62.5855577011942,female
"[50,60)",10,5638,75.549935978243,56.2000007629395,59.4859685249953,female
