age_group,month,n,mean,median,std,type
"[20,50)",1,179096,4.47123754716215,4.46000003814697,0.313697246904057,male
"[20,50)",2,169512,4.46277018576443,4.40000009536743,0.315401409521068,male
"[20,50)",3,180755,4.40709866929102,4.40000009536743,0.311420950373223,male
"[20,50)",4,165930,4.35690652772372,4.30000019073486,0.29836287111802,male
"[20,50)",5,187220,4.32320403771171,4.30000019073486,0.29498655847846,male
"[20,50)",6,199856,4.29330808188629,4.30000019073486,0.302667691125188,male
"[20,50)",7,200066,4.26482555789687,4.28000020980835,0.287183174013062,male
"[20,50)",8,191298,4.25702803975985,4.21999979019165,0.287064268102876,male
"[20,50)",9,164674,4.26551665703599,4.26999998092651,0.288790834729449,male
"[20,50)",10,169178,4.31004492384831,4.30000019073486,0.305205086218732,male
"[20,50)",11,176766,4.38094480798833,4.40000009536743,0.309742888809814,male
"[20,50)",12,180830,4.41992080965144,4.40000009536743,0.311276186410299,male
"[50,80]",1,76606,4.5649635812693,4.51999998092651,0.336567906363113,male
"[50,80]",2,72297,4.55616526349309,4.5,0.33901806770672,male
"[50,80]",3,76013,4.52761040882742,4.5,0.337574691430943,male
"[50,80]",4,74310,4.45306835985331,4.40000009536743,0.332198110333999,male
"[50,80]",5,86372,4.4040729626506,4.40000009536743,0.316064844267155,male
"[50,80]",6,91489,4.38279880611806,4.40000009536743,0.312056292378836,male
"[50,80]",7,91706,4.35364381875934,4.30000019073486,0.299722785896227,male
"[50,80]",8,86608,4.32846561587112,4.30000019073486,0.307598705205647,male
"[50,80]",9,68730,4.34954430364928,4.30000019073486,0.299639215098586,male
"[50,80]",10,66426,4.4053545295573,4.40000009536743,0.31615293178317,male
"[50,80]",11,70085,4.48931297416684,4.5,0.320202747826835,male
"[50,80]",12,75284,4.54224748948664,4.5,0.336016176061218,male
"[20,50)",1,219358,4.38982599189649,4.40000009536743,0.307530219603772,female
"[20,50)",2,212078,4.387755825145,4.40000009536743,0.306807293591741,female
"[20,50)",3,221480,4.35890428076179,4.30999994277954,0.293169328662864,female
"[20,50)",4,211808,4.3316878019201,4.30000019073486,0.291648227093074,female
"[20,50)",5,240343,4.30088019943214,4.30000019073486,0.277208030882745,female
"[20,50)",6,256423,4.27468004010342,4.30000019073486,0.285676831417157,female
"[20,50)",7,262262,4.26260567629875,4.26000022888184,0.284487542412028,female
"[20,50)",8,249306,4.25564715548656,4.19999980926514,0.283672635614783,female
"[20,50)",9,215921,4.26106969623215,4.23999977111816,0.285031785346636,female
"[20,50)",10,215171,4.2972302486347,4.30000019073486,0.277118006041041,female
"[20,50)",11,225642,4.33877536084979,4.30000019073486,0.290640045744991,female
"[20,50)",12,221443,4.36029194919135,4.30999994277954,0.292999949463573,female
"[50,80]",1,107454,4.54259785587274,4.5,0.33551542468616,female
"[50,80]",2,104730,4.53767850766901,4.5,0.336317649071898,female
"[50,80]",3,109842,4.51659092279796,4.5,0.334992714343268,female
"[50,80]",4,112167,4.45763093948203,4.40000009536743,0.329506578280654,female
"[50,80]",5,140761,4.43529663496104,4.40000009536743,0.327291230287765,female
"[50,80]",6,148441,4.40486206674026,4.40000009536743,0.311418162913233,female
"[50,80]",7,149305,4.39043213543068,4.40000009536743,0.309171109072488,female
"[50,80]",8,135257,4.38297670295098,4.40000009536743,0.307802069077495,female
"[50,80]",9,107348,4.38974754901038,4.40000009536743,0.310004047597225,female
"[50,80]",10,102461,4.43376035453008,4.40000009536743,0.326176153908275,female
"[50,80]",11,105290,4.48582923107988,4.5,0.317414810618373,female
"[50,80]",12,106973,4.52579491988044,4.5,0.332826730377597,female
"[20,50)",1,398998,4.41330457806294,4.40000009536743,0.310416445356426,both
"[20,50)",2,381957,4.4085312220195,4.40000009536743,0.31015099894018,both
"[20,50)",3,406109,4.38734856850533,4.40000009536743,0.308861983388501,both
"[20,50)",4,377332,4.34201668571264,4.30000019073486,0.294153911596479,both
"[20,50)",5,431736,4.31745288717053,4.30000019073486,0.291859989305851,both
"[20,50)",6,452438,4.27683017338706,4.30000019073486,0.287248501467963,both
"[20,50)",7,462328,4.26356629912888,4.26999998092651,0.28565896922777,both
"[20,50)",8,440604,4.25624669702434,4.21000003814697,0.285150640125961,both
"[20,50)",9,380595,4.26299378568002,4.26000022888184,0.286672371278071,both
"[20,50)",10,393037,4.30298381611313,4.30000019073486,0.302387888597674,both
"[20,50)",11,399048,4.35112490255194,4.30000019073486,0.293487093114299,both
"[20,50)",12,406084,4.39370497202904,4.40000009536743,0.308945333387255,both
"[50,80]",1,184060,4.55190649848781,4.5,0.336133802117129,both
"[50,80]",2,177027,4.54522841240565,4.5,0.337544478288267,both
"[50,80]",3,185855,4.52109779208616,4.5,0.336093879148549,both
"[50,80]",4,186477,4.45581277803472,4.40000009536743,0.330588422147698,both
"[50,80]",5,225126,4.41646082625391,4.40000009536743,0.316309447082871,both
"[50,80]",6,239930,4.39644900605145,4.40000009536743,0.311845180421735,both
"[50,80]",7,242321,4.38114228603625,4.40000009536743,0.310023501889841,both
"[50,80]",8,221186,4.37270301824953,4.34999990463257,0.308109333686198,both
"[50,80]",9,176917,4.37915875685621,4.40000009536743,0.310203154311291,both
"[50,80]",10,167269,4.41504426991531,4.40000009536743,0.314832911187102,both
"[50,80]",11,175343,4.48733042968084,4.5,0.318462402763263,both
"[50,80]",12,182257,4.53259090165471,4.5,0.334245135036969,both
