age_group,month,n,mean,median,std,type
"[20,80]",1,253795,4.49394558420671,4.5,0.317535679344859,male
"[20,80]",2,239724,4.48637824963398,4.5,0.318907229844164,male
"[20,80]",3,259726,4.44256643223213,4.40000009536743,0.329156323936059,male
"[20,80]",4,241297,4.38918362012924,4.40000009536743,0.313828596601394,male
"[20,80]",5,271091,4.34602978354928,4.30000019073486,0.297898936128528,male
"[20,80]",6,291378,4.31275957752553,4.30000019073486,0.306208475069248,male
"[20,80]",7,297012,4.29643714774564,4.30000019073486,0.304247067994491,male
"[20,80]",8,281201,4.28761533547758,4.30000019073486,0.303535179385553,male
"[20,80]",9,237580,4.2949722197905,4.30000019073486,0.304827157816614,male
"[20,80]",10,230250,4.34247066245768,4.30000019073486,0.297713888151519,male
"[20,80]",11,246747,4.40273721634359,4.40000009536743,0.313657380069036,male
"[20,80]",12,253224,4.47128257773817,4.46000003814697,0.317168542726145,male
"[20,80]",1,329407,4.43765390230036,4.40000009536743,0.327495025787627,female
"[20,80]",2,319338,4.43440341918927,4.40000009536743,0.3269433356782,female
"[20,80]",3,332582,4.40323622443526,4.40000009536743,0.312479568003385,female
"[20,80]",4,324753,4.37628292802045,4.36999988555908,0.310927146483526,female
"[20,80]",5,378728,4.34661068119481,4.30000019073486,0.295363724994747,female
"[20,80]",6,399091,4.33444708069328,4.30000019073486,0.293174270869954,female
"[20,80]",7,406797,4.31929989577892,4.30000019073486,0.292813970972806,female
"[20,80]",8,388198,4.29817010878605,4.30000019073486,0.301664512114248,female
"[20,80]",9,326585,4.30263386238979,4.30000019073486,0.303385102868777,female
"[20,80]",10,316465,4.34081607750227,4.30000019073486,0.294412081469277,female
"[20,80]",11,333990,4.38312362588634,4.40000009536743,0.309623242657362,female
"[20,80]",12,329312,4.40673737930404,4.40000009536743,0.311778508244587,female
"[20,80]",1,576194,4.47022627608253,4.44999980926514,0.317949981563123,both
"[20,80]",2,552939,4.46404033518582,4.40000009536743,0.318696611499665,both
"[20,80]",3,588213,4.41501966125252,4.40000009536743,0.314830480315112,both
"[20,80]",4,566050,4.3817822625382,4.40000009536743,0.312232190863255,both
"[20,80]",5,649447,4.3459798106445,4.30000019073486,0.2960636694473,both
"[20,80]",6,684800,4.33056023617528,4.30000019073486,0.294506716535318,both
"[20,80]",7,712407,4.30229571051113,4.30000019073486,0.303490278061171,both
"[20,80]",8,669399,4.29373626169468,4.30000019073486,0.302496386803016,both
"[20,80]",9,564165,4.29940740727694,4.30000019073486,0.304016477804266,both
"[20,80]",10,546215,4.34203024451947,4.30000019073486,0.295448321010584,both
"[20,80]",11,580737,4.39145716517272,4.40000009536743,0.311494335210123,both
"[20,80]",12,593783,4.43570826063629,4.40000009536743,0.327028591177601,both
