age_group,month,n,mean,median,std,type
"[20,80]",1,540,2.38114860499347,2.22606992721558,0.961959596444373,male
"[20,80]",2,471,2.37172481639117,2.20000004768372,0.924566127702133,male
"[20,80]",3,469,2.33676841492846,2.22606992721558,0.924520827232922,male
"[20,80]",4,444,2.31934613996261,2.20000004768372,0.907310128181148,male
"[20,80]",5,481,2.38663301076314,2.20000004768372,0.934219520672744,male
"[20,80]",6,469,2.26728282109507,2.16246795654297,0.863262726495182,male
"[20,80]",7,442,2.31334325563314,2.20000004768372,0.829148119787172,male
"[20,80]",8,467,2.27429099345871,2.20000004768372,0.908422910008787,male
"[20,80]",9,417,2.317600241525,2.20000004768372,0.885964018300986,male
"[20,80]",10,457,2.40118470820609,2.20000004768372,0.952709613574364,male
"[20,80]",11,512,2.35329376207665,2.20000004768372,0.920280778661787,male
"[20,80]",12,522,2.36437291500669,2.20000004768372,0.922294038908563,male
"[20,80]",1,30504,7.53078447074019,2.90000009536743,10.7663652755492,female
"[20,80]",2,28985,7.31351129875649,2.79999995231628,10.620732273287,female
"[20,80]",3,30036,7.35931255879447,2.79999995231628,10.6783088109333,female
"[20,80]",4,26160,7.31552939765406,2.79999995231628,10.5700798117131,female
"[20,80]",5,28086,7.36693705432581,2.70000004768372,10.6885810932117,female
"[20,80]",6,28587,7.3934049413229,2.70000004768372,10.612327161352,female
"[20,80]",7,29609,7.36436232333729,2.79848790168762,10.6007436923563,female
"[20,80]",8,28310,7.4988880428755,2.79999995231628,10.6597595274361,female
"[20,80]",9,24509,7.35768672534139,2.79999995231628,10.4809750924338,female
"[20,80]",10,25772,7.40089764756509,2.70000004768372,10.6436555811829,female
"[20,80]",11,28540,7.13979171095984,2.79999995231628,10.280772226327,female
"[20,80]",12,30678,7.26620828863679,2.79999995231628,10.5370421102363,female
"[20,80]",1,31046,7.41233999452463,2.90000009536743,10.6310726893644,both
"[20,80]",2,29462,7.2109769697519,2.79999995231628,10.5024504686264,both
"[20,80]",3,30505,7.2498966255045,2.79999995231628,10.5474203027886,both
"[20,80]",4,26604,7.20002967776338,2.79999995231628,10.4330303887247,both
"[20,80]",5,28572,7.24921013473897,2.70000004768372,10.5488964262414,both
"[20,80]",6,29055,7.27703785463857,2.70000004768372,10.477834372028,both
"[20,80]",7,30058,7.26282038476837,2.71000003814697,10.4859548573108,both
"[20,80]",8,28781,7.39337393040579,2.79999995231628,10.5514348250824,both
"[20,80]",9,24932,7.24429860579849,2.78999996185303,10.3553980906768,both
"[20,80]",10,26239,7.27984552152355,2.70000004768372,10.5036256392549,both
"[20,80]",11,29071,7.02405635817313,2.76668691635132,10.1488948357736,both
"[20,80]",12,31201,7.14268634484818,2.79999995231628,10.3852957639972,both
