age_group,month,n,mean,median,std,type
"[20,30)",1,3310,261.208577709832,221,129.298611377385,male
"[20,30)",2,3103,266.341394341457,229,134.630577373492,male
"[20,30)",3,3141,267.41776062857,229.199996948242,139.44218363469,male
"[20,30)",4,2691,276.168262973588,234.042602539063,140.648847255894,male
"[20,30)",5,3135,280.506029983837,237,146.546923039546,male
"[20,30)",6,3015,269.103005298216,234.042602539063,126.770612529936,male
"[20,30)",7,3357,283.504591547807,245,142.13880516838,male
"[20,30)",8,3097,279.835814668473,241,139.699253863346,male
"[20,30)",9,2769,271.423819666264,231.800003051758,136.813556362934,male
"[20,30)",10,2941,261.238646527044,222,130.038112267225,male
"[20,30)",11,3221,257.159830990507,217.399993896484,125.985781512194,male
"[20,30)",12,3337,261.799181493771,227,129.040001905269,male
"[30,40)",1,4418,230.476601655476,196.849998474121,115.067910931283,male
"[30,40)",2,4057,231.575201441215,194,120.632595155209,male
"[30,40)",3,4107,233.019615359106,197,119.752184498885,male
"[30,40)",4,3582,236.693460022518,202.25,118.166423512838,male
"[30,40)",5,3869,241.480077292451,207.199996948242,122.751527967215,male
"[30,40)",6,4014,251.015029892021,212.766006469727,130.948191528173,male
"[30,40)",7,4069,253.484605248714,214,129.825860845476,male
"[30,40)",8,3783,251.280462524672,213,127.646722235852,male
"[30,40)",9,3418,250.813200701183,212.766006469727,133.117152413902,male
"[30,40)",10,3726,234.894366509545,199,120.418077359346,male
"[30,40)",11,4358,226.418601851444,191.489395141602,111.579277959713,male
"[30,40)",12,4501,226.910773529209,191.489395141602,110.612276917706,male
"[40,50)",1,2923,220.491293477474,180,126.867646934313,male
"[40,50)",2,2854,217.921583663523,180,124.044571933137,male
"[40,50)",3,2751,216.485431295358,181.489395141602,116.130832476064,male
"[40,50)",4,2379,221.226664135465,185.199996948242,121.873081974972,male
"[40,50)",5,2563,226.386865238542,190.199996948242,125.149512185725,male
"[40,50)",6,2552,231.899529833779,191.489395141602,131.719970871147,male
"[40,50)",7,2635,242.166300411333,196.800003051758,140.524918173684,male
"[40,50)",8,2526,236.621069348623,193,135.89601255094,male
"[40,50)",9,2139,230.926905592338,189.699996948242,135.053526840797,male
"[40,50)",10,2407,220.542965637385,180,126.047135853034,male
"[40,50)",11,2644,214.901672354625,174.468116760254,119.251824747818,male
"[40,50)",12,2873,218.207678253461,176.100006103516,126.248351123585,male
"[50,60)",1,3226,201.965444390994,170.400001525879,105.531345285207,male
"[50,60)",2,2985,200.997763805294,170.212799072266,107.517853328861,male
"[50,60)",3,2933,213.143013715825,177,118.923709555593,male
"[50,60)",4,2714,211.108026016786,176.699996948242,116.256297604916,male
"[50,60)",5,2762,213.244394991555,178.400001525879,119.989748220033,male
"[50,60)",6,2784,216.613343691004,178.449996948242,119.5077334492,male
"[50,60)",7,2836,218.753399777648,185.515975952148,115.594418050907,male
"[50,60)",8,2657,225.976109342105,190.800003051758,121.487964355956,male
"[50,60)",9,2272,225.828313283517,182,133.716239042469,male
"[50,60)",10,2531,210.92711847095,173,119.384154418153,male
"[50,60)",11,2864,210.558983797468,172.050003051758,121.535645251575,male
"[50,60)",12,2994,209.290281574807,172.320236206055,119.261403937894,male
"[60,70)",1,3137,196.455204952436,170.212799072266,94.3665000572333,male
"[60,70)",2,2813,193.853607272661,169.148971557617,92.7649449806049,male
"[60,70)",3,2901,195.438824179911,169.300003051758,97.5482799334132,male
"[60,70)",4,2555,201.623941517809,174.100006103516,99.1390999759697,male
"[60,70)",5,2725,203.524135162633,176,99.5477827388158,male
"[60,70)",6,2864,208.897134639697,177.349998474121,107.925635690407,male
"[60,70)",7,2944,205.365512329599,181.288314819336,97.0206079542714,male
"[60,70)",8,2805,211.840150609416,182,104.149845996242,male
"[60,70)",9,2409,214.328808738167,178.723434448242,114.457492668522,male
"[60,70)",10,2585,199.108127170467,170.212799072266,99.4646896161047,male
"[60,70)",11,2887,203.662571139678,170.212799072266,110.96166566733,male
"[60,70)",12,3012,201.958994433541,172,102.797823848715,male
"[70,80]",1,1408,212.878928249533,176.59789276123,112.479222953209,male
"[70,80]",2,1278,208.241866462481,178,104.139193836859,male
"[70,80]",3,1382,203.486599393588,173.649993896484,104.797741932845,male
"[70,80]",4,1331,205.139567248361,175,105.473470148556,male
"[70,80]",5,1414,205.703763327808,179,100.927101463895,male
"[70,80]",6,1476,215.479291176731,185.700004577637,110.029103655537,male
"[70,80]",7,1496,211.455934310342,184.25,102.677937198525,male
"[70,80]",8,1369,222.602127348271,190.899993896484,117.745498825655,male
"[70,80]",9,1201,218.694613498812,188.600006103516,115.237695831736,male
"[70,80]",10,1334,207.28661476833,180.156402587891,100.108868125233,male
"[70,80]",11,1486,208.695356320244,177,112.579981236526,male
"[70,80]",12,1461,206.218277546741,175.899993896484,104.836385767176,male
"[20,30)",1,26070,368.459933622102,309.799987792969,205.598464189686,female
"[20,30)",2,24234,368.773545088819,309,207.143688390887,female
"[20,30)",3,25100,373.714303040827,313,211.181355281093,female
"[20,30)",4,23020,381.068878587777,317.659637451172,218.986905529693,female
"[20,30)",5,24740,389.584097573751,329,219.484385318528,female
"[20,30)",6,25022,394.128185768606,333.195785522461,222.113787851075,female
"[20,30)",7,25565,405.724051468251,340.425598144531,231.351902766225,female
"[20,30)",8,24969,401.646727140018,340.5,223.824662723916,female
"[20,30)",9,22462,387.385710891086,321.801086425781,222.205921666042,female
"[20,30)",10,24140,364.675355980785,305,206.11558172228,female
"[20,30)",11,25837,357.693891828309,300.5,200.790089855743,female
"[20,30)",12,27054,362.036855259535,304,202.295145844511,female
"[30,40)",1,24092,297.2042943526,240,176.565860622482,female
"[30,40)",2,22243,293.404655927485,235.899993896484,175.548802164518,female
"[30,40)",3,23130,294.597611782801,239,173.050099028135,female
"[30,40)",4,20832,306.655131949807,249.78727722168,182.322735346558,female
"[30,40)",5,23054,306.328388256471,249.78727722168,181.497971736293,female
"[30,40)",6,23972,313.773416177669,255.319198608398,187.450883661354,female
"[30,40)",7,24456,321.939042511585,261.600006103516,190.784760687063,female
"[30,40)",8,23033,324.468049853581,265,189.437423979313,female
"[30,40)",9,20744,310.245798447488,252.576622009277,183.403205998367,female
"[30,40)",10,22499,289.833693585844,234.042602539063,172.158391554617,female
"[30,40)",11,24676,286.667144834445,234.042602539063,168.020442083037,female
"[30,40)",12,25161,290.082078035797,234.042602539063,171.323005813817,female
"[40,50)",1,18232,268.203088223908,220,152.453492382534,female
"[40,50)",2,17073,267.474521147865,219.600006103516,151.523117525706,female
"[40,50)",3,18194,268.886528355218,222.576622009277,150.191808150075,female
"[40,50)",4,15933,279.79235053441,232.340469360352,158.211805561612,female
"[40,50)",5,17670,275.084250732405,230.5,151.817772696542,female
"[40,50)",6,18632,283.409802817643,235.699996948242,156.232077218295,female
"[40,50)",7,18910,292.772849552471,245.531967163086,161.334289469326,female
"[40,50)",8,18209,298.452119889176,249.899993896484,166.026389479426,female
"[40,50)",9,16089,283.737892465747,234.042602539063,158.033245816091,female
"[40,50)",10,17375,268.015202203764,221,150.512009387282,female
"[40,50)",11,18783,262.191415368067,217,144.008746421749,female
"[40,50)",12,18484,267.663575130942,221.150001525879,148.687451013755,female
"[50,60)",1,6328,242.96705698334,199.050003051758,142.633493875593,female
"[50,60)",2,5966,244.927309380895,199,148.610912761464,female
"[50,60)",3,6255,242.926333052211,197.699996948242,143.710413652951,female
"[50,60)",4,5697,249.489979820794,201.899993896484,149.754770863968,female
"[50,60)",5,6481,248.916122424752,204,146.385927484776,female
"[50,60)",6,7125,253.166407144112,206.600006103516,148.692734066139,female
"[50,60)",7,7147,252.060118822947,208.300003051758,142.990136238906,female
"[50,60)",8,6736,255.802164128727,212.449996948242,147.62295908254,female
"[50,60)",9,5707,252.13850907225,203.899993896484,150.551177422982,female
"[50,60)",10,6150,237.247153141673,193,139.532762510215,female
"[50,60)",11,6606,231.325894282148,191.489395141602,132.988254952757,female
"[50,60)",12,6439,243.84234685138,195.199996948242,151.494197207924,female
"[60,70)",1,1600,216.22686902523,169.474487304688,142.812346916314,female
"[60,70)",2,1412,219.003219020941,160.106399536133,165.688063990105,female
"[60,70)",3,1492,224.363912510808,172,155.887627008866,female
"[60,70)",4,1366,219.187736589423,168.968101501465,154.565921097482,female
"[60,70)",5,1537,227.95370915251,170.212799072266,163.92508756497,female
"[60,70)",6,1621,222.388379157582,171.300003051758,155.778815622746,female
"[60,70)",7,1657,236.032315080973,172.399993896484,184.279843421534,female
"[60,70)",8,1556,216.178769231762,170.212799072266,138.785081296663,female
"[60,70)",9,1348,227.886573610391,170.212799072266,168.039579706028,female
"[60,70)",10,1563,215.131654960256,160.300003051758,159.892103531455,female
"[60,70)",11,1745,220.408075506434,164.600006103516,164.13068995441,female
"[60,70)",12,1679,213.037975354447,164.399993896484,156.151548161861,female
"[70,80]",1,677,241.496753168599,170.212799072266,201.391140943915,female
"[70,80]",2,639,256.631412583711,176.5,214.019835211721,female
"[70,80]",3,603,252.177442035074,170.699996948242,222.948719064387,female
"[70,80]",4,636,232.212929647674,171.800003051758,176.63733349274,female
"[70,80]",5,688,246.886751141659,175.978744506836,205.944127051778,female
"[70,80]",6,729,246.32671291838,165.899993896484,227.996967626537,female
"[70,80]",7,746,266.486680866886,187.400001525879,230.18503080687,female
"[70,80]",8,646,238.722440371203,180.349998474121,174.295103421013,female
"[70,80]",9,583,241.978418693739,176.399993896484,189.48741302079,female
"[70,80]",10,685,229.828176813056,170.399993896484,171.955069499639,female
"[70,80]",11,758,232.694176968295,167.800003051758,193.001524266377,female
"[70,80]",12,678,241.141409038442,171.300003051758,208.437463634768,female
"[20,30)",1,29368,355.786582151053,297.872406005859,199.338751684899,both
"[20,30)",2,27347,356.635065896788,297.872406005859,201.512478199723,both
"[20,30)",3,28247,361.614731266574,300,206.170052659258,both
"[20,30)",4,25695,369.575308787236,306,212.803764762314,both
"[20,30)",5,27873,376.654427486468,318.600006103516,213.309211505168,both
"[20,30)",6,28028,379.89088424099,319.148986816406,214.920041345916,both
"[20,30)",7,28929,390.742692476567,326.399993896484,223.85617578897,both
"[20,30)",8,28070,387.342283782035,326.808563232422,217.032001151819,both
"[20,30)",9,25238,373.910529433741,310,215.432174128518,both
"[20,30)",10,27084,352.836437542811,295.349990844727,200.119011377915,both
"[20,30)",11,29044,345.944944217011,291.399993896484,194.313981909727,both
"[20,30)",12,30392,350.345036035464,295,196.218400353249,both
"[30,40)",1,28511,285.946612132344,234.042602539063,167.143569507663,both
"[30,40)",2,26301,283.271015033945,230.300003051758,167.622375827175,both
"[30,40)",3,27236,284.556205373028,233.050003051758,165.090006592817,both
"[30,40)",4,24413,295.650333441261,240,173.503904353562,both
"[30,40)",5,26924,296.348675402113,242,173.526106279301,both
"[30,40)",6,27975,304.288342408699,247.5,179.831601636881,both
"[30,40)",7,28466,311.921000005791,255.319198608398,182.516441702147,both
"[30,40)",8,26815,313.543719000446,255.399993896484,181.639152634765,both
"[30,40)",9,24149,301.295579060348,245.199996948242,176.095483895512,both
"[30,40)",10,26223,281.322203149968,231,164.396826855083,both
"[30,40)",11,29038,276.875607889705,227,159.666577773833,both
"[30,40)",12,29647,279.827929843758,228.300003051758,162.497758234655,both
"[40,50)",1,21149,261.635480254935,213.5,149.696988712938,both
"[40,50)",2,19931,260.380413401271,213,148.587281359668,both
"[40,50)",3,20940,261.918058018288,216,146.416909865113,both
"[40,50)",4,18311,272.247624273791,225,154.633995034247,both
"[40,50)",5,20237,268.834305738127,225,149.047102776445,both
"[40,50)",6,21183,277.118151316589,232,153.779103537196,both
"[40,50)",7,21545,286.642591361796,238.297912597656,159.518193423153,both
"[40,50)",8,20693,291.2690177412,242.978775024414,163.398037226253,both
"[40,50)",9,18236,277.506377887663,230.825553894043,156.324128779325,both
"[40,50)",10,19785,262.303842480833,216,148.249888397682,both
"[40,50)",11,21429,256.294409872453,212.766006469727,141.643673553613,both
"[40,50)",12,21359,260.905814749097,214.100006103516,146.315160230917,both
"[50,60)",1,9558,228.635214727178,190.199996948242,130.832989126486,both
"[50,60)",2,8952,229.604639761569,188,134.861212281409,both
"[50,60)",3,9189,233.176479941964,191.489395141602,135.9744430414,both
"[50,60)",4,8412,236.830393385332,192.549995422363,139.623505321825,both
"[50,60)",5,9243,238.07515682958,194,138.820535581042,both
"[50,60)",6,9939,242.16345600497,197.800003051758,141.043324087021,both
"[50,60)",7,10019,241.709078383548,200.100006103516,135.369382597989,both
