age_group,month,n,mean,median,std,type
"[20,80]",1,18420,222.100538680401,189.300003051758,115.382399996091,male
"[20,80]",2,17097,222.148403639625,188,117.452718087174,male
"[20,80]",3,17219,224.291083401618,190,119.281680262381,male
"[20,80]",4,15243,227.984842468714,191.489395141602,119.982131751297,male
"[20,80]",5,16467,232.195604469011,194,123.787668255475,male
"[20,80]",6,16767,234.749038582533,197.100006103516,124.591754032331,male
"[20,80]",7,17427,239.158528097718,202,126.551054709625,male
"[20,80]",8,16222,241.127817299962,204.25537109375,126.987923647498,male
"[20,80]",9,14285,238.056201887548,197,130.634581904205,male
"[20,80]",10,15530,225.361435649354,191.489395141602,119.254167035551,male
"[20,80]",11,17471,222.642692103028,187,118.387188816239,male
"[20,80]",12,18185,223.320849523788,189.361740112305,117.763650344498,male
"[20,80]",1,76991,307.57420458472,249.300003051758,183.41755484131,female
"[20,80]",2,71571,306.679516374336,248.199996948242,184.568304315217,female
"[20,80]",3,74772,308.426557122548,251.300003051758,184.236244199033,female
"[20,80]",4,67472,318.065782850603,256.170257568359,192.062437865316,female
"[20,80]",5,74180,318.949210964788,259,191.051729832477,female
"[20,80]",6,77099,324.027520116776,262,194.536745946073,female
"[20,80]",7,78418,333.10642178375,271,199.963016971814,female
"[20,80]",8,75221,333.986799699092,274,197.115536784804,female
"[20,80]",9,66967,322.052503048162,260,193.739022749229,female
"[20,80]",10,72413,302.657527574792,244.600006103516,181.575948529496,female
"[20,80]",11,78404,297.218495562359,241,176.038327989106,female
"[20,80]",12,79476,303.349524053187,245.899993896484,180.505870136139,female
"[20,80]",1,95419,290.289431479121,234.042602539063,172.687018585034,both
"[20,80]",2,88670,289.535866280501,234.042602539063,173.948255722496,both
"[20,80]",3,91988,291.987615254981,235.199996948242,174.406989099509,both
"[20,80]",4,82713,300.566145296353,242.600006103516,181.13131418048,both
"[20,80]",5,90647,302.385586723405,246,180.858593555329,both
"[20,80]",6,93775,307.447536160198,249,184.321401781305,both
"[20,80]",7,95780,315.24020518472,255.319198608398,188.836686405918,both
"[20,80]",8,91346,316.996923178675,257.299987792969,187.263728993392,both
"[20,80]",9,81136,306.920694905704,248,184.490669853524,both
"[20,80]",10,87935,288.355570377943,234.042602539063,172.385713057553,both
"[20,80]",11,95864,283.00309296334,230.825553894043,167.15241243962,both
"[20,80]",12,97667,287.780540542082,234,171.022529873185,both
