age_group,month,n,mean,median,std,type
"[20,50)",1,5711,0.491759225211462,0.486952662467957,0.26204934384761,male
"[20,50)",2,5225,0.493735758058335,0.492677211761475,0.259814416564784,male
"[20,50)",3,5245,0.497068749801447,0.49686324596405,0.25996319677157,male
"[20,50)",4,4540,0.50588038908851,0.510182112455368,0.259172364427962,male
"[20,50)",5,4959,0.522270927888163,0.53381484746933,0.260612993867608,male
"[20,50)",6,4968,0.524186660228192,0.535123765468597,0.257061634623032,male
"[20,50)",7,5149,0.534245580635932,0.550229787826538,0.261043612586169,male
"[20,50)",8,4878,0.531583567480998,0.545591354370117,0.260548569502168,male
"[20,50)",9,4338,0.520139435027095,0.527198731899262,0.261356776674789,male
"[20,50)",10,4755,0.491597579748661,0.487146526575089,0.263746583136009,male
"[20,50)",11,5406,0.487451368306815,0.474147409200668,0.264381886309507,male
"[20,50)",12,5580,0.494180854425956,0.491458833217621,0.257230377242395,male
"[50,80]",1,1453,0.505910847020699,0.512110710144043,0.270483338946087,male
"[50,80]",2,1343,0.493061657459631,0.494966447353363,0.26250288994277,male
"[50,80]",3,1333,0.505686146765388,0.500738561153412,0.267832927515936,male
"[50,80]",4,1155,0.513815254156853,0.526442289352417,0.266295713431903,male
"[50,80]",5,1161,0.524973999994464,0.546712815761566,0.264800118742566,male
"[50,80]",6,1177,0.523932502534598,0.51265823841095,0.265235687487935,male
"[50,80]",7,1173,0.535362337657964,0.553633213043213,0.259849154840568,male
"[50,80]",8,1081,0.540299704217393,0.562146902084351,0.262422962319558,male
"[50,80]",9,942,0.532749814070334,0.538239479064941,0.264872952856734,male
"[50,80]",10,1040,0.501824676342165,0.507067203521729,0.265486894333197,male
"[50,80]",11,1188,0.507188022936309,0.504285603761673,0.260222395273535,male
"[50,80]",12,1262,0.499716158354103,0.494092509150505,0.258804642704845,male
"[20,50)",1,22973,0.494664385685995,0.490501075983048,0.261167206333152,female
"[20,50)",2,21703,0.491693568576646,0.486403942108154,0.262063727087094,female
"[20,50)",3,22565,0.499311485254108,0.498717546463013,0.261919045598216,female
"[20,50)",4,20033,0.510211869133884,0.511971056461334,0.260866497282997,female
"[20,50)",5,22014,0.517439031905453,0.527252495288849,0.25662451565453,female
"[20,50)",6,22597,0.526186254187075,0.533861696720123,0.259640670145613,female
"[20,50)",7,23016,0.543896943387415,0.558878779411316,0.257703681774065,female
"[20,50)",8,22238,0.549400996189316,0.568581134080887,0.257186615254468,female
"[20,50)",9,19939,0.519975686802966,0.527862846851349,0.261359453754817,female
"[20,50)",10,21448,0.483258457877838,0.478447690606117,0.26167095831187,female
"[20,50)",11,23043,0.481774327274584,0.474851489067078,0.25913944469568,female
"[20,50)",12,23547,0.486623514298719,0.481785327196121,0.260989828532882,female
"[50,80]",1,2027,0.51010693027121,0.508143305778503,0.266339457316197,female
"[50,80]",2,2016,0.506131268361406,0.518777012825012,0.264928998757557,female
"[50,80]",3,2029,0.504086190938377,0.510088801383972,0.262065955299435,female
"[50,80]",4,1790,0.514626037820591,0.512265264987946,0.256987872886109,female
"[50,80]",5,1989,0.524058943529145,0.531669855117798,0.256797721567438,female
"[50,80]",6,2191,0.540321525067281,0.556093633174896,0.266097651263759,female
"[50,80]",7,2160,0.527835518121719,0.535108983516693,0.253278942978461,female
"[50,80]",8,2101,0.53981623038302,0.55964469909668,0.250691067975987,female
"[50,80]",9,1734,0.521935567829109,0.52458593249321,0.259418797403364,female
"[50,80]",10,1873,0.484113413577992,0.478342741727829,0.260325062168426,female
"[50,80]",11,2068,0.494798836501845,0.488420844078064,0.263562981066292,female
"[50,80]",12,2036,0.508346320543446,0.511408090591431,0.259255501945101,female
"[20,50)",1,28687,0.494103686598549,0.489729851484299,0.261365645165686,both
"[20,50)",2,26928,0.492089847544904,0.488045170903206,0.261625171627096,both
"[20,50)",3,27811,0.498870981874393,0.498559087514877,0.261553793194306,both
"[20,50)",4,24573,0.509412455493679,0.51171749830246,0.260551379250395,both
"[20,50)",5,26971,0.518362199533281,0.528328776359558,0.257339326667405,both
"[20,50)",6,27568,0.525805003582557,0.533959686756134,0.259200147442781,both
"[20,50)",7,28167,0.542097318710001,0.557140469551086,0.258351571769462,both
"[20,50)",8,27115,0.54621464034799,0.564266681671143,0.25785092194397,both
"[20,50)",9,24278,0.520023967127378,0.527792900800705,0.261361514929952,both
"[20,50)",10,26204,0.484790739068658,0.480503514409065,0.262072019891726,both
"[20,50)",11,28452,0.4828393885081,0.474799364805222,0.260174056259047,both
"[20,50)",12,29125,0.488101731710935,0.483738213777542,0.260269107926233,both
"[50,80]",1,3480,0.508375774865606,0.510700523853302,0.267975628583093,both
"[50,80]",2,3361,0.500913394045897,0.510204076766968,0.264135290345838,both
"[50,80]",3,3364,0.504680231343135,0.508263647556305,0.264417215876477,both
"[50,80]",4,2946,0.51389708440025,0.51601904630661,0.260641035739432,both
"[50,80]",5,3151,0.52425236716247,0.534817814826965,0.259806540284577,both
"[50,80]",6,3368,0.534598186219469,0.543827772140503,0.265859441465534,both
"[50,80]",7,3333,0.530466772073826,0.540880501270294,0.255566705062685,both
"[50,80]",8,3185,0.539839229116354,0.55964469909668,0.25490260951031,both
"[50,80]",9,2678,0.525720214325158,0.528273403644562,0.261529303797982,both
"[50,80]",10,2915,0.490441345092465,0.48734176158905,0.262448124931867,both
"[50,80]",11,3257,0.499471807811783,0.495798319578171,0.26240325638596,both
"[50,80]",12,3300,0.505053890149928,0.504396945238113,0.259176359994539,both
