age_group,month,n,mean,median,std,type
"[20,30)",1,8572,15.2180563926252,15.1999998092651,1.67642723602535,male
"[20,30)",2,8101,15.1826489508233,15.1000003814697,1.69353442306055,male
"[20,30)",3,8500,15.1769049915987,15.1000003814697,1.67643377287394,male
"[20,30)",4,7693,15.2822137640741,15.2200002670288,1.6852352949742,male
"[20,30)",5,8734,15.3330822622091,15.2200002670288,1.73733139674935,male
"[20,30)",6,9001,15.3550917121413,15.3000001907349,1.71375283630816,male
"[20,30)",7,9569,15.3416654868041,15.3000001907349,1.71726072884384,male
"[20,30)",8,9378,15.41260896987,15.3999996185303,1.65486319797357,male
"[20,30)",9,8086,15.5112387902248,15.4463996887207,1.6830539897847,male
"[20,30)",10,8022,15.5617065372624,15.4463996887207,1.73505464940947,male
"[20,30)",11,8410,15.4673974588283,15.3999996185303,1.70941043957851,male
"[20,30)",12,8579,15.3268628215467,15.3000001907349,1.70551153342509,male
"[30,40)",1,9195,14.8578413226411,14.8000001907349,1.62488921228837,male
"[30,40)",2,8640,14.8493790128717,14.8000001907349,1.62291454623742,male
"[30,40)",3,9052,14.8592090237947,14.8000001907349,1.63570287823586,male
"[30,40)",4,8406,14.8058128840238,14.6999998092651,1.66167036198678,male
"[30,40)",5,9229,14.8891242327263,14.8000001907349,1.65544724825901,male
"[30,40)",6,9434,14.8852841444179,14.8000001907349,1.64044996735653,male
"[30,40)",7,9459,14.8829288378819,14.8000001907349,1.60168172411138,male
"[30,40)",8,9047,14.9391195368501,14.8199996948242,1.6036260842469,male
"[30,40)",9,7987,14.9896228911358,14.8999996185303,1.66621534498374,male
"[30,40)",10,8428,15.0318564768928,15,1.66639194260781,male
"[30,40)",11,9091,15.0096576178956,14.9700002670288,1.6535887979899,male
"[30,40)",12,9179,14.9457844075378,14.8999996185303,1.63002976690648,male
"[40,50)",1,7130,14.650878672446,14.5100002288818,1.6281653002949,male
"[40,50)",2,6868,14.6230827230455,14.5,1.63921918475407,male
"[40,50)",3,7089,14.5744043041611,14.4700002670288,1.65758565620286,male
"[40,50)",4,6386,14.5631986588772,14.5,1.64126454373879,male
"[40,50)",5,6893,14.57912121735,14.5,1.63623606602383,male
"[40,50)",6,6892,14.5487623633995,14.4200000762939,1.61640248606689,male
"[40,50)",7,7056,14.5253553728398,14.3999996185303,1.61557075579421,male
"[40,50)",8,6732,14.6090807425997,14.5,1.61127813095035,male
"[40,50)",9,5831,14.6831586489729,14.6000003814697,1.63416625138603,male
"[40,50)",10,6362,14.7698638420441,14.6999998092651,1.65865011505635,male
"[40,50)",11,6857,14.7492326425188,14.6899995803833,1.66085329106616,male
"[40,50)",12,7229,14.6790487124788,14.6000003814697,1.63525882593421,male
"[50,60)",1,5699,14.432584802735,14.3000001907349,1.66878654625315,male
"[50,60)",2,5474,14.3624594137535,14.2399997711182,1.63550867353152,male
"[50,60)",3,5570,14.3300805388062,14.1999998092651,1.66415674107173,male
"[50,60)",4,5011,14.2837297168946,14.1999998092651,1.66927447144888,male
"[50,60)",5,5465,14.3025782308552,14.1591997146606,1.66614940914168,male
"[50,60)",6,5616,14.2970146429844,14.1591997146606,1.65020100899088,male
"[50,60)",7,5566,14.2980691280632,14.1999998092651,1.62406063805327,male
"[50,60)",8,5504,14.2818706101456,14.1591997146606,1.6022943528958,male
"[50,60)",9,4568,14.423943832334,14.2879199981689,1.67526985043098,male
"[50,60)",10,4878,14.4979420599756,14.3999996185303,1.67097526196712,male
"[50,60)",11,5503,14.5523792067896,14.3999996185303,1.69864273753045,male
"[50,60)",12,5759,14.4758793775728,14.3000001907349,1.64789924374238,male
"[60,70)",1,4290,14.177695876346,14.1591997146606,1.59486956718612,male
"[60,70)",2,3861,14.0730827880381,14,1.61175471250472,male
"[60,70)",3,4025,14.0530876827832,14,1.61321644110646,male
"[60,70)",4,3623,14.0247584486942,13.9799995422363,1.61546574331807,male
"[60,70)",5,4069,13.9588419976824,13.8999996185303,1.59897802315388,male
"[60,70)",6,4233,13.9776865431752,13.8999996185303,1.58470315491434,male
"[60,70)",7,4041,13.9361375744052,13.8999996185303,1.55639087094493,male
"[60,70)",8,3836,14.0135161282497,13.8999996185303,1.59311555323631,male
"[60,70)",9,3370,14.0825448695559,14.0252404212952,1.57993848487394,male
"[60,70)",10,3604,14.2377970771705,14.1591997146606,1.61329286446227,male
"[60,70)",11,4030,14.2878464329627,14.1999998092651,1.61791090140939,male
"[60,70)",12,4154,14.2005790123643,14.1591997146606,1.6206955043253,male
"[70,80]",1,1894,14.0552239327395,14,1.6860290251936,male
"[70,80]",2,1754,14.0732847651979,13.914999961853,1.75096608063307,male
"[70,80]",3,1820,13.9409251234034,13.8000001907349,1.68197111825587,male
"[70,80]",4,1720,13.9702163480049,13.8999996185303,1.68889034532146,male
"[70,80]",5,1936,13.8423394092844,13.7049999237061,1.58198811626634,male
"[70,80]",6,1816,13.9642435217744,13.8550000190735,1.69931822348504,male
"[70,80]",7,1813,13.9802716655489,13.8999996185303,1.60765459542763,male
"[70,80]",8,1702,13.9677105779233,13.8999996185303,1.65083706103669,male
"[70,80]",9,1452,14.0624784503758,13.9699997901917,1.61809097343092,male
"[70,80]",10,1678,14.1071879656295,14,1.64582128565481,male
"[70,80]",11,1807,14.1758347090662,14.1000003814697,1.68984413325112,male
"[70,80]",12,1797,14.1866057490931,14.1591997146606,1.66339230086157,male
"[20,30)",1,18886,14.2138589416964,14.1591997146606,1.58915252607574,female
"[20,30)",2,17368,14.213901939067,14.1591997146606,1.56406372950996,female
"[20,30)",3,18388,14.1643896546861,14.1000003814697,1.55706956254188,female
"[20,30)",4,17577,14.1905008320272,14.1591997146606,1.54995346085072,female
"[20,30)",5,20030,14.2502601138842,14.1591997146606,1.59752959595238,female
"[20,30)",6,20083,14.2864991109079,14.1591997146606,1.55027530684198,female
"[20,30)",7,21235,14.2714254168193,14.1591997146606,1.55396692540342,female
"[20,30)",8,21156,14.3019835627537,14.1999998092651,1.52369260444236,female
"[20,30)",9,18925,14.3610238396003,14.1999998092651,1.55762415411569,female
"[20,30)",10,19368,14.3700314937471,14.1999998092651,1.58381999700168,female
"[20,30)",11,19591,14.3842806270651,14.2299995422363,1.56809173272356,female
"[20,30)",12,19589,14.2969881703097,14.1591997146606,1.58235573564749,female
"[30,40)",1,16395,14.0129849866964,13.9899997711182,1.55620512183514,female
"[30,40)",2,15747,14.0017848517196,13.8999996185303,1.55667360666468,female
"[30,40)",3,16674,13.9300622985248,13.8500003814697,1.56458403421598,female
"[30,40)",4,15383,13.9133789139622,13.8900003433228,1.576610263725,female
"[30,40)",5,17809,13.9292769877873,13.8800001144409,1.57438490354666,female
"[30,40)",6,18191,13.9656405765826,13.8999996185303,1.55890826244035,female
"[30,40)",7,18546,13.9201754236072,13.8550000190735,1.51989534605587,female
"[30,40)",8,17812,13.9918024798016,13.8999996185303,1.53834088705791,female
"[30,40)",9,15572,14.0317796379014,14,1.53685880473232,female
"[30,40)",10,16643,14.1095290353921,14.0500001907349,1.58111678814877,female
"[30,40)",11,17725,14.0813030777193,14,1.54918401785251,female
"[30,40)",12,17259,14.0600880310056,14,1.54992589030467,female
"[40,50)",1,14634,13.8551751912023,13.8000001907349,1.59590170040244,female
"[40,50)",2,13948,13.8695796995817,13.8000001907349,1.59306147100878,female
"[40,50)",3,14529,13.8276709248665,13.7799997329712,1.60942184807221,female
"[40,50)",4,13575,13.7887729688332,13.6999998092651,1.56225054393962,female
"[40,50)",5,15396,13.7432761546016,13.6999998092651,1.58837648242046,female
"[40,50)",6,15898,13.7358568469628,13.6000003814697,1.5618554816141,female
"[40,50)",7,16436,13.7155726716071,13.6000003814697,1.5350413531199,female
"[40,50)",8,15787,13.7175490056207,13.6300001144409,1.51734627646639,female
"[40,50)",9,13348,13.8394249243618,13.7730407714844,1.57533225173711,female
"[40,50)",10,14066,13.9123580762575,13.8000001907349,1.60292521791037,female
"[40,50)",11,15248,13.9791391872159,13.8999996185303,1.59105940964174,female
"[40,50)",12,14701,13.9576088167293,13.8999996185303,1.58401747244791,female
"[50,60)",1,12482,14.1026641574927,14,1.64532986785162,female
"[50,60)",2,11932,14.1207261554675,14.0500001907349,1.66805118568663,female
"[50,60)",3,12010,14.0743451995119,14,1.6504720952622,female
"[50,60)",4,11203,13.9610753935767,13.8999996185303,1.62703877979414,female
"[50,60)",5,12840,13.8643756206905,13.8000001907349,1.61813023988524,female
"[50,60)",6,13620,13.8620926443176,13.8000001907349,1.59595784909019,female
"[50,60)",7,13988,13.8667161416967,13.8000001907349,1.57713875471406,female
"[50,60)",8,13113,13.9314907659139,13.8000001907349,1.57030466020529,female
"[50,60)",9,11102,13.992752900791,13.8999996185303,1.60674324025182,female
"[50,60)",10,11591,14.0993987066075,14,1.65363474253378,female
"[50,60)",11,12577,14.1392360326927,14.1000003814697,1.62031477987209,female
"[50,60)",12,12663,14.1679563044862,14.1000003814697,1.62296707544915,female
"[60,70)",1,8112,14.164174881795,14.1000003814697,1.60891269308754,female
"[60,70)",2,7772,14.1781972638737,14.1000003814697,1.63673095439881,female
"[60,70)",3,7829,14.0727285445307,14,1.62589115575387,female
"[60,70)",4,7498,14.0355544351012,13.8999996185303,1.63791261118862,female
"[60,70)",5,8558,13.9349579359778,13.8000001907349,1.5654954365314,female
"[60,70)",6,8940,13.9156188994713,13.8999996185303,1.53290319350836,female
"[60,70)",7,8711,13.8738304288608,13.8000001907349,1.5405852207792,female
"[60,70)",8,8115,13.937215682833,13.8599996566772,1.56222611663667,female
"[60,70)",9,6868,14.0336344422611,13.9499998092651,1.58230379852441,female
"[60,70)",10,7714,14.1476260561816,14.1000003814697,1.63754470842908,female
"[60,70)",11,8255,14.2353148947334,14.1591997146606,1.60985823303041,female
"[60,70)",12,8189,14.246702062267,14.1591997146606,1.60154023327724,female
"[70,80]",1,3757,14.3549764791574,14.1999998092651,1.74591645414276,female
"[70,80]",2,3528,14.3121226634028,14.1591997146606,1.76573891182982,female
"[70,80]",3,3717,14.1540240271617,14.1000003814697,1.728912510069,female
"[70,80]",4,3552,14.1163584254346,14,1.70871931875008,female
"[70,80]",5,4111,14.0033681201865,13.8999996185303,1.72258197378994,female
"[70,80]",6,4070,13.9672097147536,13.8999996185303,1.61707274174329,female
