age_group,month,n,mean,median,std,type
"[20,50)",1,24979,14.9111603712405,14.8000001907349,1.66439553159916,male
"[20,50)",2,23585,14.912007667383,14.8000001907349,1.66232005511554,male
"[20,50)",3,24728,14.8863737644481,14.8000001907349,1.68005471865401,male
"[20,50)",4,22451,14.9018747021661,14.8000001907349,1.67706512214943,male
"[20,50)",5,24810,14.9538690848006,14.8199996948242,1.68993082586776,male
"[20,50)",6,25235,14.9600315959425,14.8999996185303,1.668494784878,male
"[20,50)",7,26004,14.9553025929566,14.8999996185303,1.65895259567002,male
"[20,50)",8,25134,15.0238882236932,14.9300003051758,1.64312461597259,male
"[20,50)",9,21880,15.1054598131389,15,1.68473960106371,male
"[20,50)",10,22719,15.1479472496533,15.1000003814697,1.69897898730305,male
"[20,50)",11,24403,15.0956494168356,15,1.69597235287469,male
"[20,50)",12,24960,14.9914402832588,14.8999996185303,1.66480394810432,male
"[50,80]",1,11857,14.2842366471202,14.1700000762939,1.64339981070576,male
"[50,80]",2,11129,14.2091315006651,14.1591997146606,1.65954537011374,male
"[50,80]",3,11448,14.1694551239807,14.1000003814697,1.66160688547319,male
"[50,80]",4,10329,14.1577445780946,14.1000003814697,1.65479347272152,male
"[50,80]",5,11553,14.1055938350394,14.0200004577637,1.65979046329381,male
"[50,80]",6,11679,14.1647700650999,14.1000003814697,1.65142409990157,male
"[50,80]",7,11378,14.1265876585286,14.1000003814697,1.59526902269688,male
"[50,80]",8,11084,14.1494370615039,14.1000003814697,1.62543577799869,male
"[50,80]",9,9396,14.2401347933753,14.1591997146606,1.63901120210333,male
"[50,80]",10,10160,14.3440477587107,14.1999998092651,1.65223086394818,male
"[50,80]",11,11297,14.3992115111755,14.3000001907349,1.66208133786378,male
"[50,80]",12,11700,14.3219552862542,14.1999998092651,1.64038372032647,male
"[20,50)",1,49686,14.0474760133431,14,1.57230199308283,female
"[20,50)",2,47021,14.03992021222,14,1.57162175209481,female
"[20,50)",3,49636,13.989704653108,13.8999996185303,1.58327404621825,female
"[20,50)",4,46738,13.9733828883294,13.8999996185303,1.5801040580545,female
"[20,50)",5,52906,13.9987393010836,13.9499998092651,1.57934374588321,female
"[20,50)",6,53936,14.0174096310503,14,1.5549524254281,female
"[20,50)",7,56108,13.9965120799494,13.8999996185303,1.54367650240806,female
"[20,50)",8,54669,14.0306472717962,14,1.53514770878018,female
"[20,50)",9,47843,14.0946203942876,14.0299997329712,1.56407297472698,female
"[20,50)",10,50344,14.1554835913917,14.1000003814697,1.61176903687347,female
"[20,50)",11,52467,14.1716475283631,14.1199998855591,1.57212384475038,female
"[20,50)",12,51637,14.1163494922846,14.1000003814697,1.58098721825473,female
"[50,80]",1,24269,14.1703774764888,14.1000003814697,1.64135477534655,female
"[50,80]",2,23166,14.1799081181817,14.1000003814697,1.66776251591945,female
"[50,80]",3,23511,14.0852497975447,14,1.64799041635292,female
"[50,80]",4,22326,14.0118460573198,13.8999996185303,1.65453823902761,female
"[50,80]",5,25401,13.9151703349568,13.8000001907349,1.60569157409996,female
"[50,80]",6,26557,13.9059245558475,13.8000001907349,1.57296466560618,female
"[50,80]",7,26481,13.8759743771629,13.8000001907349,1.57809242278449,female
"[50,80]",8,24680,13.9450173734653,13.8400001525879,1.57694785138009,female
"[50,80]",9,21076,14.0255827784289,13.9058804512024,1.61334843018482,female
"[50,80]",10,22725,14.1320023467648,14.1000003814697,1.65842192798346,female
"[50,80]",11,24473,14.1935929114977,14.1300001144409,1.61698715877136,female
"[50,80]",12,24599,14.209894967809,14.1499996185303,1.63123802319639,female
"[20,50)",1,74893,14.3316251543303,14.1999998092651,1.65145547532219,both
"[20,50)",2,70880,14.3150388451651,14.1999998092651,1.6478451202704,both
"[20,50)",3,74261,14.2902795380522,14.1591997146606,1.65376130730579,both
"[20,50)",4,69186,14.2740215033356,14.1591997146606,1.65488454324658,both
"[20,50)",5,77677,14.3023607220953,14.1591997146606,1.6564103674244,both
"[20,50)",6,79530,14.3066580422851,14.1700000762939,1.64593291846738,both
"[20,50)",7,82393,14.2797790058939,14.1591997146606,1.63251415376543,both
"[20,50)",8,79761,14.3418195595738,14.1999998092651,1.61709547449823,both
"[20,50)",9,69637,14.4112680168321,14.3000001907349,1.6479228315495,both
"[20,50)",10,72937,14.4565785682327,14.3000001907349,1.67861373279595,both
"[20,50)",11,76992,14.4464499059064,14.3000001907349,1.65288372113521,both
"[20,50)",12,76356,14.3978749577886,14.2700004577637,1.63695044870423,both
"[50,80]",1,36155,14.2029081486515,14.1591997146606,1.64387263698971,both
"[50,80]",2,34204,14.1928648810933,14.1000003814697,1.65762008922971,both
"[50,80]",3,34959,14.1128244586345,14.0799999237061,1.65291042906702,both
"[50,80]",4,32686,14.0492761057345,14,1.65650797665767,both
"[50,80]",5,36931,13.975458284664,13.8999996185303,1.62340650020229,both
"[50,80]",6,38249,13.9748431578527,13.8999996185303,1.59899700915207,both
"[50,80]",7,38020,13.9445250220703,13.8999996185303,1.59759412043941,both
"[50,80]",8,35762,13.9946185399686,13.8999996185303,1.59033322815113,both
"[50,80]",9,30298,14.0977420777297,14,1.60871302246183,both
"[50,80]",10,32955,14.1841344111643,14.1000003814697,1.66218106994769,both
"[50,80]",11,35839,14.2538923392448,14.1591997146606,1.63845727032483,both
"[50,80]",12,36145,14.2594049829981,14.1591997146606,1.62553871085902,both
