age_group,month,n,mean,median,std,type
"[20,80]",1,12507,15.4898996288336,15,4.95687886458416,male
"[20,80]",2,11466,15.4138525631048,14.9089603424072,4.97264356193409,male
"[20,80]",3,11614,15.3620759292049,14.8999996185303,5.05597888732736,male
"[20,80]",4,10050,15.2640276408789,14.6999998092651,5.02971784216236,male
"[20,80]",5,10882,15.2275050497081,14.7182641029358,5.02786373387457,male
"[20,80]",6,11144,15.3871838470543,14.8999996185303,5.08069863739028,male
"[20,80]",7,11242,15.4589855172545,14.9089603424072,5.10278139034958,male
"[20,80]",8,10606,15.5162584573036,15,5.23293743105546,male
"[20,80]",9,9283,15.5095663606433,15,5.07491307692268,male
"[20,80]",10,10220,15.3326056029699,14.887143611908,4.93501845377801,male
"[20,80]",11,11642,15.3659844094997,14.8348078727722,5.03619847492848,male
"[20,80]",12,12421,15.4052744631164,14.9783039093018,5.00592456602258,male
"[20,80]",1,18984,1.5462530873876,1.5,0.496390340139981,female
"[20,80]",2,17551,1.56633158237409,1.5,0.488933578990079,female
"[20,80]",3,17810,1.55935663513961,1.5,0.493357353415002,female
"[20,80]",4,15931,1.56544692599312,1.5,0.504057239264144,female
"[20,80]",5,17175,1.55881283510894,1.5,0.501218854249144,female
"[20,80]",6,18046,1.55682713976459,1.5,0.506383537257066,female
"[20,80]",7,18249,1.53256115818214,1.5,0.489352105808173,female
"[20,80]",8,18235,1.50448552201734,1.42155194282532,0.487948055318101,female
"[20,80]",9,16159,1.49606644191012,1.39999997615814,0.485699347020177,female
"[20,80]",10,17483,1.5008039873204,1.39999997615814,0.492978208514123,female
"[20,80]",11,19010,1.49667209336659,1.39999997615814,0.491115007217028,female
"[20,80]",12,19855,1.5165193034131,1.42155194282532,0.491543824089666,female
"[20,80]",1,31222,6.5255840532632,2.1496639251709,6.75806330243465,both
"[20,80]",2,28874,6.45413213346303,2.09999990463257,6.69516456336929,both
"[20,80]",3,29270,6.40039509909936,2.10999989509583,6.67334309823477,both
"[20,80]",4,25718,6.29610703646724,2.09999990463257,6.58197790177054,both
"[20,80]",5,28126,6.22025985891506,2.09999990463257,6.56575465642087,both
"[20,80]",6,29158,6.18511622142903,2.09999990463257,6.58931388530878,both
"[20,80]",7,29495,6.18312452910694,2.08031988143921,6.6314138404589,both
"[20,80]",8,28613,6.02220595209392,2,6.58935793746076,both
"[20,80]",9,25326,5.96640099278278,2,6.53482962158026,both
"[20,80]",10,27613,5.97651424723067,2,6.47292609931746,both
"[20,80]",11,30574,6.12226387258523,2.0109760761261,6.57136989580608,both
"[20,80]",12,32307,6.2161370318488,2.08031988143921,6.63025902205757,both
