age_group,month,n,mean,median,std,type
"[20,30)",1,147,16.9682992688653,13.3999996185303,10.7250110056879,male
"[20,30)",2,155,16.7723225824295,13.8999996185303,11.0893127958648,male
"[20,30)",3,127,19.2537008120319,17.6000003814697,12.0382798239956,male
"[20,30)",4,126,17.4707936729704,15.5,10.8697156319561,male
"[20,30)",5,136,18.4650000859709,15.0999999046326,10.8085954623684,male
"[20,30)",6,145,18.5973793523065,15.1000003814697,12.6525815667166,male
"[20,30)",7,170,17.6991764853982,12.9499998092651,13.0636401498073,male
"[20,30)",8,155,18.7639999851104,15.8999996185303,10.9481555466995,male
"[20,30)",9,127,15.9749606444141,13.1000003814697,11.1279254674868,male
"[20,30)",10,140,17.8891428198133,15.6500000953674,10.0758534841318,male
"[20,30)",11,148,17.7265540780248,15.6000003814697,9.78311088655362,male
"[20,30)",12,120,23.5329167326291,16.9499998092651,18.2293821950421,male
"[30,40)",1,164,22.127317102944,17.1000003814697,18.8617718235336,male
"[30,40)",2,169,24.0610650897732,17.8999996185303,19.8647763359371,male
"[30,40)",3,167,24.1043712721613,16.2000007629395,23.85561290508,male
"[30,40)",4,132,20.2910606301192,15.5499997138977,14.6424792996934,male
"[30,40)",5,157,23.3335668812892,17.5,17.0952054914891,male
"[30,40)",6,152,21.7306578684794,15.25,20.7233549944125,male
"[30,40)",7,173,21.6495375936431,16.7999992370605,15.8856846018475,male
"[30,40)",8,185,24.3174594234776,15.6999998092651,23.246191040681,male
"[30,40)",9,153,23.3700654553432,16.7999992370605,18.9134510481319,male
"[30,40)",10,139,24.8759712315292,17.6000003814697,22.6544612641172,male
"[30,40)",11,164,22.3210975251547,17.8999996185303,16.1031827380028,male
"[30,40)",12,165,22.64430307764,17.2000007629395,17.9028757617628,male
"[40,50)",1,126,25.9829364806887,18.1000003814697,27.6323901842134,male
"[40,50)",2,108,21.6599074094384,17.4000005722046,16.0682723442963,male
"[40,50)",3,125,26.2541599597931,17.7999992370605,22.3041290246033,male
"[40,50)",4,107,28.3886916214061,18.7000007629395,31.4965397959528,male
"[40,50)",5,98,31.3066327012315,18.8500003814697,39.572875945814,male
"[40,50)",6,133,24.8080450161955,18.2999992370605,23.059380917175,male
"[40,50)",7,156,27.1428845585921,17.3999996185303,27.37812651329,male
"[40,50)",8,143,28.9202097362572,21.3999996185303,27.1035919972121,male
"[40,50)",9,127,28.2359844831031,15.8999996185303,28.9093297693193,male
"[40,50)",10,128,30.7261718772352,19.5,34.1842150252179,male
"[40,50)",11,137,22.4289051163806,16.2999992370605,19.9576060424457,male
"[40,50)",12,165,23.7193938457605,16.7000007629395,18.5946578832261,male
"[50,60)",1,137,28.7059123655305,16.7999992370605,28.7419025310568,male
"[50,60)",2,100,25.0308000683784,17.6000003814697,24.7151866416536,male
"[50,60)",3,127,28.1276377749255,19.3999996185303,24.4346887308696,male
"[50,60)",4,108,25.2930555718916,14.6500000953674,30.285401327453,male
"[50,60)",5,108,22.8953704966439,16.0500001907349,21.4210282075948,male
"[50,60)",6,120,31.9150833646456,18.0999994277954,36.4483183910133,male
"[50,60)",7,119,23.3662184026061,14,22.7699990171598,male
"[50,60)",8,120,30.7712499896685,19.2000007629395,37.2738546386009,male
"[50,60)",9,90,29.2881111754311,14,42.3525098769421,male
