age_group,month,n,mean,median,std,type
"[20,30)",1,46903,0.515351837611212,0.516707479953766,0.2711092370836,male
"[20,30)",2,43873,0.512495387945957,0.513539373874664,0.272107512464061,male
"[20,30)",3,46113,0.512941673984364,0.51110714673996,0.271922604506152,male
"[20,30)",4,42084,0.522260197480878,0.525828182697296,0.272815056834883,male
"[20,30)",5,46590,0.529793162307842,0.536811411380768,0.272192838328687,male
"[20,30)",6,48572,0.531380426845549,0.538190692663193,0.271600103444904,male
"[20,30)",7,50593,0.535682031575202,0.541710257530212,0.272332550323742,male
"[20,30)",8,48647,0.536421207387367,0.545042812824249,0.272910992216708,male
"[20,30)",9,42695,0.530961787053755,0.537075698375702,0.272805190610806,male
"[20,30)",10,43872,0.509531041763245,0.508180320262909,0.273063700884147,male
"[20,30)",11,46723,0.502080956304876,0.49724355340004,0.273553452512258,male
"[20,30)",12,47108,0.510956585466962,0.50993686914444,0.271564926037303,male
"[30,40)",1,59938,0.523542683022958,0.52732127904892,0.276052922443448,male
"[30,40)",2,56405,0.518454304640386,0.522782146930695,0.275591310475146,male
"[30,40)",3,58698,0.519141597785885,0.522336542606354,0.276688261890214,male
"[30,40)",4,53380,0.529509683369644,0.536696314811707,0.275232245079319,male
"[30,40)",5,58933,0.533142565902386,0.54124915599823,0.274797261382854,male
"[30,40)",6,60981,0.531525436560384,0.537309467792511,0.274844125049321,male
"[30,40)",7,61807,0.53948449286479,0.550238311290741,0.275365301024459,male
"[30,40)",8,57382,0.539378861497917,0.545892179012299,0.275619941362717,male
"[30,40)",9,49802,0.529315827004179,0.533870458602905,0.277041234452759,male
"[30,40)",10,54029,0.509101581347896,0.506306052207947,0.276594099032216,male
"[30,40)",11,59083,0.505322481851459,0.500376105308533,0.275782746913022,male
"[30,40)",12,59785,0.515974332071499,0.516946375370026,0.276807675892189,male
"[40,50)",1,63345,0.52507662020182,0.528509020805359,0.278571943166342,male
"[40,50)",2,60088,0.522693096903975,0.526729941368103,0.277755691138265,male
"[40,50)",3,62751,0.519691566168874,0.52379834651947,0.279389789495119,male
"[40,50)",4,55991,0.532842725576044,0.54169762134552,0.278309445075065,male
"[40,50)",5,61258,0.532949758782485,0.541003048419952,0.277819380668894,male
"[40,50)",6,63357,0.533450816525003,0.54300332069397,0.277971884952326,male
"[40,50)",7,62696,0.536051534433146,0.543146014213562,0.277951848749913,male
"[40,50)",8,59156,0.537216071735301,0.545454561710358,0.278512688962648,male
"[40,50)",9,52076,0.524659655441469,0.530158460140228,0.279464550732679,male
"[40,50)",10,56115,0.507568095469235,0.509272634983063,0.280795805128449,male
"[40,50)",11,61417,0.506890215875836,0.503252863883972,0.278923516176333,male
"[40,50)",12,63302,0.515560652202002,0.517124712467194,0.278422288746635,male
"[50,60)",1,83242,0.532002253674238,0.538468241691589,0.281742018735773,male
"[50,60)",2,78877,0.530144442315561,0.537348210811615,0.282762220830909,male
"[50,60)",3,81573,0.523229153789864,0.528083086013794,0.282615357761609,male
"[50,60)",4,74173,0.529239003569275,0.536418735980988,0.282510646902131,male
"[50,60)",5,81652,0.529745333449992,0.536418735980988,0.280875437578993,male
"[50,60)",6,83587,0.528179869561013,0.535884082317352,0.281353430861071,male
"[50,60)",7,83615,0.528742681317072,0.535884082317352,0.282031065261227,male
"[50,60)",8,78200,0.526196308106356,0.530890047550201,0.281701800061915,male
"[50,60)",9,67686,0.519937036298217,0.522468388080597,0.283623757285806,male
"[50,60)",10,72941,0.506185672404207,0.504039466381073,0.282779109175662,male
"[50,60)",11,80403,0.510073740503534,0.509980976581574,0.283577815342922,male
"[50,60)",12,83534,0.521045611566525,0.52336323261261,0.283019580527493,male
"[60,70)",1,97450,0.540444830855256,0.552709639072418,0.286982990976422,male
"[60,70)",2,91533,0.532856615590861,0.542981743812561,0.287446941125194,male
"[60,70)",3,95128,0.531961929151479,0.540137350559235,0.287524405545625,male
"[60,70)",4,88359,0.534544921833164,0.54464054107666,0.286828662000331,male
"[60,70)",5,97730,0.530842730669507,0.541149616241455,0.286569987494914,male
