age_group,month,n,mean,median,std,type
"[20,50)",1,170186,0.521830981367946,0.524959206581116,0.275653141419136,male
"[20,50)",2,160341,0.518494429064163,0.521610677242279,0.275435290280513,male
"[20,50)",3,167522,0.517750122538693,0.518700420856476,0.27633981877375,male
"[20,50)",4,151435,0.528772013257326,0.534845650196075,0.275684497348775,male
"[20,50)",5,166780,0.532129913207069,0.539560407400131,0.275179558531697,male
"[20,50)",6,172901,0.532222023976229,0.539462566375732,0.275060216281542,male
"[20,50)",7,175078,0.537192926155814,0.545042812824249,0.275384021816792,male
"[20,50)",8,165169,0.537780405630604,0.545660018920898,0.275826894432652,male
"[20,50)",9,144556,0.528153441739603,0.533315539360046,0.27663493703817,male
"[20,50)",10,154004,0.508725937754948,0.508260905742645,0.277098878206232,male
"[20,50)",11,167209,0.505017643113753,0.500607490539551,0.27629654451477,male
"[20,50)",12,170163,0.514513743634397,0.514955401420593,0.275902473591534,male
"[50,80]",1,258705,0.542757712003565,0.554709672927856,0.286719235840803,male
"[50,80]",2,244574,0.538726845402096,0.550273299217224,0.287415470386302,male
"[50,80]",3,255059,0.534688762473131,0.544945955276489,0.287292309803543,male
"[50,80]",4,237600,0.53803105203913,0.54993462562561,0.286687845089591,male
"[50,80]",5,263210,0.535148078302685,0.545707106590271,0.285697253048734,male
"[50,80]",6,268262,0.530425377335271,0.538796186447144,0.285499294463356,male
"[50,80]",7,264406,0.52867363558064,0.535884082317352,0.28626275069776,male
"[50,80]",8,243785,0.526750388796322,0.533450841903687,0.286743472726665,male
"[50,80]",9,215163,0.522326329927598,0.526709794998169,0.288350923528681,male
"[50,80]",10,236723,0.514340407271094,0.514614999294281,0.288545512608379,male
"[50,80]",11,257200,0.52128664367082,0.524373233318329,0.2878046279209,male
"[50,80]",12,259999,0.534349323528078,0.542918622493744,0.287312169352448,male
"[20,50)",1,431058,0.517342171591952,0.520625352859497,0.292279326076738,female
"[20,50)",2,407982,0.512572582479533,0.513692975044251,0.29223083206314,female
"[20,50)",3,430857,0.509772568881989,0.509323835372925,0.292765965150696,female
"[20,50)",4,402123,0.517568331617784,0.521352767944336,0.292100007664297,female
"[20,50)",5,453312,0.520045348958504,0.525477528572083,0.290899916312457,female
"[20,50)",6,466250,0.521694560845416,0.528308808803558,0.290607167251834,female
"[20,50)",7,471658,0.532104274628277,0.54368931055069,0.290595667277816,female
"[20,50)",8,451056,0.537724264399163,0.551198184490204,0.29134735845002,female
"[20,50)",9,402568,0.524483387837103,0.533212006092072,0.292363176176601,female
"[20,50)",10,431168,0.504479512081938,0.502444744110107,0.291814541590623,female
"[20,50)",11,453192,0.501133034486149,0.496844291687012,0.291336523867286,female
"[20,50)",12,441847,0.511320075991069,0.512463688850403,0.292307776418044,female
"[50,80]",1,431238,0.554077619220705,0.57627147436142,0.297585726703862,female
"[50,80]",2,413992,0.54897924506814,0.568678259849548,0.296868890821855,female
"[50,80]",3,431424,0.541786908272525,0.558242499828339,0.297287648759391,female
"[50,80]",4,408971,0.542080822506925,0.559951782226563,0.296358381213379,female
"[50,80]",5,470482,0.537454763008481,0.553764045238495,0.295376831023773,female
"[50,80]",6,480779,0.532118140031639,0.545296013355255,0.295287675544908,female
"[50,80]",7,466939,0.532344507867154,0.5469890832901,0.296661142196394,female
"[50,80]",8,428640,0.533965988867055,0.549783110618591,0.297865823110836,female
"[50,80]",9,379028,0.529250321790889,0.541206359863281,0.29902525827173,female
"[50,80]",10,421075,0.524433866357034,0.532899618148804,0.298171931890024,female
"[50,80]",11,452158,0.533175403019132,0.545772969722748,0.297774246523661,female
"[50,80]",12,436386,0.547298622555069,0.565999150276184,0.29750155302621,female
"[20,50)",1,601251,0.518649791978331,0.52191162109375,0.287569541280291,both
"[20,50)",2,568346,0.514276438698885,0.516518890857697,0.28750894467026,both
"[20,50)",3,598362,0.512045400081789,0.513092875480652,0.288174300217689,both
"[20,50)",4,553523,0.520717745679422,0.525496780872345,0.287614209364124,both
"[20,50)",5,620087,0.523348804219695,0.529599249362946,0.286689447817665,both
"[20,50)",6,639149,0.524601299683768,0.531156480312347,0.286401500912278,both
"[20,50)",7,646744,0.533515762455352,0.543931424617767,0.286459041543603,both
"[20,50)",8,616203,0.53779823512906,0.550238311290741,0.287151879015101,both
"[20,50)",9,547135,0.525485389632523,0.533212006092072,0.288197083277176,both
"[20,50)",10,585153,0.505637095420245,0.503694295883179,0.287926229034147,both
"[20,50)",11,620409,0.502196913584283,0.498604834079742,0.287276986531127,both
"[20,50)",12,612012,0.512233149464722,0.513092875480652,0.287746249866364,both
"[50,80]",1,689942,0.549840069362434,0.567716479301453,0.293580068398607,both
"[50,80]",2,658563,0.545190808218191,0.561373293399811,0.29340582709165,both
"[50,80]",3,686483,0.539148821886179,0.552396416664124,0.293605437678341,both
"[50,80]",4,646547,0.540618856833444,0.556057929992676,0.292803952760509,both
"[50,80]",5,733698,0.536632795731606,0.550662517547607,0.291912711802683,both
"[50,80]",6,749049,0.531519517900848,0.542550563812256,0.291787914367032,both
"[50,80]",7,731325,0.531042597681155,0.541685104370117,0.292896533655475,both
"[50,80]",8,672404,0.531384645192875,0.543451368808746,0.293845780929639,both
"[50,80]",9,594217,0.526731043526218,0.536390364170075,0.295196154138426,both
"[50,80]",10,657787,0.5208085695196,0.526130199432373,0.29474909381799,both
"[50,80]",11,709343,0.528877143536366,0.537861347198486,0.294220395711751,both
"[50,80]",12,696377,0.542471772208478,0.557392954826355,0.293773277292985,both
