age_group,month,n,mean,median,std,type
"[20,80]",1,429243,2.19762753696116,1.96000003814697,1.04082004540306,male
"[20,80]",2,405591,2.18072732364257,1.95000004768372,1.03441779446968,male
"[20,80]",3,422778,2.17153674244452,1.94000005722046,1.02579380794797,male
"[20,80]",4,389736,2.19457015753493,1.96000003814697,1.03656399034501,male
"[20,80]",5,430296,2.19258674011619,1.97000002861023,1.02850180588168,male
"[20,80]",6,441155,2.17932729964633,1.96000003814697,1.015974596393,male
"[20,80]",7,439557,2.18505601998527,1.96000003814697,1.02224145474674,male
"[20,80]",8,409248,2.18192832925685,1.96000003814697,1.02367394938734,male
"[20,80]",9,360352,2.16007512619084,1.92999994754791,1.02244836055561,male
"[20,80]",10,391100,2.11621773434749,1.88999998569489,1.00493374912845,male
"[20,80]",11,425103,2.1244559056986,1.89999997615814,1.00823677838473,male
"[20,80]",12,430271,2.1680481369583,1.94000005722046,1.02603034792511,male
"[20,80]",1,862514,2.4246467711514,2.13000011444092,1.30013687169321,female
"[20,80]",2,822765,2.398337355267,2.10999989509583,1.28159141549405,female
"[20,80]",3,862734,2.37220605184895,2.08999991416931,1.26241419068431,female
"[20,80]",4,811322,2.38660171181053,2.10999989509583,1.26072471150008,female
"[20,80]",5,924181,2.37504012642356,2.09999990463257,1.24059240877914,female
"[20,80]",6,947292,2.36090226779423,2.09999990463257,1.22588337565769,female
"[20,80]",7,939447,2.38192877722626,2.11999988555908,1.23949330660542,female
"[20,80]",8,880130,2.40092342494266,2.13000011444092,1.25415115371544,female
"[20,80]",9,781748,2.36780048165752,2.09999990463257,1.25012916125991,female
"[20,80]",10,852270,2.3163611226396,2.03999996185303,1.22607576676359,female
"[20,80]",11,905882,2.33248421308702,2.04999995231628,1.24082857902289,female
"[20,80]",12,878767,2.39257936064099,2.09999990463257,1.28157926237581,female
"[20,80]",1,1292323,2.3465226502641,2.05999994277954,1.21600090429751,both
"[20,80]",2,1227127,2.32640135223419,2.04999995231628,1.20095494200803,both
"[20,80]",3,1286791,2.30367967740006,2.02999997138977,1.18722302959774,both
"[20,80]",4,1201751,2.32219407590558,2.04999995231628,1.18989220400116,both
"[20,80]",5,1353810,2.31605690461595,2.05999994277954,1.17341436011159,both
"[20,80]",6,1388965,2.30215687940261,2.04999995231628,1.16137287661639,both
"[20,80]",7,1378304,2.31960554706922,2.05999994277954,1.1722369570071,both
"[20,80]",8,1290023,2.32859872874093,2.0699999332428,1.18300140605838,both
"[20,80]",9,1141673,2.3007523325976,2.03999996185303,1.17885248175287,both
"[20,80]",10,1244231,2.25081999803166,1.99000000953674,1.15850645479775,both
"[20,80]",11,1331079,2.2639591210129,2,1.16780952237583,both
"[20,80]",12,1309740,2.3156610938185,2.03999996185303,1.19916447710669,both
