age_group,month,n,mean,median,std,type
"[20,30)",1,35443,0.491011185265954,0.485572189092636,0.259474131386492,male
"[20,30)",2,33519,0.489540613244809,0.485525280237198,0.25962420957376,male
"[20,30)",3,35528,0.488975837991876,0.484585702419281,0.259341594903533,male
"[20,30)",4,31979,0.498905486533925,0.497264862060547,0.259632613291368,male
"[20,30)",5,35737,0.505886389731762,0.507103264331818,0.261465446625248,male
"[20,30)",6,37257,0.509240617316515,0.511062264442444,0.260280586888744,male
"[20,30)",7,38885,0.512666639496516,0.517499625682831,0.260906131310699,male
"[20,30)",8,37168,0.512766430274416,0.516707479953766,0.261380685930112,male
"[20,30)",9,32468,0.508114883223303,0.509548366069794,0.26134217246234,male
"[20,30)",10,33287,0.484394776252657,0.480027824640274,0.26011992333065,male
"[20,30)",11,35395,0.476571008630927,0.46764075756073,0.25968686385097,male
"[20,30)",12,35662,0.487383291694297,0.4825479388237,0.259355791109457,male
"[30,40)",1,41815,0.49528265005323,0.495153188705444,0.260549020877177,male
"[30,40)",2,39643,0.491165026587088,0.490628451108933,0.260189385971116,male
"[30,40)",3,41538,0.493111523969773,0.491362303495407,0.261659553973045,male
"[30,40)",4,37259,0.502122286245638,0.50386518239975,0.260105931178753,male
"[30,40)",5,41505,0.506843598506678,0.5103560090065,0.259502631906209,male
"[30,40)",6,42965,0.505949994750788,0.508936941623688,0.260229585502998,male
"[30,40)",7,43470,0.512358447446758,0.518390953540802,0.260990206568283,male
"[30,40)",8,40302,0.512414200071059,0.514035701751709,0.261023284446372,male
"[30,40)",9,34867,0.503860469933164,0.503906488418579,0.26137082807363,male
"[30,40)",10,37848,0.480986690024594,0.475259453058243,0.259001802408385,male
"[30,40)",11,41242,0.47679239824764,0.465779215097427,0.258436098953343,male
"[30,40)",12,41677,0.488060034434382,0.481573879718781,0.260661534548587,male
"[40,50)",1,35795,0.49612620913813,0.493091642856598,0.261019393094746,male
"[40,50)",2,34620,0.49580867560618,0.495901644229889,0.260264070079686,male
"[40,50)",3,35827,0.49115978527761,0.48784613609314,0.262183000259586,male
"[40,50)",4,31834,0.505222279720981,0.508260905742645,0.260034145801433,male
"[40,50)",5,34710,0.506505678493441,0.509858250617981,0.260146028571274,male
"[40,50)",6,36143,0.504874660805916,0.508260905742645,0.259402315340016,male
"[40,50)",7,35488,0.512231091855344,0.514355778694153,0.260198573793444,male
"[40,50)",8,33298,0.512634943351324,0.516518890857697,0.261190317848297,male
"[40,50)",9,29353,0.495448535229492,0.498397260904312,0.26138059112652,male
"[40,50)",10,31471,0.478679686424064,0.47057443857193,0.261742095033605,male
