age_group,month,n,mean,median,std,type
"[20,50)",1,361063,0.52327918774413,0.525456488132477,0.271871426449057,male
"[20,50)",2,336997,0.526379036971481,0.534177124500275,0.27121740631591,male
"[20,50)",3,354281,0.528882018974247,0.535710275173187,0.27280451087379,male
"[20,50)",4,326193,0.535352842986345,0.543747127056122,0.274866975762633,male
"[20,50)",5,355394,0.536781086468151,0.545394539833069,0.275169827003112,male
"[20,50)",6,364679,0.534028224984149,0.543747127056122,0.274503348394793,male
"[20,50)",7,369186,0.529810069627405,0.536556601524353,0.276545065124377,male
"[20,50)",8,353185,0.52441304872131,0.530215322971344,0.277573019735488,male
"[20,50)",9,315282,0.519608308586828,0.522585868835449,0.277655483684881,male
"[20,50)",10,333515,0.510743660898238,0.508874535560608,0.275782540784857,male
"[20,50)",11,352765,0.51018510410064,0.506641387939453,0.272869596974899,male
"[20,50)",12,361131,0.516199053571809,0.518122971057892,0.272424527779173,male
"[50,80]",1,784974,0.612294029088862,0.645734012126923,0.296101437707112,male
"[50,80]",2,730800,0.614930927680136,0.650620400905609,0.294948993113446,male
"[50,80]",3,769773,0.622461414785971,0.664582967758179,0.295017660526126,male
"[50,80]",4,715788,0.634075132548788,0.681447148323059,0.292674410164226,male
"[50,80]",5,773048,0.635151866618619,0.681447148323059,0.290079588719417,male
"[50,80]",6,774332,0.631136266837312,0.677255570888519,0.290726980018251,male
"[50,80]",7,776266,0.630499893282722,0.677255570888519,0.292102439066009,male
"[50,80]",8,734873,0.626459772642248,0.673087537288666,0.295647568207926,male
"[50,80]",9,670581,0.623074372869445,0.666344940662384,0.297214922690003,male
"[50,80]",10,725320,0.609961927572362,0.645237624645233,0.298352343684733,male
"[50,80]",11,769998,0.601651756681,0.629490435123444,0.297733444755289,male
"[50,80]",12,786927,0.605807321829557,0.637000679969788,0.297160272040113,male
"[20,50)",1,524153,0.486156093355038,0.48561555147171,0.280473309497452,female
"[20,50)",2,498121,0.489423070189148,0.490616351366043,0.280093233793472,female
"[20,50)",3,527246,0.490401041094144,0.490616351366043,0.281507545005038,female
"[20,50)",4,494065,0.496717486514467,0.498293399810791,0.282007997332647,female
"[20,50)",5,551508,0.496749432471015,0.502057015895844,0.281516927209021,female
"[20,50)",6,563122,0.491098088092119,0.494320005178452,0.282216270860414,female
"[20,50)",7,569890,0.487095870045289,0.48561555147171,0.282969475640658,female
"[20,50)",8,544629,0.481019304630011,0.479017049074173,0.283502245931563,female
"[20,50)",9,488848,0.478683550434777,0.47349414229393,0.283532997984052,female
"[20,50)",10,520471,0.474048483896291,0.460841685533524,0.281362704508519,female
"[20,50)",11,538670,0.475362693233445,0.463827878236771,0.279231534564137,female
"[20,50)",12,530321,0.479394794297729,0.47352197766304,0.279671184233732,female
"[50,80]",1,849815,0.574006002465651,0.591991186141968,0.291479635454172,female
"[50,80]",2,805093,0.576069115343959,0.595204651355743,0.291165910121957,female
"[50,80]",3,843429,0.584700444278611,0.605083584785461,0.291100683224996,female
"[50,80]",4,795942,0.59705733511937,0.627039194107056,0.288676814062108,female
"[50,80]",5,886837,0.600460781559186,0.629842817783356,0.285005637812084,female
"[50,80]",6,892771,0.597524740783247,0.627039194107056,0.285619856288023,female
"[50,80]",7,879828,0.593633929383811,0.622490465641022,0.288646184245468,female
"[50,80]",8,827896,0.589733049085687,0.61321347951889,0.291885476355287,female
"[50,80]",9,749496,0.58668286825975,0.611571073532105,0.29398377799886,female
"[50,80]",10,817732,0.576202439627311,0.595204651355743,0.292434405897141,female
"[50,80]",11,863105,0.567530128378272,0.579456686973572,0.291066118222934,female
"[50,80]",12,853665,0.569908805842843,0.583016276359558,0.292122022046424,female
"[20,50)",1,885428,0.501227772151851,0.502451896667481,0.277505538130716,both
"[20,50)",2,834931,0.504352982972464,0.50500613451004,0.276931207945375,both
"[20,50)",3,881316,0.505881145421411,0.508874535560608,0.278464994185781,both
"[20,50)",4,820127,0.512075789007681,0.518122971057892,0.279636702378352,both
"[20,50)",5,906905,0.512409056760235,0.518175721168518,0.279579726396273,both
"[20,50)",6,927659,0.507962841043118,0.512305319309235,0.279798077731783,both
"[20,50)",7,939030,0.503896461379243,0.504187941551209,0.28106580187075,both
"[20,50)",8,897733,0.49808912818817,0.498293399810791,0.281797123064365,both
"[20,50)",9,803953,0.494751482861486,0.494906485080719,0.281751925568126,both
"[20,50)",10,853718,0.48844933267444,0.48561555147171,0.279552884178428,both
"[20,50)",11,891441,0.489076535498234,0.48561555147171,0.277111697030083,both
"[20,50)",12,891202,0.494500069668209,0.494320005178452,0.277125643232781,both
"[50,80]",1,1634272,0.592542269629244,0.617414951324463,0.294217070026564,both
"[50,80]",2,1535625,0.594628721795647,0.620833337306976,0.2935526935361,both
"[50,80]",3,1612774,0.602868146813329,0.633020043373108,0.293479598730838,both
"[50,80]",4,1511658,0.614601032009949,0.650922000408173,0.291142922699248,both
"[50,80]",5,1659390,0.616762244058314,0.652589023113251,0.287789121426148,both
"[50,80]",6,1667203,0.613091555022291,0.649341464042664,0.288516091428137,both
"[50,80]",7,1655937,0.610965763360208,0.648592710494995,0.290812789704779,both
"[50,80]",8,1562598,0.607048579361503,0.642745792865753,0.294192845016731,both
"[50,80]",9,1419905,0.60393744362073,0.637638866901398,0.296022620392359,both
"[50,80]",10,1542794,0.592152626729275,0.617414951324463,0.29565309602597,both
"[50,80]",11,1633080,0.583613801641282,0.601530969142914,0.294716332468331,both
"[50,80]",12,1640323,0.587221170785414,0.607804000377655,0.295034033636575,both
