age_group,month,n,mean,median,std,type
"[20,50)",1,366715,30.1557369619405,29,6.78735301741071,male
"[20,50)",2,342610,30.2113780681231,30,6.78269157874231,male
"[20,50)",3,359258,30.2702795760158,30,6.83274347385045,male
"[20,50)",4,330604,30.4750654253616,30,6.99002444109749,male
"[20,50)",5,360478,30.5247357670769,30,7.01688408274733,male
"[20,50)",6,370131,30.4908702325368,30,6.99933067383575,male
"[20,50)",7,373289,30.4036574345429,30,7.01729671543393,male
"[20,50)",8,356579,30.2857557226215,30,7.01862356124421,male
"[20,50)",9,318040,30.2033648278725,29,6.99539852827985,male
"[20,50)",10,336281,29.9295984306343,29,6.82420548772425,male
"[20,50)",11,356117,29.8443661769945,29,6.66646475988162,male
"[20,50)",12,366729,30.0323037167803,29,6.77906997565021,male
"[50,80]",1,792042,42.1059338013657,37,17.0839412038395,male
"[50,80]",2,738112,42.1779344733147,38,17.0545432398373,male
"[50,80]",3,777506,42.6374825401265,38,17.4640669217468,male
"[50,80]",4,725013,43.312937532964,38,18.0833319126811,male
"[50,80]",5,773252,43.0800918846256,39,16.894617710262,male
"[50,80]",6,783488,42.4766569744453,38,16.4883396300898,male
"[50,80]",7,784070,42.5027269753256,38,16.5086245443788,male
"[50,80]",8,740040,42.6758130908921,38,17.028604432629,male
"[50,80]",9,674303,42.6366895301317,38,17.1228180357214,male
"[50,80]",10,729013,42.04237597942,38,16.78052964725,male
"[50,80]",11,774106,41.4850885022271,37,16.2510277910299,male
"[50,80]",12,792412,41.7460485581262,37,16.6520946323637,male
"[20,50)",1,530418,23.7471486827777,23,5.9891918714453,female
"[20,50)",2,505122,23.811520602692,23,6.00487388072728,female
"[20,50)",3,533442,23.8161262142517,23,6.02931292259335,female
"[20,50)",4,499482,23.9251638496215,23,6.06305227718212,female
"[20,50)",5,557545,23.9422731081283,23,6.05181770194695,female
"[20,50)",6,568825,23.874747822192,23,6.06283112570794,female
"[20,50)",7,574164,23.8076713969231,23,6.05723760561485,female
"[20,50)",8,544509,23.587696548638,23,5.94005599455501,female
"[20,50)",9,496772,23.3444124668445,23,6.0636175065219,female
"[20,50)",10,521396,23.4526704844116,23,5.87420653751171,female
"[20,50)",11,542091,23.4918973750344,23,5.84804013992854,female
"[20,50)",12,533661,23.5492851640677,23,5.85884885635694,female
"[50,80]",1,859316,35.5914632214935,33,12.139994913833,female
"[50,80]",2,814640,35.6312377244026,33,12.1397044773858,female
"[50,80]",3,854096,36.0814765551491,33,12.6003147519127,female
"[50,80]",4,797572,36.7351264713201,34,12.7013595452287,female
"[50,80]",5,890959,36.5271361533604,34,12.0800463879896,female
"[50,80]",6,895511,36.3364256158015,34,11.8284931933776,female
"[50,80]",7,880302,36.3332316635902,34,12.024398806062,female
"[50,80]",8,836526,36.1830312030638,33,12.4684874430613,female
"[50,80]",9,756850,36.2943947413822,33,12.7539141497502,female
"[50,80]",10,826387,35.7673644671153,33,12.2135458955448,female
"[50,80]",11,873033,35.3205777559677,33,11.8134454801335,female
"[50,80]",12,862437,35.4949083121918,33,12.1309945641988,female
"[20,50)",1,896895,26.3164439538407,26,6.83568504379034,both
"[20,50)",2,847731,26.3601654649231,26,6.84428295149889,both
"[20,50)",3,892040,26.3664119321527,26,6.86754995106995,both
"[20,50)",4,828455,26.4507206424008,26,6.9060146110148,both
"[20,50)",5,916311,26.4414380160366,26,6.90773974494088,both
"[20,50)",6,936715,26.406757999995,26,6.91249228360826,both
"[20,50)",7,945831,26.3208745537633,26,6.9133677335327,both
"[20,50)",8,902947,26.2197514248705,26,6.90807820368585,both
"[20,50)",9,808116,26.14345800582,25.6000003814697,6.88738792208813,both
"[20,50)",10,856618,25.9188859324093,25,6.71472529444076,both
"[20,50)",11,899014,25.9729840801295,25,6.69015459178666,both
"[20,50)",12,898477,26.0963090538693,26,6.7023354695472,both
"[50,80]",1,1655387,38.5965376673797,35,14.6613138379887,both
"[50,80]",2,1556355,38.6441254275765,35,14.6531641628313,both
"[50,80]",3,1613774,39.3274391579755,36,14.9864256498686,both
"[50,80]",4,1516539,39.82517618715,36,15.3350868667035,both
"[50,80]",5,1668091,39.4411254062768,36,14.4570089134958,both
"[50,80]",6,1673448,39.1997466483708,36,14.1238819502729,both
"[50,80]",7,1657411,39.2296678672037,36,14.2354149600011,both
"[50,80]",8,1579161,39.0847705774668,36,14.6967670321342,both
"[50,80]",9,1434925,39.1947289302203,35.9000015258789,15.013820984014,both
"[50,80]",10,1557936,38.5577853645882,35,14.414258350936,both
"[50,80]",11,1650014,38.0684800068925,35,13.9609862682364,both
"[50,80]",12,1659999,38.4014677658951,35,14.4950463482486,both
