age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,0,91,0.457847185832049,0.37292817234993,0.33955755730107,male
"[20,80]",fall,1,77,0.425772609939049,0.366972476243973,0.291065565671492,male
"[20,80]",fall,2,53,0.530229516467958,0.508196711540222,0.270227576694748,male
"[20,80]",fall,3,22,0.435021343556317,0.437856867909431,0.265065020276571,male
"[20,80]",fall,4,5,0.409233336150646,0.247619047760963,0.312392025621812,male
"[20,80]",fall,5,1,0.83984375,0.83984375,,male
"[20,80]",fall,6,1,0.324561417102814,0.324561417102814,,male
"[20,80]",fall,18,1,0.839506149291992,0.839506149291992,,male
"[20,80]",fall,19,276,0.509714562999274,0.499272629618645,0.240604062004276,male
"[20,80]",fall,20,684,0.52057160524793,0.54356575012207,0.251805457159524,male
"[20,80]",fall,21,514,0.526821355020142,0.537452965974808,0.256891564839927,male
"[20,80]",fall,22,127,0.445239756989667,0.430976420640945,0.249117522359384,male
"[20,80]",fall,23,71,0.516885499483053,0.474418610334396,0.313032490094164,male
"[20,80]",spring,0,72,0.510576828175949,0.524675637483597,0.312564514670839,male
"[20,80]",spring,1,81,0.410901280878871,0.328402370214462,0.313431840288008,male
"[20,80]",spring,2,55,0.437580587071451,0.360269367694855,0.307630452296166,male
"[20,80]",spring,3,37,0.446848032442299,0.29397588968277,0.36170966913069,male
"[20,80]",spring,4,5,0.479605841636658,0.387951821088791,0.24548864947496,male
"[20,80]",spring,6,1,0.96484375,0.96484375,,male
"[20,80]",spring,18,9,0.554470350344976,0.625292718410492,0.27278542169956,male
"[20,80]",spring,19,278,0.520334136571816,0.541854381561279,0.246778540656237,male
"[20,80]",spring,20,626,0.521964926260729,0.530649483203888,0.245800047427846,male
"[20,80]",spring,21,464,0.52452270588677,0.516234904527664,0.260953325576085,male
"[20,80]",spring,22,102,0.546244922185353,0.571551501750946,0.286689432360676,male
"[20,80]",spring,23,71,0.440013956698314,0.463917523622513,0.266439075121466,male
"[20,80]",summer,0,77,0.432852668373229,0.428571432828903,0.291811800431608,male
"[20,80]",summer,1,78,0.339938453822516,0.236630119383335,0.286768666074347,male
"[20,80]",summer,2,78,0.428439017743445,0.349832966923714,0.276787981339013,male
"[20,80]",summer,3,36,0.52980313450098,0.503138065338135,0.306447993335787,male
"[20,80]",summer,4,10,0.678167885541916,0.663827896118164,0.251101639134034,male
"[20,80]",summer,5,1,0.130232557654381,0.130232557654381,,male
"[20,80]",summer,18,9,0.490071914262242,0.482758611440659,0.189782327800891,male
"[20,80]",summer,19,295,0.478528448282662,0.480769217014313,0.24865227783096,male
"[20,80]",summer,20,687,0.491318651107635,0.495192319154739,0.246788019496498,male
"[20,80]",summer,21,481,0.516284363588276,0.515222489833832,0.254580094047626,male
"[20,80]",summer,22,126,0.492851760593199,0.454907163977623,0.243084163922152,male
"[20,80]",summer,23,80,0.420235956367105,0.355691432952881,0.298306607571827,male
"[20,80]",winter,0,95,0.441054189479665,0.413705587387085,0.284696638052382,male
"[20,80]",winter,1,93,0.475106995512721,0.428571432828903,0.304893346793067,male
"[20,80]",winter,2,82,0.474273569518473,0.464433610439301,0.300756857296225,male
"[20,80]",winter,3,32,0.346593296213541,0.222450904548168,0.280224091778167,male
"[20,80]",winter,4,14,0.440294331205743,0.303191483020782,0.317768834801876,male
"[20,80]",winter,7,1,0.808641970157623,0.808641970157623,,male
"[20,80]",winter,19,273,0.519295746631129,0.511627912521362,0.246007267921928,male
"[20,80]",winter,20,625,0.533246503794193,0.553299486637116,0.246342393286991,male
"[20,80]",winter,21,494,0.522188023924224,0.513529658317566,0.242238717146079,male
"[20,80]",winter,22,100,0.512470401227474,0.452065885066986,0.276512204162943,male
"[20,80]",winter,23,71,0.446855431134012,0.365853667259216,0.288019634688228,male
"[20,80]",fall,0,2582,0.507333756938842,0.519121617078781,0.25444387593593,female
"[20,80]",fall,1,2523,0.496959174888336,0.504807710647583,0.250939673734273,female
"[20,80]",fall,2,1805,0.465534492136286,0.458514034748077,0.260087442856615,female
"[20,80]",fall,3,1095,0.444215891704167,0.427751183509827,0.255137825506417,female
"[20,80]",fall,4,190,0.453071093010275,0.433844521641731,0.260420803720881,female
"[20,80]",fall,5,26,0.368174286845785,0.348283067345619,0.258809117221795,female
"[20,80]",fall,6,9,0.534283128049639,0.72972971200943,0.301800968217884,female
"[20,80]",fall,7,4,0.443809570744634,0.456522136926651,0.283638613862049,female
"[20,80]",fall,8,1,0.703093349933624,0.703093349933624,,female
"[20,80]",fall,11,1,0.767436563968658,0.767436563968658,,female
"[20,80]",fall,17,1,0.549338936805725,0.549338936805725,,female
"[20,80]",fall,18,81,0.517993921069083,0.56027752161026,0.269107879703328,female
"[20,80]",fall,19,4268,0.490019498946321,0.48324616253376,0.262582432425173,female
"[20,80]",fall,20,10881,0.481784852922604,0.468435108661652,0.257971724199664,female
"[20,80]",fall,21,8798,0.506796342410718,0.509214729070664,0.264944695270085,female
"[20,80]",fall,22,2917,0.535082081074191,0.549121797084808,0.261295368971332,female
"[20,80]",fall,23,2287,0.518798615091171,0.527911961078644,0.252276327572977,female
"[20,80]",spring,0,2660,0.517627625348032,0.534027069807053,0.259315919696158,female
"[20,80]",spring,1,2469,0.502260228824934,0.515029549598694,0.251510848244904,female
"[20,80]",spring,2,2018,0.473106711486316,0.473766058683395,0.259604692198953,female
"[20,80]",spring,3,1256,0.457466862849583,0.453538566827774,0.261971494517503,female
"[20,80]",spring,4,408,0.440725914056541,0.431088969111443,0.250406236223677,female
"[20,80]",spring,5,67,0.503682651070517,0.552884638309479,0.24949034484218,female
"[20,80]",spring,6,14,0.499912651521819,0.498344659805298,0.218385846763507,female
"[20,80]",spring,7,7,0.308046061013426,0.208756223320961,0.274416821839283,female
"[20,80]",spring,18,78,0.477227586202132,0.45518209040165,0.256648371202909,female
"[20,80]",spring,19,3902,0.49875782132206,0.490230113267899,0.258672663248124,female
"[20,80]",spring,20,9681,0.486607146493159,0.483568996191025,0.258732007454003,female
"[20,80]",spring,21,8220,0.519356614290091,0.526343256235123,0.265228050177801,female
"[20,80]",spring,22,2620,0.545715517048788,0.557219594717026,0.265669995152323,female
"[20,80]",spring,23,2314,0.530277694225337,0.54429167509079,0.255756470293041,female
"[20,80]",summer,0,2873,0.502849092842538,0.511857092380524,0.25005063478534,female
"[20,80]",summer,1,2701,0.501145953853863,0.513316750526428,0.250597257128778,female
"[20,80]",summer,2,2100,0.470327169920007,0.472174167633057,0.257525128802146,female
"[20,80]",summer,3,1312,0.453286795036458,0.440189331769943,0.263761737860667,female
"[20,80]",summer,4,364,0.457866184413433,0.452241063117981,0.258102329045876,female
"[20,80]",summer,5,43,0.47211689190116,0.487826615571976,0.306802243925218,female
"[20,80]",summer,6,9,0.335660499003198,0.378023505210876,0.21339558659832,female
"[20,80]",summer,7,5,0.229351359605789,0.235641434788704,0.0941128416466964,female
"[20,80]",summer,8,1,0.666398286819458,0.666398286819458,,female
"[20,80]",summer,9,1,0.48559907078743,0.48559907078743,,female
"[20,80]",summer,17,1,0.906666696071625,0.906666696071625,,female
"[20,80]",summer,18,119,0.421558388986257,0.407960206270218,0.226038971115668,female
"[20,80]",summer,19,4229,0.48428062790356,0.484071493148804,0.257258565539399,female
"[20,80]",summer,20,10856,0.490269924566498,0.484713971614838,0.259300191352061,female
"[20,80]",summer,21,8885,0.520165934050576,0.521967232227325,0.261478864237467,female
"[20,80]",summer,22,2757,0.539356381992823,0.560260593891144,0.259867543931295,female
"[20,80]",summer,23,2402,0.528376818602776,0.555887252092362,0.249337400332268,female
"[20,80]",winter,0,2991,0.516374734575654,0.527167618274689,0.254359717088293,female
"[20,80]",winter,1,2762,0.498899934632646,0.51824015378952,0.256559464400895,female
"[20,80]",winter,2,2107,0.468049515768935,0.467948704957962,0.25764784379584,female
"[20,80]",winter,3,1202,0.448249363865759,0.44356182217598,0.25679105256673,female
"[20,80]",winter,4,361,0.441006203762506,0.430000007152557,0.261289953949084,female
"[20,80]",winter,5,46,0.493375070231116,0.521541386842728,0.239862887671363,female
"[20,80]",winter,6,9,0.598922699689865,0.613863289356232,0.0821556154321167,female
"[20,80]",winter,7,3,0.513070831696192,0.56027752161026,0.201294922052962,female
"[20,80]",winter,18,67,0.417082795011463,0.352120250463486,0.261981020418471,female
"[20,80]",winter,19,3767,0.501373954930197,0.49893844127655,0.259499141904253,female
"[20,80]",winter,20,9908,0.48399268354631,0.47167594730854,0.261437867333112,female
"[20,80]",winter,21,8749,0.51904257821831,0.51748251914978,0.267945825882828,female
"[20,80]",winter,22,3020,0.554958299540033,0.577875256538391,0.26596758601614,female
"[20,80]",winter,23,2341,0.532357717228083,0.550158977508545,0.255754631726019,female
"[20,80]",fall,0,2674,0.505886014552317,0.516621053218842,0.257764077845789,both
"[20,80]",fall,1,2602,0.494845269985216,0.502093702554703,0.25262285267044,both
"[20,80]",fall,2,1858,0.467356465464163,0.459119811654091,0.260481152972,both
"[20,80]",fall,3,1117,0.4440415357152,0.428011983633041,0.25520665366754,both
"[20,80]",fall,4,197,0.452435493034306,0.432638049125671,0.263468150031203,both
"[20,80]",fall,5,27,0.385643526221867,0.356241226196289,0.269528531003112,both
"[20,80]",fall,6,10,0.513310956954956,0.527145564556122,0.29216727928748,both
"[20,80]",fall,7,4,0.443809570744634,0.456522136926651,0.283638613862049,both
"[20,80]",fall,8,1,0.703093349933624,0.703093349933624,,both
"[20,80]",fall,11,1,0.767436563968658,0.767436563968658,,both
"[20,80]",fall,17,1,0.549338936805725,0.549338936805725,,both
"[20,80]",fall,18,84,0.526570705741289,0.560373723506928,0.270386625323593,both
"[20,80]",fall,19,4546,0.491213999154334,0.483527973294258,0.261413010549567,both
"[20,80]",fall,20,11566,0.483961876147442,0.4720189422369,0.25777529890852,both
"[20,80]",fall,21,9312,0.507908015115078,0.509529560804367,0.264473645222255,both
"[20,80]",fall,22,3044,0.531288733639792,0.545501589775085,0.261304326158135,both
"[20,80]",fall,23,2357,0.518940178366867,0.526741862297058,0.253969043095352,both
"[20,80]",spring,0,2732,0.517473764631674,0.53365284204483,0.260714276513078,both
"[20,80]",spring,1,2552,0.499317839711052,0.512082934379578,0.254120341322301,both
"[20,80]",spring,2,2075,0.472181239941393,0.47127041220665,0.261125148648967,both
"[20,80]",spring,3,1291,0.456084630889984,0.446704059839249,0.263992501762215,both
"[20,80]",spring,4,415,0.441539462628853,0.430590599775314,0.250799465814801,both
"[20,80]",spring,5,69,0.512529389905757,0.563242256641388,0.251814187480297,both
"[20,80]",spring,6,15,0.525512299935023,0.555192291736603,0.232628264870113,both
"[20,80]",spring,7,7,0.308046061013426,0.208756223320961,0.274416821839283,both
"[20,80]",spring,18,89,0.48597782917237,0.466666668653488,0.260758289375144,both
"[20,80]",spring,19,4180,0.500194672911325,0.494348004460335,0.257916429503883,both
"[20,80]",spring,20,10307,0.488762176482409,0.486736595630646,0.258070130183552,both
"[20,80]",spring,21,8683,0.519585152953043,0.525767207145691,0.264945763899363,both
"[20,80]",spring,22,2722,0.545729697861933,0.557696729898453,0.266396452328457,both
"[20,80]",spring,23,2385,0.52759896804358,0.540412724018097,0.256456677830448,both
"[20,80]",summer,0,2952,0.501029731669188,0.509310692548752,0.251579559127577,both
"[20,80]",summer,1,2781,0.49671477143422,0.50550240278244,0.25299632467189,both
"[20,80]",summer,2,2178,0.468818104063923,0.469051793217659,0.258214824137605,both
"[20,80]",summer,3,1349,0.454987665034936,0.442985475063324,0.265121215480777,both
"[20,80]",summer,4,376,0.463744417585908,0.456878140568733,0.260289902508517,both
"[20,80]",summer,5,46,0.465475805427717,0.461203709244728,0.31267712347233,both
"[20,80]",summer,6,9,0.335660499003198,0.378023505210876,0.21339558659832,both
"[20,80]",summer,7,5,0.229351359605789,0.235641434788704,0.0941128416466964,both
"[20,80]",summer,8,1,0.666398286819458,0.666398286819458,,both
"[20,80]",summer,9,1,0.48559907078743,0.48559907078743,,both
"[20,80]",summer,17,1,0.906666696071625,0.906666696071625,,both
"[20,80]",summer,18,128,0.426979568466777,0.413221582770348,0.221347736509448,both
"[20,80]",summer,19,4524,0.483905524973923,0.48385001718998,0.256680736946853,both
"[20,80]",summer,20,11542,0.490372939648217,0.484811663627625,0.258500455677261,both
"[20,80]",summer,21,9366,0.519973552732317,0.521275490522385,0.261095365618173,both
"[20,80]",summer,22,2882,0.537493547728436,0.557199835777283,0.259176495549447,both
"[20,80]",summer,23,2484,0.524927053456577,0.54813677072525,0.251714193148315,both
