age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,0,1608,6.58389303340248,5,4.77502582642722,male
"[20,80]",fall,1,1627,6.50479410415642,4.90000009536743,4.87489109550102,male
"[20,80]",fall,2,1300,6.73454616317382,5,5.01452827198382,male
"[20,80]",fall,3,781,7.35238156321717,5.19999980926514,5.88075707970917,male
"[20,80]",fall,4,128,6.23281253036112,5.15499997138977,4.01803963126624,male
"[20,80]",fall,5,23,4.41999998299972,4.19999980926514,1.94373118218906,male
"[20,80]",fall,6,10,3.74199997186661,3.70000004768372,1.84328690826067,male
"[20,80]",fall,7,2,4.80000019073486,4.80000019073486,0.707106781186548,male
"[20,80]",fall,12,1,6.17000007629395,6.17000007629395,,male
"[20,80]",fall,17,1,11.5,11.5,,male
"[20,80]",fall,18,45,8.81200000445048,5.19999980926514,9.95083938858829,male
"[20,80]",fall,19,2481,6.68078194655319,5.09999990463257,4.79791764337614,male
"[20,80]",fall,20,5312,6.49319842015674,5,4.58462169635917,male
"[20,80]",fall,21,3918,6.41150587276879,4.90000009536743,4.68596675073295,male
"[20,80]",fall,22,1218,6.50346469291913,4.90000009536743,4.83272725912515,male
"[20,80]",fall,23,1288,6.32476707839448,5,4.3804117397761,male
"[20,80]",spring,0,1531,6.91585890745354,5.19999980926514,5.210806235655,male
"[20,80]",spring,1,1594,6.8491467953177,5.30000019073486,5.08588429237456,male
"[20,80]",spring,2,1489,6.95166555357268,5.30000019073486,5.05267878406651,male
"[20,80]",spring,3,900,6.86704444699817,5.40000009536743,4.95682048575735,male
"[20,80]",spring,4,236,7.24025421324423,5.30000019073486,5.66368013969359,male
"[20,80]",spring,5,38,6.36236837976857,4.93999981880188,4.15045182424338,male
"[20,80]",spring,6,10,4.58999994397163,3.47500002384186,5.51151902130136,male
"[20,80]",spring,7,5,9.37799987792969,7,7.89489799871985,male
"[20,80]",spring,9,1,3.5,3.5,,male
"[20,80]",spring,17,1,5.19999980926514,5.19999980926514,,male
"[20,80]",spring,18,56,8.21464283977236,5.64999985694885,7.45643043898956,male
"[20,80]",spring,19,2333,6.75632662038358,5.30000019073486,4.67164087402332,male
"[20,80]",spring,20,4925,6.70201624686343,5.05999994277954,5.00383788866348,male
"[20,80]",spring,21,3464,6.42961316313121,4.97499990463257,4.58881387047191,male
"[20,80]",spring,22,1082,6.54323474999497,5.09999990463257,4.6014667237914,male
"[20,80]",spring,23,1266,6.74800157283343,5,5.0762539505019,male
"[20,80]",summer,0,1571,6.53041374167388,5,4.64691598929139,male
"[20,80]",summer,1,1663,6.26502707315653,4.90000009536743,4.2631862626225,male
"[20,80]",summer,2,1392,6.92143678622342,5.09999990463257,5.42642464875034,male
"[20,80]",summer,3,808,6.63995049687305,5.25,4.63540222075597,male
