age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,0,54,0.599910467311188,0.622628718614578,0.257955607934758,male
"[20,80]",fall,1,41,0.684485753498426,0.746031761169434,0.2518886818451,male
"[20,80]",fall,2,51,0.531810490816247,0.53658539056778,0.220591726124192,male
"[20,80]",fall,3,37,0.598937270609108,0.558139562606812,0.176134097117937,male
"[20,80]",fall,4,3,0.532721281051636,0.446428567171097,0.200486012244599,male
"[20,80]",fall,5,1,0.939999997615814,0.939999997615814,,male
"[20,80]",fall,18,1,0.666666686534882,0.666666686534882,,male
"[20,80]",fall,19,91,0.489879147610167,0.5,0.246869215760693,male
"[20,80]",fall,20,126,0.48267928453251,0.481481492519379,0.256166779484234,male
"[20,80]",fall,21,111,0.541369414275831,0.571428596973419,0.258084497987126,male
"[20,80]",fall,22,54,0.492206757198329,0.440387487411499,0.292116586903732,male
"[20,80]",fall,23,50,0.594405014365912,0.618788838386536,0.232205617777357,male
"[20,80]",spring,0,55,0.576335193894126,0.614035069942474,0.266012274145799,male
"[20,80]",spring,1,54,0.629844960239199,0.679924964904785,0.235949347504014,male
"[20,80]",spring,2,68,0.611649373874945,0.639583319425583,0.268819403666296,male
"[20,80]",spring,3,55,0.616804261234674,0.725000023841858,0.290949054725302,male
"[20,80]",spring,4,32,0.645617754664272,0.599325239658356,0.237940018141949,male
"[20,80]",spring,5,1,0.558139562606812,0.558139562606812,,male
"[20,80]",spring,19,87,0.51004882152567,0.515151500701904,0.266259029355312,male
"[20,80]",spring,20,157,0.462476469837366,0.462962955236435,0.244334882196271,male
"[20,80]",spring,21,134,0.51232046394873,0.515026122331619,0.244023655653548,male
"[20,80]",spring,22,55,0.546842189539563,0.573770463466644,0.267335708256228,male
"[20,80]",spring,23,55,0.574026882919398,0.604166686534882,0.226275870549065,male
"[20,80]",summer,0,60,0.565020664098362,0.560701757669449,0.304180333142822,male
"[20,80]",summer,1,81,0.638157034177839,0.633333325386047,0.268349959826831,male
"[20,80]",summer,2,72,0.556881087728673,0.527777791023254,0.202822814277541,male
"[20,80]",summer,3,48,0.494260217684011,0.530555576086044,0.227595104504748,male
"[20,80]",summer,4,17,0.536679991466158,0.560975611209869,0.250384327223979,male
"[20,80]",summer,18,2,0.421568647027016,0.421568647027016,0.124783563256901,male
"[20,80]",summer,19,91,0.492690575728705,0.470588237047195,0.241904451295776,male
"[20,80]",summer,20,135,0.460168710764912,0.481481492519379,0.247438204366469,male
"[20,80]",summer,21,109,0.490536639996625,0.476923078298569,0.240501538847832,male
"[20,80]",summer,22,45,0.512766900493039,0.487804889678955,0.189586187022973,male
"[20,80]",summer,23,33,0.535997097013575,0.558139562606812,0.248191769163233,male
"[20,80]",winter,0,74,0.624906882266136,0.686720132827759,0.266635756922114,male
"[20,80]",winter,1,75,0.73121675302585,0.823529422283173,0.258133337305684,male
"[20,80]",winter,2,73,0.623730010059598,0.625,0.25327044004935,male
"[20,80]",winter,3,54,0.559857166889641,0.597297310829163,0.229978431620866,male
"[20,80]",winter,4,5,0.702513229846954,0.685185194015503,0.2064977510833,male
"[20,80]",winter,19,72,0.537100351570795,0.570697665214539,0.316796229424411,male
"[20,80]",winter,20,149,0.464446468291267,0.433333337306976,0.260135724382916,male
"[20,80]",winter,21,124,0.523219003672561,0.536507964134216,0.277050321628511,male
"[20,80]",winter,22,63,0.571679359745412,0.5686274766922,0.271446200809583,male
"[20,80]",winter,23,45,0.531613998032278,0.560975611209869,0.267538951458482,male
"[20,80]",fall,0,66,0.486751708230286,0.501798570156097,0.231791730630933,female
"[20,80]",fall,1,98,0.462721691048723,0.438248842954636,0.253681676864139,female
"[20,80]",fall,2,124,0.498316286552337,0.467803031206131,0.279667438217417,female
"[20,80]",fall,3,85,0.493723804766641,0.451612889766693,0.256509071205055,female
"[20,80]",fall,4,17,0.56641361073536,0.647482037544251,0.256614519781701,female
"[20,80]",fall,5,2,0.567167401313782,0.567167401313782,0.111433401477105,female
"[20,80]",fall,18,1,0.0714285746216774,0.0714285746216774,,female
"[20,80]",fall,19,90,0.43868372672134,0.431498825550079,0.231280470223689,female
"[20,80]",fall,20,275,0.537137598490173,0.54347825050354,0.253788295800006,female
"[20,80]",fall,21,237,0.503306813726697,0.52173912525177,0.25761508430432,female
"[20,80]",fall,22,77,0.465483829475843,0.442424237728119,0.246280856995735,female
"[20,80]",fall,23,78,0.536500997268237,0.557777792215347,0.231297999405849,female
"[20,80]",spring,0,93,0.565500302500622,0.571428596973419,0.261249692058915,female
"[20,80]",spring,1,130,0.544577274242273,0.595918387174606,0.209972834439041,female
"[20,80]",spring,2,152,0.526540821810302,0.539072066545487,0.252135073069672,female
"[20,80]",spring,3,101,0.430102025665859,0.359712243080139,0.261261722268084,female
"[20,80]",spring,4,31,0.72965113001485,0.841269850730896,0.283975531279565,female
"[20,80]",spring,5,1,0.965517222881317,0.965517222881317,,female
"[20,80]",spring,6,1,0.492063492536545,0.492063492536545,,female
"[20,80]",spring,19,76,0.438354702078198,0.417224869132042,0.265516006016192,female
"[20,80]",spring,20,234,0.514072123389596,0.535036623477936,0.267965504957521,female
"[20,80]",spring,21,222,0.528247920745933,0.55998170375824,0.251305076821683,female
"[20,80]",spring,22,90,0.580858553946018,0.618951618671417,0.259724702879558,female
"[20,80]",spring,23,69,0.536727651845718,0.573770463466644,0.248250345652693,female
"[20,80]",summer,0,76,0.546345567428752,0.554774075746536,0.244028350744994,female
"[20,80]",summer,1,133,0.536964638144674,0.531791925430298,0.276272385144577,female
"[20,80]",summer,2,143,0.452835329788757,0.425287365913391,0.247401889865283,female
"[20,80]",summer,3,107,0.450838897560036,0.404494374990463,0.286964457582052,female
"[20,80]",summer,4,35,0.432703919389418,0.428571432828903,0.234915006263599,female
"[20,80]",summer,5,1,0.25,0.25,,female
"[20,80]",summer,19,72,0.420327146589342,0.372093021869659,0.230298826813942,female
