age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,0,43115,0.483918764780908,0.509486973285675,0.27640738401386,male
"[20,80]",fall,1,35666,0.494720076991608,0.520452976226807,0.282958888925433,male
"[20,80]",fall,2,35580,0.49381669738475,0.522727251052856,0.28654432184944,male
"[20,80]",fall,3,28344,0.495811933611611,0.523917675018311,0.287275939583265,male
"[20,80]",fall,4,12644,0.471042527852103,0.500511646270752,0.283662625643924,male
"[20,80]",fall,5,8146,0.443958495170328,0.422458216547966,0.286177415836306,male
"[20,80]",fall,6,5456,0.378209485513666,0.301841080188751,0.271731652449126,male
"[20,80]",fall,7,4430,0.322118412515119,0.238142147660255,0.253765490338451,male
"[20,80]",fall,8,4673,0.311389445668422,0.229668542742729,0.247919654934203,male
"[20,80]",fall,9,4770,0.299939998250408,0.217789225280285,0.244796835385577,male
"[20,80]",fall,10,4345,0.280640237866306,0.21088919043541,0.231859211292615,male
"[20,80]",fall,11,3514,0.277725528913201,0.204117655754089,0.235772675116538,male
"[20,80]",fall,12,3234,0.271017252737553,0.204012781381607,0.234208381883821,male
"[20,80]",fall,13,2593,0.265417513046615,0.199216604232788,0.230201687153867,male
"[20,80]",fall,14,2111,0.264439751022623,0.199839413166046,0.229791441008092,male
"[20,80]",fall,15,1684,0.260672821679358,0.193335175514221,0.228731031630873,male
"[20,80]",fall,16,1402,0.258755833679776,0.17122295498848,0.228081939464535,male
"[20,80]",fall,17,1307,0.286768133538991,0.207712531089783,0.2432080127064,male
"[20,80]",fall,18,4167,0.426356709180281,0.403278261423111,0.273995355001172,male
"[20,80]",fall,19,104008,0.524912133800153,0.562991082668304,0.257706832313342,male
"[20,80]",fall,20,188084,0.538343619173563,0.579364538192749,0.25058098835416,male
"[20,80]",fall,21,125409,0.534075272002283,0.578608393669128,0.25298797363132,male
"[20,80]",fall,22,44199,0.500344589015554,0.535029232501984,0.265636282357971,male
"[20,80]",fall,23,40477,0.482013367427805,0.505536019802094,0.273712086608042,male
"[20,80]",spring,0,51809,0.465853210958727,0.497713714838028,0.276826374503311,male
"[20,80]",spring,1,42968,0.473023665241151,0.50249171257019,0.28308743652146,male
"[20,80]",spring,2,43700,0.468084149027256,0.500134646892548,0.285796694849978,male
"[20,80]",spring,3,35192,0.47479916048879,0.504136741161346,0.288202868173324,male
"[20,80]",spring,4,16030,0.461201888603447,0.494957655668259,0.284344100311005,male
"[20,80]",spring,5,9074,0.432571700115926,0.409214526414871,0.284209018779509,male
"[20,80]",spring,6,6126,0.381061967209631,0.312848091125488,0.272581634159778,male
"[20,80]",spring,7,4916,0.318708568915044,0.237466603517532,0.252455962486263,male
"[20,80]",spring,8,4820,0.30815895372708,0.225191324949265,0.244718882598242,male
"[20,80]",spring,9,4887,0.288744351092718,0.21226841211319,0.238599456402351,male
"[20,80]",spring,10,4958,0.283280299866956,0.211744502186775,0.234158187101561,male
"[20,80]",spring,11,4121,0.267751274046006,0.199216604232788,0.228037840221353,male
"[20,80]",spring,12,3730,0.267357126892302,0.210065111517906,0.226497058335642,male
"[20,80]",spring,13,3027,0.264330830577475,0.184502646327019,0.230875164356428,male
"[20,80]",spring,14,2421,0.265218355892575,0.187177404761314,0.235452609124649,male
"[20,80]",spring,15,1864,0.259472268760452,0.182095974683762,0.23073784448016,male
"[20,80]",spring,16,1458,0.260834879188227,0.199839413166046,0.227503533648415,male
"[20,80]",spring,17,1368,0.270833887102638,0.204012781381607,0.233539055190832,male
"[20,80]",spring,18,4359,0.413040117582212,0.39712518453598,0.275551677320809,male
"[20,80]",spring,19,112410,0.491434831272444,0.509486973285675,0.256267818948377,male
"[20,80]",spring,20,197144,0.513885296588306,0.540146887302399,0.250683386939676,male
"[20,80]",spring,21,132726,0.516231709921116,0.554043054580689,0.252281283966989,male
"[20,80]",spring,22,47931,0.490024229261704,0.517490327358246,0.267334064131491,male
"[20,80]",spring,23,48252,0.468338009942727,0.500616371631622,0.273363426555045,male
"[20,80]",summer,0,53034,0.384062621012904,0.326152503490448,0.263856574117249,male
"[20,80]",summer,1,45132,0.38414109382365,0.326152503490448,0.267655321170603,male
"[20,80]",summer,2,43870,0.380218666134789,0.312848091125488,0.272663367875233,male
"[20,80]",summer,3,33723,0.390034197412208,0.347072392702103,0.274090879822104,male
"[20,80]",summer,4,15282,0.392723442563667,0.357470571994782,0.269963514063942,male
"[20,80]",summer,5,9374,0.377483786036566,0.301841080188751,0.269855719909537,male
