age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,0,1071,0.592797405099502,0.625189661979675,0.251702722529718,male
"[20,80]",fall,1,1039,0.595162298067816,0.617449641227722,0.262294376778149,male
"[20,80]",fall,2,729,0.611642342811995,0.645871579647064,0.25363321468557,male
"[20,80]",fall,3,414,0.627119869155728,0.668432116508484,0.256164429586107,male
"[20,80]",fall,4,131,0.635029110062213,0.65170556306839,0.251591126534932,male
"[20,80]",fall,5,89,0.638178190823351,0.657534241676331,0.250642761194374,male
"[20,80]",fall,6,43,0.649073407053947,0.674137949943543,0.249836874298354,male
"[20,80]",fall,7,1,0.234972670674324,0.234972670674324,,male
"[20,80]",fall,17,1,0.176684886217117,0.176684886217117,,male
"[20,80]",fall,18,30,0.386123140280445,0.361960962414742,0.219827614996736,male
"[20,80]",fall,19,622,0.419373081272342,0.401096895337105,0.23830978573816,male
"[20,80]",fall,20,1393,0.424101120950781,0.402912616729736,0.240945649538334,male
"[20,80]",fall,21,1035,0.447800167124484,0.419417470693588,0.268855275828347,male
"[20,80]",fall,22,550,0.474793816144494,0.486583173274994,0.278485005777171,male
"[20,80]",fall,23,763,0.536914416590063,0.566666662693024,0.269320921567234,male
"[20,80]",spring,0,1315,0.553844147325695,0.579831957817078,0.2686449844083,male
"[20,80]",spring,1,1373,0.562465418767773,0.604811012744904,0.267608872406383,male
"[20,80]",spring,2,1036,0.569299749217381,0.597507566213608,0.264470841828666,male
"[20,80]",spring,3,536,0.566697470093174,0.594998270273209,0.26738522411344,male
"[20,80]",spring,4,170,0.586813969712924,0.645808339118958,0.278304412605061,male
"[20,80]",spring,5,102,0.648319163597098,0.67735743522644,0.23555586472967,male
"[20,80]",spring,6,58,0.668690275272419,0.746958374977112,0.255981069877859,male
"[20,80]",spring,7,16,0.639579882845283,0.678473502397537,0.247117288910194,male
"[20,80]",spring,12,1,0.213754653930664,0.213754653930664,,male
"[20,80]",spring,18,17,0.293858530766824,0.266547411680222,0.164352539527448,male
"[20,80]",spring,19,576,0.411259695266684,0.394364893436432,0.226895815815399,male
"[20,80]",spring,20,1240,0.412819824764325,0.384025424718857,0.229787974187402,male
"[20,80]",spring,21,936,0.39486856558997,0.357896164059639,0.249354381471999,male
"[20,80]",spring,22,541,0.465891748904328,0.460481107234955,0.277724919726218,male
"[20,80]",spring,23,898,0.514836670789362,0.541558504104614,0.271355963741441,male
"[20,80]",summer,0,1210,0.52432706754747,0.5424984395504,0.256819826672048,male
"[20,80]",summer,1,1282,0.563600510954508,0.590015113353729,0.256051553064776,male
"[20,80]",summer,2,852,0.551238684508372,0.58628785610199,0.261625151241574,male
"[20,80]",summer,3,503,0.584594666017275,0.621019124984741,0.2502737918713,male
"[20,80]",summer,4,135,0.599615034957727,0.639999985694885,0.239250871927476,male
"[20,80]",summer,5,83,0.554634699261332,0.566137552261353,0.264277759861132,male
"[20,80]",summer,6,57,0.589987889847212,0.630742073059082,0.234212859910344,male
"[20,80]",summer,7,5,0.497980785369873,0.51588499546051,0.204522665445635,male
"[20,80]",summer,17,1,0.72560977935791,0.72560977935791,,male
"[20,80]",summer,18,33,0.288334880024195,0.267759561538696,0.152520799954332,male
"[20,80]",summer,19,572,0.384664146229625,0.360582530498505,0.230989394120179,male
"[20,80]",summer,20,1379,0.391205141322175,0.366171002388001,0.229873071303268,male
"[20,80]",summer,21,1028,0.392673137088593,0.388554349541664,0.239641119365828,male
"[20,80]",summer,22,537,0.449830453620887,0.429328620433807,0.275005215000074,male
"[20,80]",summer,23,801,0.520121431278156,0.544609665870667,0.262622415180021,male
"[20,80]",winter,0,1395,0.614896242961448,0.665406405925751,0.269352368993298,male
"[20,80]",winter,1,1382,0.630634895459831,0.685887932777405,0.254226047919561,male
"[20,80]",winter,2,920,0.652266464009881,0.72000002861023,0.257087641856562,male
"[20,80]",winter,3,487,0.630346931807804,0.684729039669037,0.248901518678005,male
"[20,80]",winter,4,168,0.698228652633372,0.746026813983917,0.215314030745086,male
"[20,80]",winter,5,108,0.692880479687894,0.770579904317856,0.239608838169843,male
"[20,80]",winter,6,66,0.731035028443192,0.805116057395935,0.227765431838011,male
"[20,80]",winter,7,18,0.850929882791307,0.854261368513107,0.123828916180359,male
"[20,80]",winter,8,3,0.950836598873138,0.949921727180481,0.0245552067031439,male
"[20,80]",winter,9,1,0.777955293655396,0.777955293655396,,male
"[20,80]",winter,18,19,0.42154034776123,0.419417470693588,0.208646000589784,male
"[20,80]",winter,19,583,0.451581230601152,0.437158465385437,0.233249303925849,male
"[20,80]",winter,20,1546,0.456090663163351,0.448976770043373,0.236115381427084,male
"[20,80]",winter,21,1109,0.464114291480901,0.466666668653488,0.259484128272085,male
"[20,80]",winter,22,577,0.511147295775302,0.538599669933319,0.278857062789627,male
"[20,80]",winter,23,994,0.565568402555717,0.590151727199554,0.267822092319383,male
"[20,80]",fall,0,2718,0.556269826918479,0.580114424228668,0.258839542299395,female
"[20,80]",fall,1,2664,0.583889445242425,0.612694323062897,0.252494934935683,female
"[20,80]",fall,2,1983,0.596531672676555,0.628616094589233,0.246441118032018,female
"[20,80]",fall,3,1105,0.623857346581658,0.66005665063858,0.2462016276125,female
"[20,80]",fall,4,374,0.653172626613296,0.687224686145783,0.23884882678026,female
"[20,80]",fall,5,247,0.677988642261096,0.701694905757904,0.233359118967734,female
"[20,80]",fall,6,139,0.667134335143961,0.696470558643341,0.220193964368585,female
"[20,80]",fall,7,20,0.712158326804638,0.713965564966202,0.18038061528919,female
"[20,80]",fall,8,2,0.627449467778206,0.627449467778206,0.347885967094287,female
"[20,80]",fall,14,1,0.156537756323814,0.156537756323814,,female
"[20,80]",fall,17,1,0.124132610857487,0.124132610857487,,female
"[20,80]",fall,18,26,0.350858006339807,0.3242526948452,0.247470995699875,female
"[20,80]",fall,19,1041,0.426704195992776,0.391304343938828,0.249735443726414,female
"[20,80]",fall,20,2917,0.457332969798662,0.441568613052368,0.253151028980695,female
"[20,80]",fall,21,2398,0.452183946042793,0.430864676833153,0.261314685364021,female
"[20,80]",fall,22,1326,0.514261193204036,0.538305103778839,0.273483264428893,female
"[20,80]",fall,23,1968,0.551331476834641,0.582329332828522,0.262746138907828,female
"[20,80]",spring,0,3213,0.524754902377488,0.535942494869232,0.264063393912678,female
"[20,80]",spring,1,3526,0.543547902752815,0.562837302684784,0.253440651005543,female
"[20,80]",spring,2,2677,0.564573501759627,0.591666638851166,0.2640211258809,female
"[20,80]",spring,3,1324,0.572616391514183,0.599590688943863,0.254169553965055,female
"[20,80]",spring,4,498,0.63262365966377,0.678504645824432,0.23642767596821,female
"[20,80]",spring,5,288,0.653144232721792,0.693642109632492,0.227472633380329,female
"[20,80]",spring,6,215,0.643184859322947,0.681318700313568,0.238024324370237,female
"[20,80]",spring,7,36,0.699178694023026,0.746990412473679,0.195588021886429,female
"[20,80]",spring,8,1,0.171270713210106,0.171270713210106,,female
"[20,80]",spring,9,1,0.608474552631378,0.608474552631378,,female
"[20,80]",spring,11,2,0.733933925628662,0.733933925628662,0.0444634078924468,female
"[20,80]",spring,18,13,0.368772475765302,0.428571432828903,0.160915351178763,female
"[20,80]",spring,19,913,0.42271173361848,0.395528137683868,0.251329368991174,female
"[20,80]",spring,20,2699,0.42021422014579,0.397668391466141,0.241555021895527,female
"[20,80]",spring,21,2329,0.43166159069707,0.415185779333115,0.260179667352009,female
"[20,80]",spring,22,1363,0.471979255466199,0.473445594310761,0.273182950126095,female
"[20,80]",spring,23,2323,0.503770651185129,0.511444926261902,0.271095525944478,female
"[20,80]",summer,0,3252,0.523836958438598,0.537144333124161,0.259331202787374,female
"[20,80]",summer,1,3280,0.517590326416056,0.53470566868782,0.255082984133643,female
"[20,80]",summer,2,2492,0.535700599072474,0.552524387836456,0.258677176164582,female
"[20,80]",summer,3,1275,0.562827959244742,0.580958545207977,0.247663411545062,female
"[20,80]",summer,4,409,0.604608508496384,0.615814685821533,0.237863945715033,female
"[20,80]",summer,5,294,0.613252444788307,0.627628266811371,0.24050735833119,female
"[20,80]",summer,6,176,0.675045671788129,0.704966306686401,0.21911001892455,female
"[20,80]",summer,7,13,0.593860931694508,0.605562567710877,0.262288579819575,female
"[20,80]",summer,9,1,0.850199222564697,0.850199222564697,,female
"[20,80]",summer,17,1,0.00693909032270312,0.00693909032270312,,female
"[20,80]",summer,18,27,0.398622252598957,0.36981400847435,0.283039748493691,female
"[20,80]",summer,19,1026,0.429862809663395,0.406626880168915,0.255089959741412,female
"[20,80]",summer,20,2912,0.40190131723456,0.361338466405869,0.249250304390526,female
"[20,80]",summer,21,2340,0.422984804759105,0.399606212973595,0.260198115127247,female
"[20,80]",summer,22,1253,0.470348345778781,0.46256685256958,0.274421465276788,female
"[20,80]",summer,23,2176,0.49677602514652,0.496931344270706,0.265109990647145,female
"[20,80]",winter,0,3513,0.580086061317943,0.622310757637024,0.261979854886642,female
"[20,80]",winter,1,3460,0.595043310526263,0.635492354631424,0.259886781373382,female
"[20,80]",winter,2,2407,0.608682268048824,0.648419439792633,0.257854189991696,female
"[20,80]",winter,3,1282,0.636389647330072,0.692230045795441,0.242735209135425,female
"[20,80]",winter,4,464,0.673939803261952,0.719394028186798,0.220450059496977,female
"[20,80]",winter,5,312,0.714130994983209,0.753682494163513,0.205436164814416,female
"[20,80]",winter,6,214,0.695813116765468,0.731987118721008,0.216956527966429,female
"[20,80]",winter,7,37,0.714599603736723,0.753682494163513,0.201263168107226,female
"[20,80]",winter,8,7,0.811004442828042,0.85869562625885,0.141369329155219,female
"[20,80]",winter,10,1,0.306440681219101,0.306440681219101,,female
"[20,80]",winter,18,11,0.480211372063919,0.505273222923279,0.283389649897087,female
"[20,80]",winter,19,967,0.478673919557662,0.477624088525772,0.255085944760931,female
"[20,80]",winter,20,2825,0.479393064903211,0.469146251678467,0.249950996558334,female
"[20,80]",winter,21,2488,0.479139391678742,0.48338982462883,0.268998100452938,female
"[20,80]",winter,22,1377,0.52673582567109,0.558022201061249,0.280142665814517,female
"[20,80]",winter,23,2329,0.562602619764092,0.60207337141037,0.274010483849828,female
"[20,80]",fall,0,3789,0.566591623080189,0.591666638851166,0.257296248231736,both
"[20,80]",fall,1,3705,0.586975356972652,0.613744080066681,0.255382355026959,both
"[20,80]",fall,2,2712,0.600918814171776,0.634477853775024,0.248258656563259,both
"[20,80]",fall,3,1521,0.624697331782433,0.665004134178162,0.249087398057768,both
"[20,80]",fall,4,505,0.648493556191426,0.683630168437958,0.242037046073572,both
"[20,80]",fall,5,336,0.667439511045814,0.694277226924896,0.238272299919156,both
"[20,80]",fall,6,182,0.662820197478101,0.696346312761307,0.226891541417148,both
"[20,80]",fall,7,23,0.671324931409048,0.709950625896454,0.213638478341953,both
"[20,80]",fall,8,2,0.627449467778206,0.627449467778206,0.347885967094287,both
"[20,80]",fall,9,2,0.50136598944664,0.50136598944664,0.205588660260321,both
"[20,80]",fall,14,1,0.156537756323814,0.156537756323814,,both
"[20,80]",fall,18,56,0.369580760930798,0.349631994962692,0.231210420748042,both
"[20,80]",fall,19,1663,0.423954897282967,0.395528137683868,0.245441907310697,both
"[20,80]",fall,20,4308,0.446523078783011,0.427881807088852,0.249503536879495,both
"[20,80]",fall,21,3435,0.450884736184535,0.427973210811615,0.263721561663463,both
"[20,80]",fall,22,1876,0.50264756289273,0.529166638851166,0.275379440907136,both
"[20,80]",fall,23,2732,0.547453113798854,0.579937905073166,0.264692874549397,both
"[20,80]",spring,0,4528,0.533197367548212,0.550412505865097,0.265690280916491,both
"[20,80]",spring,1,4898,0.548763637538587,0.572817504405975,0.257544630875324,both
"[20,80]",spring,2,3714,0.565764784970405,0.595863103866577,0.264196506253453,both
"[20,80]",spring,3,1860,0.570930958715498,0.597053080797195,0.257941333313247,both
"[20,80]",spring,4,668,0.621260933778779,0.670381218194962,0.247597983529582,both
"[20,80]",spring,5,391,0.650682718705033,0.68664562702179,0.230114712461277,both
"[20,80]",spring,6,273,0.648636498184868,0.689491510391235,0.241437342512871,both
"[20,80]",spring,7,54,0.67807113599998,0.745042860507965,0.220780839142474,both
"[20,80]",spring,8,1,0.171270713210106,0.171270713210106,,both
"[20,80]",spring,9,1,0.608474552631378,0.608474552631378,,both
"[20,80]",spring,11,2,0.733933925628662,0.733933925628662,0.0444634078924468,both
"[20,80]",spring,12,1,0.213754653930664,0.213754653930664,,both
"[20,80]",spring,18,30,0.326785172025363,0.312850326299667,0.163685000632125,both
"[20,80]",spring,19,1489,0.418257635572138,0.394736856222153,0.242051693605883,both
"[20,80]",spring,20,3939,0.417648252743805,0.395238101482391,0.237793288625077,both
"[20,80]",spring,21,3265,0.421106105778155,0.398328691720963,0.257598872894533,both
"[20,80]",spring,22,1906,0.470269642287527,0.466650202870369,0.274679557149374,both
"[20,80]",spring,23,3221,0.506860085762748,0.519572973251343,0.271157059113233,both
"[20,80]",summer,0,4464,0.523937195672998,0.540225744247437,0.258694898110401,both
"[20,80]",summer,1,4564,0.530507273689618,0.553756952285767,0.256275162179644,both
"[20,80]",summer,2,3344,0.539945274071198,0.563587665557861,0.259416203364665,both
"[20,80]",summer,3,1779,0.568699852859223,0.592459619045258,0.248750358499138,both
"[20,80]",summer,4,544,0.603385206668035,0.624504625797272,0.237762415089398,both
"[20,80]",summer,5,379,0.600178169858173,0.615532100200653,0.247894149859819,both
"[20,80]",summer,6,235,0.653543022465199,0.69696968793869,0.227163892974637,both
"[20,80]",summer,7,18,0.568667460232973,0.582070827484131,0.242754758133104,both
"[20,80]",summer,9,1,0.850199222564697,0.850199222564697,,both
"[20,80]",summer,18,60,0.335508538782597,0.297397762537003,0.218328817233433,both
"[20,80]",summer,19,1598,0.413540431294819,0.393654972314835,0.247326848423369,both
"[20,80]",summer,20,4290,0.398482678192375,0.364123165607452,0.243043511365616,both
"[20,80]",summer,21,3369,0.413692402464036,0.396072000265121,0.254183397268967,both
"[20,80]",summer,22,1790,0.464193982971239,0.454107612371445,0.274679270394601,both
"[20,80]",summer,23,2977,0.503071403326726,0.505862653255463,0.264567569509806,both
"[20,80]",winter,0,4910,0.58994807603934,0.632511615753174,0.264602927245924,both
"[20,80]",winter,1,4841,0.605511191992277,0.650572836399078,0.258553651422265,both
"[20,80]",winter,2,3327,0.620726499724422,0.665004134178162,0.258320126785505,both
"[20,80]",winter,3,1769,0.634722951102587,0.690847456455231,0.244388127575095,both
"[20,80]",winter,4,632,0.680395006072484,0.725524485111237,0.219188032345208,both
"[20,80]",winter,5,420,0.708745170065335,0.754108101129532,0.214206674187528,both
"[20,80]",winter,6,280,0.704188738390803,0.748564034700394,0.219422542995413,both
"[20,80]",winter,7,55,0.765524773164229,0.805767595767975,0.17717228319058,both
"[20,80]",winter,8,12,0.839331681529681,0.886714100837708,0.149031790113343,both
"[20,80]",winter,9,1,0.777955293655396,0.777955293655396,,both
"[20,80]",winter,10,1,0.306440681219101,0.306440681219101,,both
"[20,80]",winter,18,30,0.440667867536346,0.423084527254105,0.230920330311033,both
"[20,80]",winter,19,1550,0.468469404592629,0.465631932020187,0.247240834217415,both
"[20,80]",winter,20,4370,0.471013416649105,0.461479112505913,0.24520251270132,both
"[20,80]",winter,21,3598,0.474367496012925,0.478242665529251,0.266195417323043,both
"[20,80]",winter,22,1956,0.522084928199588,0.555704265832901,0.280017970600529,both
"[20,80]",winter,23,3325,0.563451817109621,0.599078357219696,0.272297800409028,both
