age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,4,0.911184206604958,0.947368413209915,0.118360121502987,male
"[20,80]",1,2003,11,0.369293970140544,0.378378391265869,0.379259000517023,male
"[20,80]",1,2004,2,0.46875,0.46875,0.397747564417433,male
"[20,80]",1,2005,6,0.712960004806519,0.754076093435288,0.280141031426677,male
"[20,80]",1,2006,2,0.485294118523598,0.485294118523598,0.0207972570305794,male
"[20,80]",1,2007,1,0.181818187236786,0.181818187236786,,male
"[20,80]",1,2008,6,0.376408886164427,0.322478994727135,0.215791401120049,male
"[20,80]",1,2009,9,0.526464053326183,0.454545468091965,0.268504314092972,male
"[20,80]",1,2010,7,0.52458964075361,0.526315808296204,0.107361834042676,male
"[20,80]",1,2011,7,0.653464960200446,0.736842095851898,0.197695682018035,male
"[20,80]",1,2012,8,0.576293999329209,0.591666668653488,0.219660202793673,male
"[20,80]",1,2013,5,0.612727269530296,0.625,0.256509260434126,male
"[20,80]",1,2014,10,0.665518832206726,0.651583731174469,0.254696642805757,male
"[20,80]",1,2015,8,0.375926158390939,0.354545459151268,0.231372832308387,male
"[20,80]",1,2016,15,0.51792709628741,0.5,0.227583871508439,male
"[20,80]",1,2017,8,0.556454980745912,0.54121620953083,0.236986379192726,male
"[20,80]",1,2018,8,0.535375563427806,0.49285714328289,0.269237674872386,male
"[20,80]",1,2019,1,0.772727251052856,0.772727251052856,,male
"[20,80]",2,2002,7,0.696761307971818,0.75,0.334968178348427,male
"[20,80]",2,2003,7,0.610722614186151,0.600000023841858,0.381166776061733,male
"[20,80]",2,2004,4,0.111285269260407,0.0862068980932236,0.134869124488195,male
"[20,80]",2,2005,3,0.5625,0.625,0.108253175473055,male
"[20,80]",2,2006,6,0.459753021597862,0.365201473236084,0.224474726988526,male
"[20,80]",2,2007,1,0.173913046717644,0.173913046717644,,male
"[20,80]",2,2008,12,0.669219549745321,0.766666680574417,0.223424243609579,male
"[20,80]",2,2009,7,0.409103646874428,0.409090906381607,0.217385656553521,male
"[20,80]",2,2010,1,0.611111104488373,0.611111104488373,,male
"[20,80]",2,2011,2,0.663615554571152,0.663615554571152,0.0453066398906043,male
"[20,80]",2,2012,3,0.4385783324639,0.434782594442368,0.226214370127367,male
"[20,80]",2,2013,11,0.369386094537648,0.392857134342194,0.276012259345194,male
"[20,80]",2,2014,12,0.663310629626115,0.787684738636017,0.336750662972086,male
"[20,80]",2,2015,9,0.463478377295865,0.46428570151329,0.241863107865995,male
"[20,80]",2,2016,7,0.458496251276561,0.400000005960465,0.231424491927968,male
"[20,80]",2,2017,14,0.53169193650995,0.516666680574417,0.23678562103497,male
"[20,80]",2,2018,9,0.654314450091786,0.772727251052856,0.249129263336012,male
"[20,80]",3,2002,3,0.529824574788412,0.400000005960465,0.224862749280727,male
"[20,80]",3,2003,7,0.770586301173483,0.91304349899292,0.324974776166239,male
"[20,80]",3,2004,3,0.57226108511289,0.545454561710358,0.278939761299434,male
"[20,80]",3,2005,5,0.34730661213398,0.400000005960465,0.282851577319812,male
"[20,80]",3,2006,5,0.362765818834305,0.388888895511627,0.230793714701949,male
"[20,80]",3,2007,1,0.400000005960465,0.400000005960465,,male
"[20,80]",3,2008,10,0.635797536373138,0.672619044780731,0.218400081989988,male
"[20,80]",3,2009,5,0.486580100655556,0.400000005960465,0.278405140974566,male
"[20,80]",3,2010,4,0.565360497683287,0.549999997019768,0.329359579768207,male
"[20,80]",3,2011,7,0.51963875655617,0.5,0.252097941467914,male
"[20,80]",3,2012,4,0.410364635288715,0.371428579092026,0.126230715997184,male
"[20,80]",3,2013,7,0.496887296438217,0.558823525905609,0.268610677572746,male
"[20,80]",3,2014,6,0.404236940046151,0.400000005960465,0.182186814388858,male
"[20,80]",3,2015,8,0.400958936195821,0.426573440432549,0.254971866125417,male
"[20,80]",3,2016,12,0.466709660366178,0.381818190217018,0.278798110102119,male
"[20,80]",3,2017,12,0.298301826075961,0.288690477609634,0.132867602191652,male
"[20,80]",3,2018,16,0.465242390986532,0.495475128293037,0.291342390628275,male
"[20,80]",4,2002,3,0.707936525344849,0.666666686534882,0.1891221602653,male
"[20,80]",4,2004,1,0.842105269432068,0.842105269432068,,male
"[20,80]",4,2006,2,0.147101448848844,0.147101448848844,0.160892409469097,male
"[20,80]",4,2007,5,0.617983347177506,0.545454561710358,0.142213938918004,male
"[20,80]",4,2008,9,0.525674604707294,0.75,0.338646931559814,male
"[20,80]",4,2009,2,0.671171188354492,0.671171188354492,0.00637032756502759,male
"[20,80]",4,2010,8,0.304303821176291,0.272527478635311,0.251392686249428,male
