age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,23,0.510318489826244,0.465346544981003,0.242291540961807,male
"[20,80]",1,2003,17,0.661357719232054,0.72000002861023,0.250106710632382,male
"[20,80]",1,2004,31,0.70008532366445,0.762711882591248,0.238365621990239,male
"[20,80]",1,2005,37,0.539008460334829,0.565517246723175,0.262991241652297,male
"[20,80]",1,2006,37,0.56165634216489,0.58730161190033,0.261510718377275,male
"[20,80]",1,2007,21,0.525036305898712,0.52238804101944,0.215366982383022,male
"[20,80]",1,2008,27,0.473360531032085,0.454545468091965,0.275297835367371,male
"[20,80]",1,2009,34,0.516989681869745,0.52332478761673,0.264730169292484,male
"[20,80]",1,2010,29,0.434944697430935,0.452991455793381,0.265662506439091,male
"[20,80]",1,2011,21,0.292414944796335,0.270491808652878,0.177256004203502,male
"[20,80]",1,2012,36,0.438715258302788,0.356818184256554,0.258363076826114,male
"[20,80]",1,2013,37,0.551575077143875,0.585365831851959,0.318646800769465,male
"[20,80]",1,2014,17,0.550374984741211,0.5,0.297844324919831,male
"[20,80]",1,2015,34,0.465162629152046,0.492555052042007,0.261831126743228,male
"[20,80]",1,2016,59,0.506181175678463,0.520833313465118,0.221762800464615,male
"[20,80]",1,2017,53,0.620796558499899,0.714285731315613,0.227847509559578,male
"[20,80]",1,2018,44,0.480801859701222,0.474683552980423,0.235483397303254,male
"[20,80]",1,2019,17,0.600854125093011,0.658333361148834,0.262042888961361,male
"[20,80]",2,2002,28,0.364631902160389,0.30354218184948,0.219714606584513,male
"[20,80]",2,2003,12,0.617989157016079,0.763554513454437,0.344494226015287,male
"[20,80]",2,2004,44,0.544379614970901,0.641666650772095,0.27048080270935,male
"[20,80]",2,2005,34,0.582898656235022,0.593352884054184,0.2080500118872,male
"[20,80]",2,2006,37,0.496194168119817,0.5,0.248725944918576,male
"[20,80]",2,2007,22,0.636000959710641,0.702320337295532,0.257383461877285,male
"[20,80]",2,2008,24,0.308901059751709,0.258429013192654,0.185306427283155,male
"[20,80]",2,2009,31,0.476346262520359,0.453900694847107,0.205548189424832,male
"[20,80]",2,2010,19,0.479328622355273,0.450980395078659,0.264642982714841,male
"[20,80]",2,2011,33,0.451407679102638,0.409836053848267,0.254184790452253,male
"[20,80]",2,2012,31,0.410762964597633,0.355932205915451,0.278652042352868,male
