age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,23,313.836522641389,265,130.024027662035,male
"[20,80]",1,2003,17,434.831762874828,349,214.253731409114,male
"[20,80]",1,2004,31,475.091291858304,423,257.91910546888,male
"[20,80]",1,2005,36,342.4858317905,322.774993896484,168.273528017564,male
"[20,80]",1,2006,37,355.016215968776,329.630004882813,180.750640559615,male
"[20,80]",1,2007,21,313.062380836124,282,115.429792043538,male
"[20,80]",1,2008,28,299.374285016741,278.884994506836,168.035322730842,male
"[20,80]",1,2009,34,314.953822865206,284.5,138.408246978943,male
"[20,80]",1,2010,29,274.89793080297,245,125.164494799128,male
"[20,80]",1,2011,21,209.07471429734,188,68.6044131733393,male
"[20,80]",1,2012,36,281.32752694024,250,125.594572328704,male
"[20,80]",1,2013,37,376.977026862067,324.089996337891,230.685700885309,male
"[20,80]",1,2014,17,343.455706428079,276,168.115072457596,male
"[20,80]",1,2015,34,294.235294117647,298,125.758802047153,male
"[20,80]",1,2016,59,299.063389664989,277,114.235017827121,male
"[20,80]",1,2017,53,357.83735771899,382.260009765625,118.901436485551,male
"[20,80]",1,2018,43,299.505444193995,307.470001220703,109.03851659649,male
"[20,80]",1,2019,17,441.361937578987,337,275.936101145868,male
"[20,80]",2,2002,28,230.822608675276,195.284996032715,91.7590878007965,male
"[20,80]",2,2003,11,403.449091131037,462.589996337891,213.16382633847,male
"[20,80]",2,2004,44,343.900909423828,350.854995727539,153.453564899628,male
"[20,80]",2,2005,34,334.509117126465,342.354995727539,122.467687366286,male
"[20,80]",2,2006,37,307.627026738347,268.690002441406,134.573242867898,male
"[20,80]",2,2007,22,418.937271811745,384.5,224.968337411516,male
"[20,80]",2,2008,24,210.007499694824,195,76.4677083603948,male
"[20,80]",2,2009,31,282.139676986202,255,104.173830493747,male
"[20,80]",2,2010,19,284.71631542005,262,122.808463259929,male
"[20,80]",2,2011,33,288.08515144117,263,134.587409268273,male
"[20,80]",2,2012,31,257.304193804341,243,127.723001571401,male
"[20,80]",2,2013,28,297.952606201172,298.164505004883,131.496824364087,male
"[20,80]",2,2014,31,324.806130193895,299,140.839778088506,male
"[20,80]",2,2015,37,309.933784691063,292,114.419389678985,male
"[20,80]",2,2016,57,342.696334571169,291,148.888351124292,male
"[20,80]",2,2017,61,341.35267138872,338,103.201540957406,male
"[20,80]",2,2018,38,303.601841575221,239.839996337891,139.61384650196,male
"[20,80]",3,2002,29,382.57241400357,277,280.785070931491,male
"[20,80]",3,2003,23,464.07434878142,403,196.741271289364,male
"[20,80]",3,2004,26,363.51038477971,311.625,179.731864343355,male
"[20,80]",3,2005,49,373.586733448262,347,156.681197939557,male
"[20,80]",3,2006,30,354.043000284831,342.125,118.635489318773,male
"[20,80]",3,2007,22,247.943636113947,244.5,94.2101471302226,male
"[20,80]",3,2008,23,279.891739555027,229.910003662109,154.445827138778,male
"[20,80]",3,2009,36,308.158888922797,290.5,137.498387978374,male
"[20,80]",3,2010,22,318.28409021551,269,131.976300253221,male
"[20,80]",3,2011,27,216.793704562717,178,110.531407446995,male
"[20,80]",3,2012,23,318.229260651962,295,173.916648546109,male
"[20,80]",3,2013,34,296.106323690975,263.5,184.847681407331,male
"[20,80]",3,2014,30,307.742432657878,251.981002807617,148.675292414502,male
"[20,80]",3,2015,27,311.555555555556,310,133.974547908099,male
"[20,80]",3,2016,54,329.916071856463,279.769989013672,162.218391963603,male
"[20,80]",3,2017,50,331.911140136719,310.580001831055,143.664933077113,male
"[20,80]",3,2018,47,319.747872859874,342,114.848884843319,male
"[20,80]",4,2002,21,271.330474490211,254.839996337891,94.0735319214308,male
"[20,80]",4,2003,19,471.926313701429,417,302.448646007954,male
"[20,80]",4,2004,31,398.693548879316,333,258.924156380679,male
"[20,80]",4,2005,28,308.422498975481,317.164993286133,100.480555289894,male
"[20,80]",4,2006,39,322.285641401242,277,169.3758698727,male
"[20,80]",4,2007,21,284.160475594657,298,150.839370592186,male
"[20,80]",4,2008,22,266.430908896706,242.339996337891,122.635576467594,male
"[20,80]",4,2009,26,321.906536395733,264,204.504948914213,male
"[20,80]",4,2010,25,322.522399902344,314,159.895281735939,male
"[20,80]",4,2011,26,273.741154597356,238.264999389648,122.377471667648,male
"[20,80]",4,2012,19,310.903841520611,235.449996948242,182.084731648718,male
"[20,80]",4,2013,32,294.903531312943,294.5,123.480709008798,male
"[20,80]",4,2014,22,321.58745505593,291.5,108.774785042987,male
"[20,80]",4,2015,23,254.30682505732,255,80.0317409410857,male
"[20,80]",4,2016,37,267.830813433673,265.920013427734,96.1562284155236,male
"[20,80]",4,2017,43,359.269210460574,307.470001220703,148.45189315939,male
"[20,80]",4,2018,46,307.19137075673,281.809997558594,125.461429686597,male
"[20,80]",5,2002,27,334.227778399432,315.779998779297,155.758338882281,male
"[20,80]",5,2003,19,352.590527183131,343,148.628296189258,male
"[20,80]",5,2004,21,340.068571544829,257.609985351563,220.506581992057,male
"[20,80]",5,2005,30,421.666999308268,396.705001831055,211.416326141984,male
"[20,80]",5,2006,25,281.348797912598,238,132.424710335384,male
"[20,80]",5,2007,22,372.869999972257,276,238.061010512702,male
"[20,80]",5,2008,30,267.847999064128,267.5,109.846311704992,male
"[20,80]",5,2009,37,309.451080734665,269,141.986011315269,male
"[20,80]",5,2010,18,430.462778727214,308.770004272461,320.831413034477,male
"[20,80]",5,2011,16,257.302499294281,190.5,187.300219840875,male
"[20,80]",5,2012,20,282.065748214722,227.5,196.966432377935,male
"[20,80]",5,2013,21,499.396238781157,424,285.710397350394,male
"[20,80]",5,2014,22,297.939181241122,258.610000610352,126.91401641166,male
"[20,80]",5,2015,40,312.110924911499,262,157.824689541163,male
"[20,80]",5,2016,39,275.80805069361,252.070007324219,107.419378715065,male
"[20,80]",5,2017,33,368.402242487127,313.010009765625,164.92227175233,male
"[20,80]",5,2018,37,445.563785037479,448.739990234375,187.641516760855,male
"[20,80]",6,2002,30,336.604003143311,282.540008544922,200.109236332933,male
"[20,80]",6,2003,34,311.946472841151,268.574996948242,152.460642936928,male
"[20,80]",6,2004,17,372.392940745634,243.759994506836,278.704903762174,male
"[20,80]",6,2005,31,423.673225156723,436,138.25910634029,male
"[20,80]",6,2006,23,318.311740377675,314,115.287761362195,male
"[20,80]",6,2007,35,319.852859715053,269,161.029104209871,male
"[20,80]",6,2008,27,254.218518009892,202.210006713867,134.844967718352,male
"[20,80]",6,2009,27,278.88185232657,274.230010986328,141.815835464291,male
"[20,80]",6,2010,15,308.938668823242,250,138.605153333291,male
"[20,80]",6,2011,20,291.354000091553,299.5,116.553855644776,male
"[20,80]",6,2012,23,304.967391304348,250,195.378957442147,male
"[20,80]",6,2013,19,354.451578240646,328,143.976074384984,male
"[20,80]",6,2014,18,464.049225701226,454.600006103516,182.285999438208,male
"[20,80]",6,2015,39,307.461333446014,263,123.224400849827,male
"[20,80]",6,2016,57,297.14405394437,270,144.584453622035,male
"[20,80]",6,2017,34,312.468266206629,265.920013427734,129.873851658166,male
"[20,80]",6,2018,40,333.377247619629,269.521011352539,187.243610328815,male
"[20,80]",7,2002,27,295.354445845992,226,152.281686562693,male
"[20,80]",7,2003,27,375.941852145725,335.170013427734,218.637024705949,male
"[20,80]",7,2004,31,387.932905135616,309,216.340180898228,male
"[20,80]",7,2005,37,411.6767582249,389,180.687859783482,male
"[20,80]",7,2006,24,348.926668167114,327.5,156.782914357623,male
"[20,80]",7,2007,23,306.693043584409,285,160.772220061947,male
"[20,80]",7,2008,25,373.966800537109,314,227.773072404504,male
"[20,80]",7,2009,23,322.836522641389,292,138.131250854634,male
"[20,80]",7,2010,14,274.407143729074,228,145.940232768098,male
"[20,80]",7,2011,20,279.560148620605,253,110.418387437014,male
"[20,80]",7,2012,6,372.666666666667,337,212.679727916571,male
"[20,80]",7,2013,29,263.614931303879,243,114.472070135342,male
"[20,80]",7,2014,24,258.399749755859,209,175.92064358955,male
"[20,80]",7,2015,35,267.435143171038,265,132.758033524904,male
"[20,80]",7,2016,37,303.573511896907,271.459991455078,139.921713511022,male
"[20,80]",7,2017,52,302.76186634944,282.540008544922,157.366736989435,male
"[20,80]",7,2018,36,336.948887295193,315.779998779297,115.230367913397,male
"[20,80]",8,2002,22,378.278182983398,322.619995117188,181.618108507605,male
"[20,80]",8,2003,26,476.6849999061,450,237.11238916917,male
"[20,80]",8,2004,15,333.578668212891,304.700012207031,143.348888124115,male
"[20,80]",8,2005,31,502.103873468215,351.790008544922,395.662960322273,male
"[20,80]",8,2006,12,333.007498423259,285,159.098318413066,male
"[20,80]",8,2007,18,312.939999898275,278,90.7197903048913,male
"[20,80]",8,2008,42,292.128810155959,281,126.149098299341,male
"[20,80]",8,2009,28,358.488215310233,358,161.041638103351,male
"[20,80]",8,2010,11,304.138182206587,270,114.20871634289,male
"[20,80]",8,2011,19,222.088314658717,168.970001220703,111.886864975092,male
"[20,80]",8,2012,18,281.18805609809,251.5,119.365753772615,male
"[20,80]",8,2013,22,254.413680336692,218.5,122.111748726952,male
"[20,80]",8,2014,27,332.943444711191,251,183.405087509008,male
"[20,80]",8,2015,40,304.361976242065,295,150.862582998777,male
"[20,80]",8,2016,29,248.735967175714,207.75,130.764246932885,male
"[20,80]",8,2017,40,287.984999847412,296.390014648438,118.618948011188,male
"[20,80]",8,2018,39,364.392104320037,282.540008544922,166.150301044708,male
"[20,80]",9,2002,16,313.414375305176,308.854995727539,103.100290842148,male
"[20,80]",9,2003,23,452.596952355426,460,140.260716092213,male
"[20,80]",9,2004,27,481.527776647497,401,278.045136208565,male
"[20,80]",9,2005,24,502.7091700236,378.104995727539,362.104115423179,male
"[20,80]",9,2006,29,353.18861889017,336,206.506375161002,male
"[20,80]",9,2007,25,334.359199829102,315,181.975745272221,male
"[20,80]",9,2008,20,294.527499389648,289,162.09817052657,male
"[20,80]",9,2009,16,276.478751182556,257,123.137840153537,male
"[20,80]",9,2010,19,232.45526243511,212,119.258629510162,male
"[20,80]",9,2011,21,241.988095238095,213,115.627215551489,male
"[20,80]",9,2012,11,275.277271617543,254.839996337891,163.473561640356,male
"[20,80]",9,2013,17,335.490472232594,295,155.167502279057,male
"[20,80]",9,2014,18,328.438277774387,272.5,207.872046726661,male
"[20,80]",9,2015,38,349.972632157175,288,167.423324711004,male
"[20,80]",9,2016,38,315.047632317794,297.080001831055,137.685920783683,male
"[20,80]",9,2017,27,254.40559274179,268.690002441406,79.8133662428606,male
"[20,80]",9,2018,48,274.875875790914,258.190002441406,98.6356600045843,male
"[20,80]",10,2002,25,375.108801269531,324.089996337891,154.683843233382,male
"[20,80]",10,2003,22,572.851817737926,503.524993896484,275.511642843034,male
"[20,80]",10,2004,37,435.818379170186,395,253.991106530463,male
"[20,80]",10,2005,20,431.336500549316,401.650009155273,156.295316136079,male
"[20,80]",10,2006,18,330.082776387533,257.609985351563,201.729024872738,male
"[20,80]",10,2007,20,262.455500411987,243,108.287186091985,male
"[20,80]",10,2008,12,265.215833028158,251.5,100.542794902498,male
"[20,80]",10,2009,30,278.93433380127,230,164.035719784259,male
"[20,80]",10,2010,14,331.353571210589,303.235000610352,136.925981424394,male
"[20,80]",10,2011,19,249.391737285413,221.600006103516,106.285676850901,male
"[20,80]",10,2012,19,364.051579525596,321.320007324219,173.135563860272,male
"[20,80]",10,2013,19,284.856842041016,317,109.321031811518,male
"[20,80]",10,2014,26,309.004078498253,291.854507446289,167.935176678226,male
"[20,80]",10,2015,41,303.141950653821,250,162.224077496733,male
"[20,80]",10,2016,39,261.757026085487,240.990005493164,76.075184551879,male
"[20,80]",10,2017,38,327.534999245092,296.964996337891,183.137477993499,male
"[20,80]",10,2018,39,373.510768792568,382,167.440407762567,male
"[20,80]",11,2002,27,321.513336181641,238.220001220703,224.037287599021,male
"[20,80]",11,2003,21,328.978572663807,240.990005493164,211.075260099488,male
"[20,80]",11,2004,36,337.272499508328,310.5,170.698616557692,male
"[20,80]",11,2005,30,386.16833190918,397.360000610352,195.967358946301,male
"[20,80]",11,2006,30,312.61566696167,269,157.940775901552,male
"[20,80]",11,2007,27,308.008889092339,301,106.5958851346,male
"[20,80]",11,2008,20,266.20950012207,268.5,90.0734406500118,male
"[20,80]",11,2009,23,310.44086953868,281,115.305194986924,male
"[20,80]",11,2010,18,274.167222764757,265.5,87.0848424743535,male
"[20,80]",11,2011,20,342.891199493408,312.389999389648,136.424558660961,male
"[20,80]",11,2012,18,327.784389071994,264.5,212.027261320583,male
"[20,80]",11,2013,28,304.891001020159,279.5,140.587885641205,male
"[20,80]",11,2014,21,310.303139822824,248.192001342773,180.385679421831,male
"[20,80]",11,2015,35,331.622343226842,302,131.904231605165,male
"[20,80]",11,2016,42,278.376356579009,254.650001525879,101.770368519524,male
"[20,80]",11,2017,55,352.402726884322,319,200.922515332477,male
"[20,80]",11,2018,39,252.174641927083,216.059997558594,108.292181525571,male
"[20,80]",12,2001,18,1131.65164777968,334.5,3012.69676372587,male
"[20,80]",12,2002,19,362.697370830335,407,161.38368187589,male
"[20,80]",12,2003,31,349.313870829921,343.480010986328,153.685580873637,male
"[20,80]",12,2004,37,332.924863660658,291,168.979098813431,male
"[20,80]",12,2005,36,297.961666954888,283.924987792969,122.439796634162,male
"[20,80]",12,2006,34,300.555294261259,268,141.712655829017,male
"[20,80]",12,2007,26,306.014615572416,299,117.370962945282,male
"[20,80]",12,2008,34,253.757058985093,251.150001525879,98.874351247557,male
"[20,80]",12,2009,21,296.148571196057,250,133.419572776295,male
"[20,80]",12,2010,19,274.541577790913,267,75.4810200403096,male
"[20,80]",12,2011,28,272.075358254569,215.5,185.664436502568,male
