age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,13797,0.522402983220253,0.544841825962067,0.28777256279444,male
"[20,80]",1,2003,16650,0.465060222709143,0.460783705115318,0.278225666720337,male
"[20,80]",1,2004,14674,0.581247872615727,0.615252554416657,0.270075771920457,male
"[20,80]",1,2005,14677,0.59612300066743,0.626727342605591,0.26743020448872,male
"[20,80]",1,2006,14658,0.573516934200753,0.597039699554443,0.264204560254455,male
"[20,80]",1,2007,10045,0.491018933765757,0.502296805381775,0.260112496671508,male
"[20,80]",1,2008,13480,0.496115278865512,0.502296805381775,0.260442637575303,male
"[20,80]",1,2009,14519,0.514851322453653,0.518974721431732,0.26876408863284,male
"[20,80]",1,2010,15055,0.547536557296193,0.557595014572144,0.252961600530517,male
"[20,80]",1,2011,14581,0.507827210758773,0.509655654430389,0.259949379798516,male
"[20,80]",1,2012,15125,0.54499485167393,0.559685409069061,0.260502642084479,male
"[20,80]",1,2013,14539,0.608194388959597,0.637882113456726,0.261044469526295,male
"[20,80]",1,2014,15645,0.534284504268946,0.541106164455414,0.257314101968662,male
"[20,80]",1,2015,15287,0.505566142903485,0.509284019470215,0.253841027228322,male
"[20,80]",1,2016,15479,0.514240706158136,0.524795949459076,0.254239908301918,male
"[20,80]",1,2017,13943,0.48642945277749,0.487723052501679,0.250018614828249,male
"[20,80]",1,2018,14495,0.435135255250778,0.422819286584854,0.249835956653447,male
"[20,80]",1,2019,3106,0.51279513687567,0.523486196994782,0.270113553734523,male
"[20,80]",2,2002,18003,0.524741016722426,0.545284509658814,0.283960849051687,male
"[20,80]",2,2003,14963,0.487363466463422,0.496172100305557,0.280590586437849,male
"[20,80]",2,2004,13992,0.57386773599742,0.603110194206238,0.269013705396878,male
"[20,80]",2,2005,13572,0.602763634690817,0.635330229997635,0.271186476978871,male
"[20,80]",2,2006,13384,0.544495311985154,0.559685409069061,0.267382514555488,male
"[20,80]",2,2007,11419,0.473698059282071,0.474387973546982,0.256841416373068,male
"[20,80]",2,2008,13490,0.481467199001083,0.481954246759415,0.259402931014232,male
"[20,80]",2,2009,13451,0.509355254887562,0.511062502861023,0.268036724414709,male
"[20,80]",2,2010,13406,0.537746950292074,0.549887359142304,0.253800868480035,male
"[20,80]",2,2011,13311,0.508932109052069,0.514568090438843,0.260153690422629,male
"[20,80]",2,2012,14638,0.551906835248617,0.562033712863922,0.260250877030466,male
"[20,80]",2,2013,13761,0.588800030302217,0.614622235298157,0.268996193782789,male
"[20,80]",2,2014,14136,0.527833090954891,0.536534607410431,0.254489330556399,male
"[20,80]",2,2015,13410,0.499638941350944,0.505266606807709,0.249734559319412,male
"[20,80]",2,2016,13844,0.504137044528979,0.507917702198029,0.254319058864671,male
"[20,80]",2,2017,13338,0.463083426438608,0.458737939596176,0.250609216005852,male
"[20,80]",2,2018,13750,0.422586720975692,0.406643480062485,0.244534786475302,male
"[20,80]",3,2002,18731,0.515280746839776,0.531328320503235,0.279899797926968,male
"[20,80]",3,2003,16161,0.469794771925581,0.466021060943604,0.279329104924195,male
"[20,80]",3,2004,13097,0.556473533662813,0.581934690475464,0.266993977881728,male
"[20,80]",3,2005,14613,0.601118431263111,0.636852622032166,0.271160108140979,male
"[20,80]",3,2006,13654,0.528937627208478,0.538834929466248,0.271911955304061,male
"[20,80]",3,2007,13180,0.458285034043158,0.456543892621994,0.255645768084316,male
"[20,80]",3,2008,14347,0.461830916230474,0.456495046615601,0.257632436587375,male
"[20,80]",3,2009,13538,0.499919502252254,0.498174786567688,0.267400560730606,male
"[20,80]",3,2010,12492,0.528280518757578,0.535214483737946,0.252839482199326,male
"[20,80]",3,2011,14272,0.482302037497352,0.48611307144165,0.257898425681173,male
"[20,80]",3,2012,15461,0.535812190754391,0.545284509658814,0.263622587918481,male
"[20,80]",3,2013,14260,0.580146413794908,0.604862451553345,0.270428421198911,male
"[20,80]",3,2014,14459,0.521667468741261,0.531328320503235,0.256267061515144,male
"[20,80]",3,2015,13414,0.482966343882664,0.479292273521423,0.24981292504279,male
"[20,80]",3,2016,14663,0.49521917376134,0.499903678894043,0.250854130978511,male
"[20,80]",3,2017,14442,0.446147601637489,0.437441140413284,0.24882925634986,male
"[20,80]",3,2018,14512,0.428758008100088,0.416295498609543,0.24157635342044,male
"[20,80]",4,2002,16707,0.486239022261533,0.487144410610199,0.277731182771614,male
"[20,80]",4,2003,12476,0.452193549453332,0.443313881754875,0.276675973867353,male
"[20,80]",4,2004,12889,0.534078333508063,0.545745253562927,0.267735621835891,male
"[20,80]",4,2005,13629,0.584632043922656,0.621115207672119,0.273730580123864,male
"[20,80]",4,2006,11921,0.507569757923384,0.522704660892487,0.275482190375472,male
"[20,80]",4,2007,12049,0.459644735362191,0.456518322229385,0.257507949649293,male
"[20,80]",4,2008,12345,0.466247888215101,0.459180593490601,0.254097198104513,male
"[20,80]",4,2009,13531,0.493036653624598,0.488336652517319,0.266936115257777,male
"[20,80]",4,2010,12652,0.534696591669388,0.543470740318298,0.2578964163633,male
"[20,80]",4,2011,12579,0.467469913145359,0.463182628154755,0.258062812104948,male
"[20,80]",4,2012,13586,0.526224882200571,0.538834929466248,0.265451178889456,male
"[20,80]",4,2013,12724,0.575222278353446,0.598955154418945,0.271010868969357,male
"[20,80]",4,2014,12942,0.504036601439689,0.507405787706375,0.253141430364458,male
"[20,80]",4,2015,13470,0.460167007891388,0.455736860632896,0.246682455129328,male
"[20,80]",4,2016,13417,0.499103837429626,0.506516218185425,0.249757611543547,male
"[20,80]",4,2017,12631,0.447088658194728,0.439119428396225,0.246300859949201,male
"[20,80]",4,2018,12581,0.441882530982518,0.430051475763321,0.249819088170405,male
"[20,80]",5,2002,20091,0.448696014648661,0.43165522813797,0.273780715630758,male
"[20,80]",5,2003,14917,0.465789344093946,0.455851346254349,0.27879431896224,male
"[20,80]",5,2004,14034,0.527836838826055,0.543429791927338,0.264658557446763,male
"[20,80]",5,2005,12962,0.546585823302777,0.571208357810974,0.274753604342559,male
"[20,80]",5,2006,12179,0.468613549588249,0.463573157787323,0.266691520458944,male
"[20,80]",5,2007,13017,0.450390335863841,0.447570502758026,0.252439315062891,male
"[20,80]",5,2008,14075,0.466658997960772,0.46050164103508,0.257466210076038,male
"[20,80]",5,2009,14841,0.49725120974513,0.498432546854019,0.263508686046355,male
"[20,80]",5,2010,14586,0.526691517561631,0.53759241104126,0.259249452797452,male
"[20,80]",5,2011,12792,0.443698692354802,0.43165522813797,0.256733319140712,male
"[20,80]",5,2012,14949,0.518823311670581,0.525525450706482,0.262603811909807,male
"[20,80]",5,2013,16142,0.555100415303072,0.569144368171692,0.266710352645587,male
"[20,80]",5,2014,14318,0.487640983939071,0.488336652517319,0.253374988984827,male
"[20,80]",5,2015,15177,0.452533184370354,0.443327158689499,0.243705565177009,male
"[20,80]",5,2016,12615,0.499567337245564,0.504089832305908,0.246506296264432,male
"[20,80]",5,2017,12500,0.436627943243086,0.424416482448578,0.249128767928946,male
"[20,80]",5,2018,13984,0.456856980023946,0.45127959549427,0.255970429295571,male
"[20,80]",6,2002,19581,0.436974954121258,0.419991552829742,0.272428688848524,male
"[20,80]",6,2003,16207,0.466088252563055,0.460451751947403,0.27357445523486,male
"[20,80]",6,2004,13246,0.523091197581958,0.535867184400559,0.261997072431384,male
"[20,80]",6,2005,13944,0.522979466049017,0.542254507541657,0.277678180208011,male
"[20,80]",6,2006,13864,0.458083325966363,0.452533513307571,0.257069618252294,male
"[20,80]",6,2007,14067,0.447678313786093,0.442701488733292,0.25343722425878,male
"[20,80]",6,2008,14166,0.445804220678309,0.435270935297012,0.258699240310882,male
"[20,80]",6,2009,13813,0.497954541852772,0.499074429273605,0.262429446280294,male
"[20,80]",6,2010,14209,0.523886105036369,0.535255014896393,0.255303761357304,male
"[20,80]",6,2011,14888,0.434987569122972,0.423120200634003,0.252544190919333,male
"[20,80]",6,2012,15574,0.517619369375489,0.52290415763855,0.256542007800383,male
"[20,80]",6,2013,15174,0.535822503623719,0.544175982475281,0.265589178958787,male
"[20,80]",6,2014,14406,0.48367337294737,0.480796694755554,0.251219731031328,male
"[20,80]",6,2015,13628,0.443902020477412,0.433806031942368,0.243839993380691,male
"[20,80]",6,2016,13932,0.500076480094047,0.504134625196457,0.249906631729981,male
"[20,80]",6,2017,14147,0.450699094517562,0.442701488733292,0.249928692611306,male
"[20,80]",6,2018,14353,0.459688069267328,0.454851418733597,0.258473824975197,male
