age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,33,5.51704422994094,4.96661996841431,2.44364770282124,male
"[20,80]",1,2003,49,5.04126369466587,5.09999990463257,2.55538456552896,male
"[20,80]",1,2004,59,6.5663396342326,6.05000019073486,3.28352830884023,male
"[20,80]",1,2005,61,5.93154852116694,5.40000009536743,3.17803526742466,male
"[20,80]",1,2006,52,5.87843696199931,5.68112993240356,2.95682504858834,male
"[20,80]",1,2007,37,6.33811020528948,6.5,2.52163737308396,male
"[20,80]",1,2008,41,5.73570976606229,5.80000019073486,2.50593660122588,male
"[20,80]",1,2009,73,5.67661945133993,5.26516008377075,2.53452987658309,male
"[20,80]",1,2010,48,5.6997666656971,5.33500003814697,2.51007579300987,male
"[20,80]",1,2011,41,5.70885708564665,4.85805988311768,2.53558345404991,male
"[20,80]",1,2012,73,5.42725737780741,4.51000022888184,2.98378698188871,male
"[20,80]",1,2013,65,6.24587243520297,6.48999977111816,2.64925251790964,male
"[20,80]",1,2014,63,6.1599863786546,6.40503978729248,1.98891734860785,male
"[20,80]",1,2015,61,6.24227954325129,5.84000015258789,2.79710565641036,male
"[20,80]",1,2016,73,6.36565717279095,5.67000007629395,2.68298303863562,male
"[20,80]",1,2017,64,6.10505879297853,5.47000002861023,2.69355990151012,male
"[20,80]",1,2018,73,5.82462556884713,5.40000009536743,2.62824634805636,male
"[20,80]",1,2019,20,5.03695329427719,5.41149520874023,2.14838857579403,male
"[20,80]",2,2002,32,4.09541298821569,4.13049006462097,2.47022704442679,male
"[20,80]",2,2003,36,6.26087443364991,6.45932006835938,3.35835941536997,male
"[20,80]",2,2004,58,5.87167654982929,5.26901006698608,3.00891700830736,male
"[20,80]",2,2005,55,5.90731893019243,5.90000009536743,2.28545723238684,male
"[20,80]",2,2006,38,5.32675054826235,5,2.4903300406314,male
"[20,80]",2,2007,41,5.99633736145206,5.67000007629395,2.73335670920977,male
"[20,80]",2,2008,55,5.64202994866805,5.31943988800049,2.62339630635411,male
"[20,80]",2,2009,52,6.35285309644846,6.46000003814697,2.57460325435709,male
"[20,80]",2,2010,54,6.06895517640644,5.98000001907349,2.55388131444802,male
"[20,80]",2,2011,48,5.68774474660556,5.73000001907349,1.96921714548955,male
"[20,80]",2,2012,68,5.51744167944964,4.59999990463257,2.85972056331189,male
"[20,80]",2,2013,51,5.91495758879418,5.26999998092651,2.48861239959788,male
"[20,80]",2,2014,78,6.11125055643228,6.21682000160217,2.5853434106222,male
"[20,80]",2,2015,53,7.37406238969767,7.08353996276856,2.91022082810809,male
