age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,350,6.70717144421169,5.23000001907349,4.76281259779312,male
"[20,80]",1,2003,444,6.12844594185417,5,3.8549064049955,male
"[20,80]",1,2004,451,7.54501108213962,5.59999990463257,5.66266165272477,male
"[20,80]",1,2005,442,6.56748869246487,5.09999990463257,4.49260273577542,male
"[20,80]",1,2006,384,6.03627605146418,4.59999990463257,4.25172703306393,male
"[20,80]",1,2007,319,6.97153604516415,5.09999990463257,5.16591870376599,male
"[20,80]",1,2008,375,6.32373332913717,4.69999980926514,4.78269013340536,male
"[20,80]",1,2009,420,5.95695238113403,4.59999990463257,4.1385184775004,male
"[20,80]",1,2010,436,6.38667430899559,4.74499988555908,4.97334213668962,male
"[20,80]",1,2011,381,6.51414699441805,5,4.43347283488017,male
"[20,80]",1,2012,426,6.58734741597109,5.25,4.25519454112674,male
"[20,80]",1,2013,441,6.65469386869547,4.90000009536743,5.30270099764199,male
"[20,80]",1,2014,434,6.42382490085567,5,4.43429314178182,male
"[20,80]",1,2015,475,6.48530527240352,5.19999980926514,4.50065209263448,male
"[20,80]",1,2016,486,6.76314813806196,5.19999980926514,4.9522731161676,male
"[20,80]",1,2017,527,6.77521821172233,5.40000009536743,4.82267601033459,male
"[20,80]",1,2018,477,6.72853249898747,5.40000009536743,4.4586454673445,male
"[20,80]",1,2019,89,8.74213480145744,6.01999998092651,8.11293821074191,male
"[20,80]",2,2002,396,7.41090910001235,5.5,5.21680563757412,male
"[20,80]",2,2003,374,6.37689840124253,5.09999990463257,4.26339385142454,male
"[20,80]",2,2004,450,6.92937775717841,5.5,4.46010050581385,male
"[20,80]",2,2005,387,6.36157622817875,5,4.28618643717099,male
"[20,80]",2,2006,352,6.84548295661807,5.30000019073486,4.75545646758661,male
"[20,80]",2,2007,319,8.39702193191433,6.09000015258789,7.2465569972105,male
"[20,80]",2,2008,403,7.01957816551104,5.15000009536743,5.23265464400018,male
"[20,80]",2,2009,378,6.48351851594511,4.90000009536743,4.96277820775336,male
"[20,80]",2,2010,369,6.19598915583396,4.59999990463257,4.63992080774131,male
"[20,80]",2,2011,385,6.49514285774974,5.19999980926514,4.43915027249214,male
"[20,80]",2,2012,356,6.79103930512171,5.59999990463257,4.75264114088064,male
"[20,80]",2,2013,406,7.41593597557744,5.40000009536743,5.79460091023793,male
"[20,80]",2,2014,411,6.85856446152476,5,4.99162337711997,male
"[20,80]",2,2015,410,7.26146342550836,5.14999985694885,5.58802928699619,male
"[20,80]",2,2016,421,6.65180521651288,5.69999980926514,3.93780618480634,male
"[20,80]",2,2017,487,6.85289526915893,5.5,4.78062604485579,male
"[20,80]",2,2018,454,6.72870044062316,5.33500003814697,4.40177625868244,male
"[20,80]",3,2002,396,6.82505049037211,5.09999990463257,5.10176783083065,male
"[20,80]",3,2003,424,6.48839623860593,4.80000019073486,4.78436641838995,male
"[20,80]",3,2004,398,6.52537689047243,5,4.66934919579234,male
"[20,80]",3,2005,410,6.84085366260715,5.19999980926514,4.92781243657855,male
"[20,80]",3,2006,398,6.56439700018821,5.16499996185303,4.63982892211698,male
"[20,80]",3,2007,378,6.36867724682288,5.09999990463257,4.22252950243363,male
"[20,80]",3,2008,360,6.46472222440773,4.98000001907349,4.70526251811183,male
"[20,80]",3,2009,348,6.25525862149809,4.97000002861023,4.44662675374736,male
"[20,80]",3,2010,316,6.04205694568308,4.69999980926514,4.50209122496548,male
"[20,80]",3,2011,342,6.91026314378482,5.40000009536743,5.0206036963879,male
"[20,80]",3,2012,411,7.01856449050625,5.30000019073486,5.08151374073973,male
"[20,80]",3,2013,440,6.65177274265073,5.30000019073486,4.50239877761183,male
"[20,80]",3,2014,416,6.47019231032867,4.97499990463257,4.73302615115558,male
"[20,80]",3,2015,406,6.47332512040444,5.14999985694885,4.37860753818301,male
"[20,80]",3,2016,475,6.89562104476126,5.11999988555908,4.95247988368659,male
"[20,80]",3,2017,523,7.02544932497619,5.30000019073486,5.30639081883778,male
"[20,80]",3,2018,481,6.5906029077181,5.30000019073486,4.50263810774122,male
"[20,80]",4,2002,348,6.77442527570944,5.35000014305115,4.75541745260913,male
"[20,80]",4,2003,278,6.30888487323583,4.69999980926514,4.53713217750834,male
"[20,80]",4,2004,368,7.20116845194412,5.30000019073486,5.25552751899711,male
"[20,80]",4,2005,324,6.84515430971428,5.30000019073486,5.00730463464249,male
"[20,80]",4,2006,330,6.85551513614077,5.61500000953674,4.30300556704301,male
