age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,24,0.77845228711764,0.842592597007752,0.18978189425834,male
"[20,80]",1,2003,38,0.565379589403931,0.569961488246918,0.295945486156926,male
"[20,80]",1,2004,15,0.614749524990718,0.588235318660736,0.193347986459049,male
"[20,80]",1,2005,10,0.649049314111471,0.723163843154907,0.326000251405702,male
"[20,80]",1,2006,6,0.220623571425676,0.171428576111794,0.148729503213388,male
"[20,80]",1,2007,6,0.320016274849574,0.276315785944462,0.247669658447399,male
"[20,80]",1,2008,11,0.487783861092546,0.574999988079071,0.369049916369398,male
"[20,80]",1,2009,9,0.57742947836717,0.588235318660736,0.223630597743244,male
"[20,80]",1,2010,10,0.637645038962364,0.614035069942474,0.193614921833289,male
"[20,80]",1,2011,9,0.349250225971143,0.418604642152786,0.234474030226428,male
"[20,80]",1,2012,13,0.368175227481585,0.219512194395065,0.31862256959701,male
"[20,80]",1,2013,7,0.450578549078533,0.5,0.230935438876554,male
"[20,80]",1,2014,8,0.562408074736595,0.539682537317276,0.17098649774224,male
"[20,80]",1,2015,18,0.653297131674157,0.648538947105408,0.257671509754909,male
"[20,80]",1,2016,15,0.465279925862948,0.541666686534882,0.278528223491548,male
"[20,80]",1,2017,9,0.610092461109161,0.533333361148834,0.193193676824326,male
"[20,80]",1,2018,19,0.572208492379439,0.631578922271729,0.237278042387457,male
"[20,80]",1,2019,1,0.848484873771668,0.848484873771668,,male
"[20,80]",2,2002,33,0.798840943611029,0.848484873771668,0.194829490684571,male
"[20,80]",2,2003,19,0.709959416797287,0.804878056049347,0.291758032668662,male
"[20,80]",2,2004,15,0.599122346440951,0.560975611209869,0.314531081107804,male
"[20,80]",2,2005,16,0.691449695266783,0.737577646970749,0.237994524989312,male
"[20,80]",2,2006,19,0.517802592170866,0.375,0.255113787345469,male
"[20,80]",2,2007,5,0.421780279278755,0.414634138345718,0.243587448477424,male
"[20,80]",2,2008,11,0.566077875820073,0.592592597007752,0.23469957306434,male
"[20,80]",2,2009,8,0.536229627206922,0.58565890789032,0.297738162851688,male
"[20,80]",2,2010,8,0.364584306720644,0.384848490357399,0.275163072069769,male
"[20,80]",2,2011,13,0.562356550246477,0.617647051811218,0.280672527939236,male
"[20,80]",2,2012,13,0.472508792693798,0.53658539056778,0.313675083628443,male
"[20,80]",2,2013,14,0.563947785113539,0.519274383783341,0.182829298291838,male
"[20,80]",2,2014,17,0.405491434914224,0.413793116807938,0.230480443194898,male
"[20,80]",2,2015,9,0.399777544869317,0.372093021869659,0.225484517846631,male
"[20,80]",2,2016,13,0.362850593259701,0.266666680574417,0.255488746075512,male
"[20,80]",2,2017,17,0.520524363307392,0.375,0.295372630817669,male
"[20,80]",2,2018,15,0.458674816787243,0.418604642152786,0.250215244756545,male
"[20,80]",3,2002,23,0.588245463112126,0.53658539056778,0.289821572677995,male
"[20,80]",3,2003,19,0.750156231616673,0.833333313465118,0.2385505753459,male
"[20,80]",3,2004,29,0.734781967154865,0.794117629528046,0.197552639842345,male
"[20,80]",3,2005,10,0.667291489243507,0.672525107860565,0.207235666835742,male
"[20,80]",3,2006,10,0.743041715025902,0.854247123003006,0.23301736390323,male
"[20,80]",3,2007,8,0.456338588148356,0.544444471597672,0.244525102955906,male
"[20,80]",3,2008,17,0.399151512695586,0.333333343267441,0.332172680386572,male
"[20,80]",3,2009,11,0.458387189968066,0.411764711141586,0.219379196382641,male
"[20,80]",3,2010,10,0.584962831437588,0.612500011920929,0.212011831597088,male
"[20,80]",3,2011,6,0.519594493011634,0.53799019753933,0.253121413024581,male
"[20,80]",3,2012,19,0.744749878582202,0.786885261535645,0.174854755217427,male
"[20,80]",3,2013,13,0.438098861620976,0.46428570151329,0.232649694643573,male
"[20,80]",3,2014,11,0.489285292273218,0.431372553110123,0.20829045111019,male
"[20,80]",3,2015,10,0.538361418247223,0.475386098027229,0.181656912808066,male
"[20,80]",3,2016,15,0.463492427269618,0.450980395078659,0.222621850296725,male
"[20,80]",3,2017,22,0.55509299073707,0.599033802747726,0.284713592384739,male
"[20,80]",3,2018,10,0.402936619520187,0.288692869246006,0.287742918428944,male
"[20,80]",4,2002,27,0.633274148735735,0.708333313465118,0.269831779639452,male
"[20,80]",4,2003,10,0.542372325062752,0.606150805950165,0.186665986909578,male
"[20,80]",4,2004,24,0.707717223092914,0.815649211406708,0.260549265674775,male
"[20,80]",4,2005,12,0.553057115525007,0.629514962434769,0.251520582098118,male
"[20,80]",4,2006,10,0.489759236574173,0.617559522390366,0.242504147055545,male
"[20,80]",4,2007,13,0.587525116709562,0.575757563114166,0.239872585265109,male
"[20,80]",4,2008,14,0.305366967006453,0.195075757801533,0.261496217330557,male
"[20,80]",4,2009,8,0.386328895576298,0.396669641137123,0.181015733672453,male
"[20,80]",4,2010,13,0.596099475255379,0.660714268684387,0.170369310383659,male
"[20,80]",4,2012,18,0.517380096432236,0.442959010601044,0.289789201757426,male
"[20,80]",4,2013,5,0.483988606929779,0.538461565971375,0.325675382315491,male
"[20,80]",4,2014,11,0.450728137384762,0.486486494541168,0.2531907896387,male
"[20,80]",4,2015,15,0.427021659413973,0.276923090219498,0.29985776212037,male
"[20,80]",4,2016,15,0.484090184420347,0.529411792755127,0.268487079652498,male
"[20,80]",4,2017,17,0.565230009748655,0.647058844566345,0.251151856432144,male
"[20,80]",4,2018,19,0.466291127236266,0.46428570151329,0.190469292260202,male
"[20,80]",5,2002,21,0.517931616377263,0.550000011920929,0.318919748774198,male
"[20,80]",5,2003,17,0.576311160536373,0.584615409374237,0.25581092441765,male
"[20,80]",5,2004,7,0.434326493314334,0.412698417901993,0.213663171807416,male
"[20,80]",5,2005,17,0.545195875360685,0.527777791023254,0.244254077340401,male
"[20,80]",5,2006,11,0.474692117761482,0.529411792755127,0.302412614773458,male
"[20,80]",5,2007,10,0.541440450400114,0.54347825050354,0.283273874450533,male
"[20,80]",5,2008,16,0.648749310523272,0.755813956260681,0.247525681769309,male
"[20,80]",5,2009,17,0.355110483134494,0.185185179114342,0.330974825213809,male
"[20,80]",5,2010,17,0.474590311813004,0.51111114025116,0.256753845549873,male
"[20,80]",5,2011,9,0.424731544322438,0.431372553110123,0.219160279959489,male
"[20,80]",5,2012,26,0.59176171456392,0.547362476587296,0.208494845034188,male
"[20,80]",5,2013,23,0.534978356050408,0.560000002384186,0.195043670442216,male
"[20,80]",5,2014,4,0.605353243649006,0.592592567205429,0.174370520543591,male
"[20,80]",5,2015,13,0.555257132420173,0.462962955236435,0.216138739720186,male
"[20,80]",5,2016,9,0.611582044098112,0.633333325386047,0.241840264340323,male
"[20,80]",5,2017,14,0.51241025435073,0.512499988079071,0.162155572156247,male
"[20,80]",5,2018,15,0.399311324954033,0.388888895511627,0.195035639260581,male
