age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,909,0.632128584261152,0.744758546352387,0.346701506625913,male
"[20,80]",1,2003,845,0.49937729242109,0.46281424164772,0.352169397547541,male
"[20,80]",1,2004,715,0.519634623731767,0.483389407396317,0.308871370249539,male
"[20,80]",1,2005,703,0.561342703795874,0.584188580513001,0.289555699855364,male
"[20,80]",1,2006,741,0.503423073498706,0.473170727491379,0.286354368529294,male
"[20,80]",1,2007,652,0.468539972018245,0.421311855316162,0.265034119306634,male
"[20,80]",1,2008,1073,0.475406729229982,0.46281424164772,0.28627529916567,male
"[20,80]",1,2009,1234,0.562751184345934,0.595984041690826,0.26568703715179,male
"[20,80]",1,2010,1541,0.600393923941098,0.636387825012207,0.24966377634468,male
"[20,80]",1,2011,1900,0.618624361969138,0.680856704711914,0.248807174714707,male
"[20,80]",1,2012,2263,0.597465886213824,0.640041947364807,0.247745680975767,male
"[20,80]",1,2013,2220,0.562673346186476,0.599603593349457,0.261568053992562,male
"[20,80]",1,2014,2821,0.541727662217222,0.570942103862763,0.26942498253564,male
"[20,80]",1,2015,3180,0.499970714148111,0.500267624855042,0.258320740022187,male
"[20,80]",1,2016,3753,0.479991292544732,0.472657918930054,0.241005049848988,male
"[20,80]",1,2017,3877,0.469603420700037,0.452239602804184,0.247944752719079,male
"[20,80]",1,2018,4312,0.44755842751635,0.419068723917007,0.246248465095998,male
"[20,80]",1,2019,1070,0.472052838207684,0.451262518763542,0.249796684020594,male
"[20,80]",2,2002,1187,0.599378606321788,0.699910461902618,0.360228588061967,male
"[20,80]",2,2003,765,0.466802884258476,0.378417611122131,0.350568933078819,male
"[20,80]",2,2004,650,0.554332292297712,0.533043622970581,0.304377862866572,male
"[20,80]",2,2005,702,0.56193934069506,0.557928591966629,0.287571775724406,male
"[20,80]",2,2006,764,0.502211127215655,0.465173065662384,0.306066717183401,male
"[20,80]",2,2007,810,0.449294017614038,0.406321585178375,0.262865977188751,male
"[20,80]",2,2008,1082,0.503041829776136,0.493567407131195,0.271392338079795,male
"[20,80]",2,2009,1094,0.56315190600439,0.600122153759003,0.266908342818829,male
"[20,80]",2,2010,1496,0.59001493804097,0.626022100448608,0.248386469573514,male
"[20,80]",2,2011,1794,0.617932002148368,0.660115897655487,0.251746065250419,male
"[20,80]",2,2012,2162,0.600409339985894,0.64390242099762,0.2490059394972,male
"[20,80]",2,2013,2153,0.562393371322047,0.599603593349457,0.26482576208808,male
"[20,80]",2,2014,2598,0.519751799356671,0.524325430393219,0.269133745293659,male
"[20,80]",2,2015,2917,0.505417521930605,0.520677626132965,0.258551507182597,male
"[20,80]",2,2016,3432,0.486590719948976,0.466065019369125,0.247553419047169,male
"[20,80]",2,2017,3879,0.475793205989132,0.464281111955643,0.245860839297847,male
"[20,80]",2,2018,4195,0.44041379996985,0.412854999303818,0.242751692460531,male
"[20,80]",3,2002,978,0.56863891855187,0.588995099067688,0.361931009086646,male
"[20,80]",3,2003,811,0.503044008526551,0.452239602804184,0.353540910549834,male
"[20,80]",3,2004,636,0.599221205362265,0.652483135461807,0.306380576060287,male
"[20,80]",3,2005,751,0.547578665094274,0.527522921562195,0.287914577930007,male
"[20,80]",3,2006,814,0.505979582731422,0.473741561174393,0.282399761392093,male
"[20,80]",3,2007,959,0.485624455443823,0.451868951320648,0.264737014684291,male
"[20,80]",3,2008,1166,0.543483800553488,0.564723074436188,0.27469299121172,male
"[20,80]",3,2009,1226,0.541149437524755,0.57810515165329,0.269063540511376,male
"[20,80]",3,2010,1387,0.603294820909502,0.640357255935669,0.243869936198336,male
"[20,80]",3,2011,1862,0.615342861879717,0.655516475439072,0.24762212305537,male
"[20,80]",3,2012,2248,0.604095978420427,0.651868939399719,0.253309260807717,male
"[20,80]",3,2013,2165,0.55096289014775,0.577257335186005,0.261844135164915,male
"[20,80]",3,2014,2713,0.503115067997906,0.487017691135407,0.26764754604152,male
"[20,80]",3,2015,2815,0.479530317099437,0.464587450027466,0.257823934913326,male
"[20,80]",3,2016,3643,0.494067381801569,0.483389407396317,0.25312910939507,male
"[20,80]",3,2017,4207,0.473330025502047,0.451868951320648,0.250232719588101,male
"[20,80]",3,2018,4532,0.420447583148373,0.399957180023193,0.244051343789696,male
"[20,80]",4,2002,846,0.527435954497251,0.475925475358963,0.368777942240031,male
"[20,80]",4,2003,580,0.532525475695729,0.486610606312752,0.330481698421614,male
"[20,80]",4,2004,649,0.618132885620113,0.659485995769501,0.280168398908871,male
"[20,80]",4,2005,695,0.538668735711266,0.5218625664711,0.281540691044129,male
"[20,80]",4,2006,648,0.52089760546791,0.503715753555298,0.285163862288109,male
"[20,80]",4,2007,830,0.467522956529655,0.425923466682434,0.270950617982663,male
"[20,80]",4,2008,1013,0.591964597248372,0.627146363258362,0.267299664000685,male
"[20,80]",4,2009,1144,0.51849519110682,0.521773815155029,0.269527802954501,male
"[20,80]",4,2010,1396,0.596314579707418,0.639753818511963,0.249439137229158,male
"[20,80]",4,2011,1632,0.620254903926752,0.674014389514923,0.253108684252887,male
"[20,80]",4,2012,2012,0.598976736277283,0.639753818511963,0.240899141472395,male
"[20,80]",4,2013,1964,0.54164205525685,0.555514514446259,0.259719362779474,male
"[20,80]",4,2014,2366,0.473289636457347,0.46281424164772,0.257314800205219,male
"[20,80]",4,2015,2955,0.486714176783203,0.474098831415176,0.249902358105718,male
"[20,80]",4,2016,3334,0.489471719289075,0.475925475358963,0.243642305348743,male
"[20,80]",4,2017,3657,0.458644038252176,0.425923466682434,0.250081768731699,male
"[20,80]",4,2018,3897,0.404028941449643,0.378417611122131,0.237600601683434,male
"[20,80]",5,2002,1033,0.538556331144745,0.531001269817352,0.364385828052139,male
"[20,80]",5,2003,728,0.540264322299633,0.488270878791809,0.328393816143454,male
"[20,80]",5,2004,694,0.590568976627088,0.60504287481308,0.29114142938336,male
"[20,80]",5,2005,691,0.538603417866482,0.521238446235657,0.284024395510607,male
"[20,80]",5,2006,655,0.511754004116959,0.475925475358963,0.283029765774145,male
"[20,80]",5,2007,924,0.464968475952616,0.419909194111824,0.270246983279948,male
"[20,80]",5,2008,1120,0.610419657241021,0.659611999988556,0.266855002945523,male
"[20,80]",5,2009,1241,0.564826246600157,0.6046462059021,0.263616270569649,male
"[20,80]",5,2010,1659,0.642109332461362,0.689655184745789,0.233233773578835,male
"[20,80]",5,2011,1636,0.649102422939317,0.721995115280151,0.246297253605666,male
"[20,80]",5,2012,2339,0.604950519543828,0.650938332080841,0.245136192425182,male
"[20,80]",5,2013,2588,0.550174669719588,0.585110306739807,0.257819895655988,male
"[20,80]",5,2014,2606,0.465933868721562,0.435303419828415,0.260494223175008,male
"[20,80]",5,2015,3320,0.508311397740505,0.509203791618347,0.258516833710146,male
"[20,80]",5,2016,3026,0.494100619070552,0.488776236772537,0.245404427084621,male
"[20,80]",5,2017,3475,0.453004029641906,0.422813683748245,0.248563290989137,male
"[20,80]",5,2018,4333,0.407958564178074,0.378417611122131,0.243171884013893,male
"[20,80]",6,2002,1008,0.526275195678445,0.474205613136292,0.366503033311001,male
"[20,80]",6,2003,759,0.570587945284815,0.554117619991303,0.318045901692489,male
"[20,80]",6,2004,637,0.655879572244417,0.740707993507385,0.290558250769015,male
"[20,80]",6,2005,719,0.551615328622544,0.533043622970581,0.278359249294658,male
"[20,80]",6,2006,758,0.479584546346896,0.451268225908279,0.271055650398362,male
"[20,80]",6,2007,1017,0.458883679333631,0.41553208231926,0.256900689171609,male
"[20,80]",6,2008,1179,0.59412026953227,0.640041947364807,0.268322911645681,male
"[20,80]",6,2009,1236,0.583860159215659,0.60603791475296,0.255613271386649,male
"[20,80]",6,2010,1608,0.659841492920373,0.721995115280151,0.229058981534901,male
"[20,80]",6,2011,2044,0.633983442326552,0.690586507320404,0.244443381895395,male
"[20,80]",6,2012,2249,0.6056484389916,0.640357255935669,0.240505477892162,male
"[20,80]",6,2013,2386,0.571659795683867,0.60603791475296,0.263294193455024,male
"[20,80]",6,2014,2610,0.45692744579209,0.425312340259552,0.255903599283709,male
"[20,80]",6,2015,2958,0.528280982829535,0.532671689987183,0.250431719924555,male
"[20,80]",6,2016,3400,0.475759210251272,0.46281424164772,0.251763334030509,male
"[20,80]",6,2017,3903,0.458168589815692,0.445013612508774,0.244720558035224,male
"[20,80]",6,2018,4390,0.434608914570751,0.408044666051865,0.245292436662751,male
"[20,80]",7,2002,873,0.508799918484527,0.47302457690239,0.347669935556869,male
"[20,80]",7,2003,720,0.567697403595472,0.57642936706543,0.321528604672299,male
"[20,80]",7,2004,695,0.668920980158041,0.73982298374176,0.271757288234243,male
"[20,80]",7,2005,726,0.539798061278733,0.535978704690933,0.27149261961438,male
"[20,80]",7,2006,744,0.480668408946405,0.422813683748245,0.286244802712008,male
"[20,80]",7,2007,929,0.454585673818836,0.402626484632492,0.267047768533039,male
"[20,80]",7,2008,1205,0.585949533411081,0.635899543762207,0.270827075717502,male
"[20,80]",7,2009,1331,0.558123942618528,0.594932734966278,0.267184155668935,male
"[20,80]",7,2010,1753,0.642820094050643,0.696462094783783,0.238531964253754,male
"[20,80]",7,2011,2130,0.653817304052378,0.715095341205597,0.238647018965804,male
"[20,80]",7,2012,2021,0.605013360361071,0.655093133449554,0.248410874638957,male
"[20,80]",7,2013,2207,0.545379619365182,0.575402200222015,0.264618932018566,male
"[20,80]",7,2014,2537,0.483271187527423,0.472657918930054,0.255810650922288,male
"[20,80]",7,2015,3331,0.53413493884993,0.555514514446259,0.257232276496637,male
"[20,80]",7,2016,3641,0.432283085862733,0.408896118402481,0.243669576414734,male
"[20,80]",7,2017,4000,0.473979211581871,0.464864313602448,0.248184203602895,male
"[20,80]",7,2018,4244,0.447347292703779,0.419506415724754,0.243220436526583,male
"[20,80]",8,2002,866,0.51478356736396,0.46559265255928,0.331751092564539,male
"[20,80]",8,2003,685,0.539354197180619,0.537983655929565,0.324606445367359,male
"[20,80]",8,2004,618,0.709113612566083,0.768087208271027,0.243517904002161,male
"[20,80]",8,2005,633,0.579382320609985,0.592841625213623,0.27543815083958,male
"[20,80]",8,2006,642,0.489870133615357,0.464065909385681,0.275972723903115,male
"[20,80]",8,2007,947,0.441008835527436,0.389705896377564,0.272366636083102,male
"[20,80]",8,2008,1196,0.545765354731011,0.554960787296295,0.260082259307199,male
"[20,80]",8,2009,1164,0.553562202958128,0.594717741012573,0.270389117707592,male
"[20,80]",8,2010,1415,0.621801784502955,0.668868005275726,0.243298874081662,male
"[20,80]",8,2011,1726,0.64399133459476,0.697534143924713,0.241377198579651,male
"[20,80]",8,2012,1957,0.575514067925692,0.605719566345215,0.259772639500221,male
"[20,80]",8,2013,2154,0.530549942923082,0.553157031536102,0.268874659869073,male
