age_group,month,year,n,mean,median,std,type
"[20,80]",1,2002,893,0.461878680391498,0.413126438856125,0.305843093673635,male
"[20,80]",1,2003,972,0.492968706816527,0.43229004740715,0.300616578473972,male
"[20,80]",1,2004,858,0.460512783374021,0.414138346910477,0.266624951264034,male
"[20,80]",1,2005,955,0.480831974112863,0.426479548215866,0.266119491967039,male
"[20,80]",1,2006,860,0.470602281551895,0.415352582931519,0.278080685553179,male
"[20,80]",1,2007,545,0.559705980067406,0.574864685535431,0.277563229343207,male
"[20,80]",1,2008,741,0.539069099992755,0.559317052364349,0.257981486032358,male
"[20,80]",1,2009,894,0.582763020149213,0.609469741582871,0.250411096150546,male
"[20,80]",1,2010,993,0.531302417505604,0.524369776248932,0.249826540428599,male
"[20,80]",1,2011,1039,0.514594208083409,0.485122889280319,0.257015817266884,male
"[20,80]",1,2012,1217,0.469521809699918,0.428973704576492,0.249895577660259,male
"[20,80]",1,2013,1464,0.489545455009071,0.460033655166626,0.249850673893861,male
"[20,80]",1,2014,1475,0.519381184090497,0.528254926204681,0.257524891118427,male
"[20,80]",1,2015,1390,0.509857048694607,0.503809601068497,0.245460497002773,male
"[20,80]",1,2016,1539,0.454966224485535,0.428660839796066,0.246135321641563,male
"[20,80]",1,2017,1408,0.480927535512654,0.470646396279335,0.251497884472701,male
"[20,80]",1,2018,1585,0.44353319569153,0.413782805204392,0.242904571109301,male
"[20,80]",1,2019,386,0.425686214968485,0.413126438856125,0.237388734185367,male
"[20,80]",2,2002,1099,0.454871928736269,0.410992354154587,0.290737068547749,male
"[20,80]",2,2003,852,0.46477102047978,0.414138346910477,0.288491139218315,male
"[20,80]",2,2004,864,0.522702597538699,0.485122889280319,0.271052521642691,male
"[20,80]",2,2005,826,0.495753289342432,0.43229004740715,0.267059585516485,male
"[20,80]",2,2006,800,0.466622421545908,0.419261276721954,0.27484421971599,male
"[20,80]",2,2007,673,0.527679462899159,0.503812432289124,0.265212995374474,male
"[20,80]",2,2008,765,0.504138740697523,0.520532071590424,0.271041082855487,male
"[20,80]",2,2009,786,0.571444374402516,0.597523212432861,0.253153744233245,male
"[20,80]",2,2010,972,0.514401489799773,0.513143748044968,0.249871592015443,male
"[20,80]",2,2011,1008,0.521720918701104,0.493184760212898,0.255050305064765,male
"[20,80]",2,2012,1118,0.490151040595898,0.469011723995209,0.240712568059906,male
"[20,80]",2,2013,1263,0.497103876173968,0.470796823501587,0.251216396319744,male
"[20,80]",2,2014,1336,0.546180352825158,0.550807595252991,0.255289377954357,male
"[20,80]",2,2015,1253,0.476659579911616,0.455596953630447,0.24916563335233,male
"[20,80]",2,2016,1394,0.467474619543963,0.446197494864464,0.232666394157687,male
"[20,80]",2,2017,1288,0.476790065261078,0.454896241426468,0.24352378340046,male
"[20,80]",2,2018,1411,0.441922231526513,0.419490337371826,0.238129032446077,male
"[20,80]",3,2002,1139,0.436762420972441,0.38752868771553,0.295227790166516,male
"[20,80]",3,2003,947,0.484214161366319,0.425232231616974,0.294140951653728,male
"[20,80]",3,2004,758,0.498706908402645,0.432659476995468,0.282066344631371,male
"[20,80]",3,2005,890,0.523495558327001,0.485122889280319,0.278731708219897,male
"[20,80]",3,2006,740,0.457208478888749,0.413856208324432,0.275553511713882,male
"[20,80]",3,2007,820,0.552700215482675,0.528254926204681,0.274298160548437,male
"[20,80]",3,2008,903,0.541131360330521,0.5706827044487,0.263649714828054,male
"[20,80]",3,2009,855,0.588056873399438,0.624105036258698,0.266428718765415,male
"[20,80]",3,2010,869,0.523310307914903,0.524369776248932,0.241585453383756,male
"[20,80]",3,2011,1137,0.501564605087828,0.480946868658066,0.267428273119586,male
"[20,80]",3,2012,1290,0.509564798885538,0.480946868658066,0.25301801880348,male
"[20,80]",3,2013,1326,0.493820900527331,0.465720593929291,0.249776874917204,male
"[20,80]",3,2014,1358,0.527443587834863,0.533474296331406,0.260254619188678,male
"[20,80]",3,2015,1252,0.490406342535116,0.470796823501587,0.245564080303504,male
"[20,80]",3,2016,1597,0.479461203495469,0.474942624568939,0.255205394332567,male
"[20,80]",3,2017,1502,0.452667058362426,0.428840652108192,0.239669916347296,male
"[20,80]",3,2018,1441,0.459903450497917,0.431565344333649,0.243509592104472,male
"[20,80]",4,2002,904,0.451885287398555,0.410795211791992,0.278279381862516,male
"[20,80]",4,2003,702,0.465892139148296,0.414138346910477,0.280295641347007,male
"[20,80]",4,2004,700,0.521350754494114,0.488474771380425,0.283368209308901,male
"[20,80]",4,2005,842,0.509905228298379,0.470796823501587,0.279175266739331,male
"[20,80]",4,2006,620,0.48718801780694,0.4319276958704,0.266906408570885,male
"[20,80]",4,2007,797,0.573546844629227,0.609198033809662,0.266172349419352,male
"[20,80]",4,2008,721,0.536386232941971,0.56386524438858,0.261354602177404,male
"[20,80]",4,2009,885,0.556568250034825,0.5774045586586,0.270617993895057,male
"[20,80]",4,2010,910,0.528142496661007,0.500285029411316,0.260273280171944,male
"[20,80]",4,2011,1164,0.509761025594656,0.485464572906494,0.270439715288468,male
"[20,80]",4,2012,1195,0.48842067700425,0.469011723995209,0.243171252096183,male
"[20,80]",4,2013,1300,0.480097467108415,0.446197494864464,0.251828189593238,male
"[20,80]",4,2014,1189,0.512730581574675,0.511341333389282,0.255783636913906,male
"[20,80]",4,2015,1228,0.481412492813815,0.473202615976334,0.244042115573679,male
"[20,80]",4,2016,1411,0.483707931484106,0.468802332878113,0.24934304597535,male
"[20,80]",4,2017,1298,0.453718679464883,0.430868223309517,0.2390935709316,male
"[20,80]",4,2018,1399,0.464115786442721,0.445518881082535,0.234534027033059,male
